Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.87,-0.63,18.3%,3615,1.1%,Master Yi | Xayah | Briar | Riven | Urgot
Horizon Focus,S,3.91,-0.59,23.5%,2182,0.7%,Nunu & Willump | Lulu | Maokai | Rek'Sai | Meepsie
Death's Defiance,S,4.20,-0.30,14.0%,3234,1.0%,Riven | Master Yi | Briar | Fiora | Urgot
Lightshield Crest,A,4.23,-0.27,14.9%,3477,1.1%,Tahm Kench | Rammus | Nunu & Willump | Jax | Maokai
Mogul's Mail,A,4.24,-0.26,14.0%,3463,1.1%,Leona | Nunu & Willump | Rammus | Tahm Kench | Jax
Gold Collector,A,4.26,-0.24,15.0%,2567,0.8%,Corki | Kindred | Kai'Sa | Urgot | Jhin
Statikk Shiv,A,4.26,-0.24,14.3%,2023,0.6%,Teemo | Vex | LeBlanc | Kindred | Milio
Wit's End,A,4.27,-0.23,13.0%,1898,0.6%,Riven | Teemo | Master Yi | Vex | Kindred
Silvermere Dawn,A,4.27,-0.23,16.1%,2168,0.7%,The Mighty Mech | Leona | Tahm Kench | Rammus | Urgot
Gambler's Blade,A,4.30,-0.20,14.5%,2645,0.8%,Teemo | Kindred | Vex | LeBlanc | Xayah
Aegis of Dawn,B,4.32,-0.18,13.7%,2952,0.9%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Flickerblades,B,4.32,-0.18,13.8%,3407,1.1%,Kindred | Teemo | Xayah | Vex | LeBlanc
Fishbones,B,4.35,-0.15,12.3%,2800,0.9%,Kindred | Corki | Kai'Sa | Bel'Veth | Urgot
Infinity Force,B,4.36,-0.14,12.6%,4925,1.5%,Master Yi | Riven | Fiora | Briar | Bel'Veth
Hellfire Hatchet,B,4.37,-0.13,13.4%,2618,0.8%,Master Yi | Briar | Riven | Urgot | Fiora
Dawncore,B,4.37,-0.13,15.7%,2928,0.9%,Lulu | Ezreal | Kai'Sa | Karma | Twisted Fate
Thresh's Lantern,B,4.38,-0.12,12.0%,3732,1.2%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Eternal Pact,B,4.38,-0.12,12.5%,1775,0.6%,Karma | Lulu | Aurelion Sol | Milio | Twisted Fate
Lich Bane,B,4.39,-0.11,13.1%,1706,0.5%,Karma | Milio | Teemo | Riven | Twisted Fate
Evelynn's Instinct,B,4.39,-0.11,11.6%,6269,2.0%,Master Yi | Bel'Veth | Riven | Urgot | Fiora
Mittens,B,4.39,-0.11,12.6%,2870,0.9%,Master Yi | Riven | Bel'Veth | Fiora | Urgot
The Indomitable,B,4.40,-0.10,14.0%,4237,1.3%,Tahm Kench | Rammus | Maokai | Nunu & Willump | Jax
Hullcrusher,C,4.41,-0.09,13.1%,2358,0.7%,The Mighty Mech | Rammus | Jax | Maokai | Tahm Kench
Void Gauntlet,C,4.43,-0.07,13.5%,2260,0.7%,Tahm Kench | Maokai | Rammus | Cho'Gath | The Mighty Mech
Ahri's Aura,C,4.44,-0.06,12.5%,3331,1.0%,Aurelion Sol | Karma | Lulu | Milio | Zoe
Prowler's Claw,C,4.44,-0.06,11.7%,2866,0.9%,Urgot | Master Yi | Riven | Briar | Fiora
Seeker's Armguard,C,4.46,-0.04,12.5%,1877,0.6%,Riven | Aurelion Sol | Blitzcrank | Jax | Fiora
Soraka's Miracle,C,4.47,-0.03,12.3%,8111,2.5%,Rammus | Tahm Kench | Jax | Leona | Nunu & Willump
Zhonya's Paradox,C,4.48,-0.02,13.5%,1873,0.6%,Riven | Aurelion Sol | Master Yi | Fiora | Karma
Rapid Firecannon,C,4.49,-0.01,12.5%,2444,0.8%,Master Yi | Bel'Veth | Urgot | Kindred | Riven
Cappa Juice,D,4.50,+0.00,12.6%,1443,0.5%,Kindred | Kai'Sa | Corki | Teemo | Lulu
Ekko's Patience,D,4.51,+0.01,12.8%,3311,1.0%,Zoe | Aurelion Sol | Karma | Lulu | Milio
Sniper's Focus,D,4.52,+0.02,11.6%,2698,0.8%,Kindred | Corki | Kai'Sa | Jhin | Lulu
Aegis of Dusk,D,4.55,+0.05,12.8%,2061,0.6%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Luden's Tempest,D,4.57,+0.07,11.3%,1577,0.5%,Karma | Twisted Fate | Lulu | Milio | Aurora
Varus's Obsession,D,4.57,+0.07,10.3%,3943,1.2%,Teemo | Corki | Kindred | Ezreal | Kai'Sa
Crown of Demacia,D,4.61,+0.11,10.2%,1950,0.6%,Teemo | Cho'Gath | Corki | Kai'Sa | Ezreal
Blighting Jewel,D,4.65,+0.15,11.9%,1515,0.5%,Karma | Lulu | Zoe | Milio | Aurelion Sol
Yasuo's Bladework,D,4.68,+0.18,9.9%,2741,0.9%,Kindred | Master Yi | Bel'Veth | Urgot | Xayah
Talisman Of Ascension,D,4.79,+0.29,10.5%,1280,0.4%,Cho'Gath | Kindred | Tahm Kench | Maokai | Leona
