Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.88,-0.62,17.3%,953,0.9%,Urgot | Briar | Master Yi | Xayah | Riven
Death's Defiance,S,4.05,-0.45,16.5%,1057,1.0%,Riven | Briar | Master Yi | Urgot | Fiora
Horizon Focus,S,4.11,-0.39,17.5%,590,0.6%,Nunu & Willump | Maokai | Rek'Sai | Rhaast | Meepsie
Lightshield Crest,S,4.15,-0.35,14.6%,1074,1.0%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Maokai
Statikk Shiv,S,4.20,-0.30,14.0%,714,0.7%,Teemo | Vex | LeBlanc | Kindred | Twisted Fate
Fishbones,A,4.23,-0.27,14.6%,989,0.9%,Kindred | Urgot | Bel'Veth | Xayah | Corki
Silvermere Dawn,A,4.26,-0.24,14.8%,674,0.6%,The Mighty Mech | Urgot | Rhaast | Nunu & Willump | Tahm Kench
Dawncore,A,4.26,-0.24,15.1%,820,0.8%,Ezreal | Karma | Lulu | Kai'Sa | Aurora
Hellfire Hatchet,A,4.27,-0.23,13.9%,762,0.7%,Urgot | Briar | Master Yi | Riven | Fiora
Gambler's Blade,A,4.27,-0.23,14.9%,873,0.8%,Kindred | Vex | Teemo | Xayah | LeBlanc
Prowler's Claw,A,4.28,-0.22,14.1%,1058,1.0%,Urgot | Riven | Master Yi | Briar | Fiora
The Indomitable,B,4.30,-0.20,14.2%,1317,1.3%,Nunu & Willump | The Mighty Mech | Tahm Kench | Rammus | Maokai
Infinity Force,B,4.31,-0.19,14.2%,1604,1.5%,Master Yi | Riven | Urgot | Fiora | Bel'Veth
Mogul's Mail,B,4.31,-0.19,14.2%,1008,1.0%,Nunu & Willump | Leona | Rammus | Tahm Kench | The Mighty Mech
Flickerblades,B,4.32,-0.18,13.5%,1189,1.1%,Kindred | Xayah | Teemo | Vex | Bel'Veth
Void Gauntlet,B,4.37,-0.13,15.5%,792,0.8%,Tahm Kench | Maokai | Cho'Gath | Nunu & Willump | Rammus
Gold Collector,B,4.39,-0.11,14.1%,794,0.8%,Urgot | Corki | Kindred | Kai'Sa | Ezreal
Wit's End,C,4.41,-0.09,12.0%,585,0.6%,Teemo | Vex | Riven | LeBlanc | Master Yi
Thresh's Lantern,C,4.41,-0.09,13.2%,1107,1.1%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Hullcrusher,C,4.42,-0.08,13.5%,791,0.8%,The Mighty Mech | Nunu & Willump | Rammus | Cho'Gath | Jax
Sniper's Focus,C,4.42,-0.08,11.0%,747,0.7%,Kindred | Jhin | Xayah | Kai'Sa | Corki
Zhonya's Paradox,C,4.42,-0.08,12.8%,666,0.6%,Riven | Aurelion Sol | Blitzcrank | Fiora | Karma
Ekko's Patience,C,4.43,-0.07,13.9%,1181,1.1%,Zoe | Aurelion Sol | Karma | Aurora | Viktor
Rapid Firecannon,C,4.43,-0.07,13.0%,894,0.8%,Bel'Veth | Master Yi | Urgot | Xayah | Kindred
Evelynn's Instinct,C,4.44,-0.06,10.7%,2070,2.0%,Bel'Veth | Master Yi | Urgot | Riven | Fiora
Soraka's Miracle,C,4.47,-0.03,13.5%,2440,2.3%,Cho'Gath | Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench
Mittens,C,4.47,-0.03,12.0%,924,0.9%,Master Yi | Bel'Veth | Urgot | Riven | Fiora
Aegis of Dusk,C,4.48,-0.02,12.9%,667,0.6%,Nunu & Willump | The Mighty Mech | Tahm Kench | Rammus | Illaoi
Cappa Juice,C,4.48,-0.02,12.5%,447,0.4%,Kindred | Ezreal | Kai'Sa | Teemo | Vex
Aegis of Dawn,C,4.49,-0.01,11.5%,873,0.8%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Eternal Pact,C,4.49,-0.01,11.4%,543,0.5%,Karma | Aurora | Aurelion Sol | Twisted Fate | Nami
Seeker's Armguard,C,4.50,-0.00,11.2%,633,0.6%,Riven | Aurelion Sol | Blitzcrank | Diana | Cho'Gath
Ahri's Aura,D,4.51,+0.01,11.2%,1115,1.1%,Aurelion Sol | Karma | Aurora | Twisted Fate | Nami
Lich Bane,D,4.54,+0.04,10.3%,533,0.5%,Karma | Twisted Fate | Teemo | Vex | Riven
Crown of Demacia,D,4.57,+0.07,10.4%,801,0.8%,Ezreal | Teemo | Cho'Gath | Kai'Sa | Twisted Fate
Luden's Tempest,D,4.62,+0.12,10.8%,547,0.5%,Twisted Fate | Karma | Aurora | Nami | Aurelion Sol
Varus's Obsession,D,4.66,+0.16,9.1%,1333,1.3%,Ezreal | Teemo | Kindred | Twisted Fate | Corki
Talisman Of Ascension,D,4.67,+0.17,12.2%,394,0.4%,Cho'Gath | The Mighty Mech | Tahm Kench | Urgot | Kindred
Yasuo's Bladework,D,4.70,+0.20,8.5%,1039,1.0%,Urgot | Kindred | Bel'Veth | Master Yi | Xayah
Blighting Jewel,D,4.76,+0.26,7.8%,526,0.5%,Karma | Aurelion Sol | Zoe | Vex | Bard
