Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.84,-0.66,18.8%,4659,1.2%,Master Yi | Xayah | Briar | Riven | Urgot
Horizon Focus,S,3.88,-0.62,23.8%,2677,0.7%,Lulu | Nunu & Willump | Maokai | Jax | Meepsie
Death's Defiance,S,4.14,-0.36,13.4%,4145,1.0%,Riven | Master Yi | Briar | Fiora | Urgot
Lightshield Crest,A,4.22,-0.28,14.4%,4829,1.2%,Tahm Kench | Rammus | Jax | Nunu & Willump | Maokai
Mogul's Mail,A,4.23,-0.27,14.4%,4360,1.1%,Leona | Tahm Kench | Rammus | Nunu & Willump | Jax
Silvermere Dawn,A,4.23,-0.27,14.7%,2865,0.7%,The Mighty Mech | Tahm Kench | Rammus | Leona | Jax
Gambler's Blade,A,4.27,-0.23,14.5%,3400,0.9%,Teemo | Kindred | Vex | Xayah | LeBlanc
Void Gauntlet,A,4.29,-0.21,13.9%,2922,0.7%,Tahm Kench | Maokai | Rammus | Nunu & Willump | Cho'Gath
Gold Collector,A,4.29,-0.21,13.7%,3211,0.8%,Corki | Kindred | Kai'Sa | Jhin | Urgot
Fishbones,A,4.30,-0.20,13.4%,3631,0.9%,Corki | Kindred | Kai'Sa | Bel'Veth | Xayah
Hellfire Hatchet,B,4.33,-0.17,13.0%,3343,0.8%,Master Yi | Briar | Riven | Fiora | Urgot
Flickerblades,B,4.33,-0.17,13.2%,4590,1.2%,Kindred | Teemo | Vex | Xayah | LeBlanc
Dawncore,B,4.34,-0.16,15.8%,3878,1.0%,Lulu | Ezreal | Kai'Sa | Karma | Milio
Infinity Force,B,4.34,-0.16,12.8%,6320,1.6%,Master Yi | Riven | Fiora | Briar | Bel'Veth
Aegis of Dawn,B,4.35,-0.15,12.0%,3998,1.0%,Tahm Kench | Rammus | Maokai | Jax | Nunu & Willump
Lich Bane,B,4.36,-0.14,12.7%,2200,0.6%,Milio | Teemo | Karma | Riven | Twisted Fate
Statikk Shiv,B,4.36,-0.14,12.7%,2698,0.7%,Teemo | Vex | LeBlanc | Kindred | Twisted Fate
Thresh's Lantern,B,4.38,-0.12,12.7%,4944,1.3%,Tahm Kench | Rammus | Nunu & Willump | Maokai | Jax
Mittens,B,4.38,-0.12,12.4%,3497,0.9%,Master Yi | Riven | Bel'Veth | Fiora | Briar
Wit's End,C,4.40,-0.10,12.5%,2515,0.6%,Riven | Teemo | Master Yi | Vex | Kindred
Evelynn's Instinct,C,4.40,-0.10,11.3%,7740,2.0%,Master Yi | Bel'Veth | Riven | Fiora | Urgot
The Indomitable,C,4.42,-0.08,13.2%,5486,1.4%,Tahm Kench | Rammus | Jax | Nunu & Willump | Maokai
Ahri's Aura,C,4.42,-0.08,13.5%,3971,1.0%,Aurelion Sol | Karma | Lulu | Milio | Twisted Fate
Soraka's Miracle,C,4.44,-0.06,11.9%,10113,2.6%,Rammus | Tahm Kench | Jax | Leona | Nunu & Willump
Eternal Pact,C,4.45,-0.05,13.6%,2229,0.6%,Karma | Lulu | Milio | Twisted Fate | Aurelion Sol
Zhonya's Paradox,C,4.46,-0.04,13.3%,2369,0.6%,Riven | Master Yi | Fiora | Aurelion Sol | Karma
Varus's Obsession,C,4.47,-0.03,11.4%,5310,1.3%,Teemo | Corki | Kindred | Kai'Sa | Twisted Fate
Luden's Tempest,C,4.49,-0.01,11.2%,2092,0.5%,Twisted Fate | Karma | Milio | Lulu | Lissandra
Prowler's Claw,C,4.50,-0.00,11.6%,3323,0.8%,Urgot | Master Yi | Riven | Briar | Fiora
Aegis of Dusk,C,4.50,-0.00,11.5%,2590,0.7%,Tahm Kench | Rammus | Jax | Nunu & Willump | Maokai
Cappa Juice,D,4.50,+0.00,13.8%,1831,0.5%,Kindred | Corki | Kai'Sa | Teemo | Lulu
Hullcrusher,D,4.50,+0.00,11.6%,3103,0.8%,Rammus | Jax | The Mighty Mech | Leona | Tahm Kench
Ekko's Patience,D,4.51,+0.01,12.5%,4111,1.0%,Zoe | Aurelion Sol | Lulu | Milio | Karma
Sniper's Focus,D,4.54,+0.04,11.5%,3332,0.8%,Kindred | Corki | Kai'Sa | Lulu | Jhin
Crown of Demacia,D,4.56,+0.06,10.2%,2338,0.6%,Teemo | Corki | Cho'Gath | Kai'Sa | Lulu
Seeker's Armguard,D,4.56,+0.06,12.2%,2455,0.6%,Riven | Aurelion Sol | Blitzcrank | Diana | Fiora
Rapid Firecannon,D,4.59,+0.09,11.1%,3009,0.8%,Master Yi | Bel'Veth | Kindred | Urgot | Riven
Talisman Of Ascension,D,4.63,+0.13,12.5%,1594,0.4%,Cho'Gath | Kindred | Tahm Kench | Leona | Maokai
Blighting Jewel,D,4.64,+0.14,10.9%,1884,0.5%,Karma | Milio | Lulu | Zoe | Teemo
Yasuo's Bladework,D,4.76,+0.26,9.5%,3164,0.8%,Kindred | Master Yi | Bel'Veth | Urgot | Riven
