Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.92,-0.58,17.2%,5028,0.9%,Master Yi | Riven | Xayah | Graves | Fiora
Death's Defiance,S,4.14,-0.36,14.2%,4647,0.8%,Riven | Master Yi | Fiora | Diana | Blitzcrank
Gold Collector,S,4.16,-0.34,14.1%,4581,0.8%,Corki | Kindred | Jhin | Graves | Xayah
Wit's End,S,4.20,-0.30,15.3%,3317,0.6%,Vex | Riven | Diana | LeBlanc | Master Yi
Lightshield Crest,A,4.23,-0.27,14.4%,6205,1.1%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Hellfire Hatchet,A,4.24,-0.26,13.3%,3573,0.6%,Riven | Master Yi | Fiora | Graves | Urgot
Infinity Force,A,4.28,-0.22,13.0%,6408,1.2%,Riven | Master Yi | Fiora | Blitzcrank | Diana
Dawncore,A,4.29,-0.21,15.0%,4819,0.9%,Lulu | Karma | Lissandra | Sona | Ezreal
Mogul's Mail,A,4.30,-0.20,15.2%,6113,1.1%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Silvermere Dawn,B,4.31,-0.19,11.7%,3784,0.7%,Corki | The Mighty Mech | Tahm Kench | Riven | Nunu & Willump
Ahri's Aura,B,4.32,-0.18,13.1%,6212,1.1%,Aurelion Sol | Karma | Bard | Milio | Lulu
Lich Bane,B,4.33,-0.17,14.0%,2873,0.5%,Milio | Karma | Sona | Vex | Riven
Thresh's Lantern,B,4.37,-0.13,12.2%,7956,1.4%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Mittens,B,4.38,-0.12,12.6%,3918,0.7%,Riven | Master Yi | Fiora | Diana | Graves
Zhonya's Paradox,B,4.38,-0.12,13.5%,3253,0.6%,Riven | Blitzcrank | Aurelion Sol | Diana | Karma
Prowler's Claw,B,4.38,-0.12,11.6%,3520,0.6%,Riven | Urgot | Master Yi | Fiora | Graves
Seeker's Armguard,B,4.39,-0.11,13.3%,3764,0.7%,Riven | Diana | Blitzcrank | Aurelion Sol | Vex
Flickerblades,B,4.39,-0.11,14.5%,5201,0.9%,Vex | Xayah | Kindred | LeBlanc | Diana
Fishbones,B,4.39,-0.11,11.6%,4607,0.8%,Corki | Kindred | Xayah | Jhin | Graves
Eternal Pact,B,4.40,-0.10,13.4%,3306,0.6%,Aurelion Sol | Karma | Milio | Bard | Lulu
Statikk Shiv,B,4.40,-0.10,14.9%,3426,0.6%,Vex | LeBlanc | Kindred | Milio | Karma
Evelynn's Instinct,C,4.40,-0.10,10.8%,7594,1.4%,Master Yi | Riven | Diana | Fiora | Bel'Veth
Aegis of Dawn,C,4.42,-0.08,11.7%,4823,0.9%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
The Indomitable,C,4.42,-0.08,12.9%,7031,1.3%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Talisman Of Ascension,C,4.43,-0.07,13.8%,2117,0.4%,Cho'Gath | Riven | Tahm Kench | Blitzcrank | Kindred
Void Gauntlet,C,4.44,-0.06,13.2%,3920,0.7%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Gambler's Blade,C,4.44,-0.06,15.8%,4506,0.8%,Vex | Xayah | Kindred | LeBlanc | Milio
Cappa Juice,C,4.44,-0.06,14.4%,2430,0.4%,Corki | Vex | Aurelion Sol | Kindred | Xayah
Soraka's Miracle,C,4.45,-0.05,11.8%,13142,2.4%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Cho'Gath
Sniper's Focus,C,4.48,-0.02,12.4%,4334,0.8%,Corki | Kindred | Vex | Jhin | Xayah
Blighting Jewel,C,4.49,-0.01,12.7%,2784,0.5%,Aurelion Sol | Karma | Bard | Vex | Milio
Rapid Firecannon,C,4.50,-0.00,11.8%,3492,0.6%,Master Yi | Diana | Xayah | Riven | Vex
Aegis of Dusk,D,4.50,+0.00,11.6%,3863,0.7%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Varus's Obsession,D,4.51,+0.01,10.7%,5907,1.1%,Corki | Aurelion Sol | Vex | Kindred | Xayah
Hullcrusher,D,4.53,+0.03,11.3%,3684,0.7%,Rammus | The Mighty Mech | Nunu & Willump | Riven | Tahm Kench
Ekko's Patience,D,4.53,+0.03,12.1%,4542,0.8%,Aurelion Sol | Zoe | Karma | Milio | Bard
Crown of Demacia,D,4.56,+0.06,9.7%,2619,0.5%,Corki | Cho'Gath | Vex | Xayah | Aurelion Sol
Luden's Tempest,D,4.59,+0.09,10.2%,2727,0.5%,Karma | Aurelion Sol | Milio | Bard | Lissandra
Yasuo's Bladework,D,4.72,+0.22,9.7%,3660,0.7%,Kindred | Xayah | Riven | Master Yi | Jhin
