Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.90,-0.60,17.5%,4985,0.9%,Master Yi | Riven | Xayah | Graves | Fiora
Death's Defiance,S,4.15,-0.35,14.3%,4755,0.9%,Riven | Master Yi | Fiora | Diana | Blitzcrank
Gold Collector,S,4.18,-0.32,14.3%,4532,0.8%,Corki | Kindred | Jhin | Graves | Kai'Sa
Lightshield Crest,A,4.22,-0.28,14.5%,6431,1.2%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Hellfire Hatchet,A,4.24,-0.26,14.2%,3795,0.7%,Riven | Master Yi | Fiora | Graves | Urgot
Mogul's Mail,A,4.26,-0.24,14.9%,5719,1.0%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Infinity Force,A,4.26,-0.24,13.5%,6829,1.2%,Riven | Master Yi | Fiora | Blitzcrank | Diana
Wit's End,A,4.26,-0.24,14.8%,3146,0.6%,Riven | Vex | Diana | LeBlanc | Master Yi
Eternal Pact,B,4.31,-0.19,14.2%,3728,0.7%,Aurelion Sol | Karma | Milio | Lulu | Bard
Fishbones,B,4.32,-0.18,12.0%,4478,0.8%,Corki | Kindred | Xayah | Jhin | Graves
Ahri's Aura,B,4.32,-0.18,13.0%,6599,1.2%,Aurelion Sol | Karma | Bard | Milio | Lulu
Statikk Shiv,B,4.33,-0.17,15.7%,3495,0.6%,Vex | LeBlanc | Milio | Kindred | Karma
Silvermere Dawn,B,4.34,-0.16,12.0%,4033,0.7%,Corki | The Mighty Mech | Tahm Kench | Rammus | Riven
Dawncore,B,4.35,-0.15,15.1%,4853,0.9%,Lulu | Karma | Ezreal | Lissandra | Milio
Flickerblades,B,4.35,-0.15,14.4%,5049,0.9%,Vex | Kindred | LeBlanc | Xayah | Diana
Thresh's Lantern,B,4.36,-0.14,12.7%,7809,1.4%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Lich Bane,B,4.37,-0.13,13.6%,2926,0.5%,Karma | Milio | Sona | Riven | Vex
Evelynn's Instinct,B,4.37,-0.13,11.6%,7827,1.4%,Master Yi | Riven | Fiora | Diana | Bel'Veth
Gambler's Blade,B,4.39,-0.11,14.9%,4285,0.8%,Vex | Kindred | LeBlanc | Xayah | Milio
Void Gauntlet,C,4.40,-0.10,13.3%,3930,0.7%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Maokai
Rapid Firecannon,C,4.40,-0.10,13.6%,3348,0.6%,Master Yi | Diana | Riven | Vex | Graves
Talisman Of Ascension,C,4.41,-0.09,14.4%,2167,0.4%,Cho'Gath | Riven | Tahm Kench | Blitzcrank | Kindred
The Indomitable,C,4.42,-0.08,12.6%,7133,1.3%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Prowler's Claw,C,4.42,-0.08,11.6%,3552,0.6%,Riven | Urgot | Master Yi | Fiora | Graves
Mittens,C,4.43,-0.07,12.4%,3950,0.7%,Riven | Master Yi | Fiora | Diana | Graves
Sniper's Focus,C,4.43,-0.07,12.4%,4380,0.8%,Corki | Kindred | Vex | Aurelion Sol | Jhin
Aegis of Dawn,C,4.43,-0.07,11.7%,4831,0.9%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Cappa Juice,C,4.43,-0.07,14.1%,2469,0.4%,Corki | Aurelion Sol | Kindred | Vex | Karma
Zhonya's Paradox,C,4.44,-0.06,13.0%,3423,0.6%,Riven | Aurelion Sol | Blitzcrank | Diana | Karma
Aegis of Dusk,C,4.47,-0.03,11.9%,4107,0.7%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Soraka's Miracle,C,4.47,-0.03,11.9%,13288,2.4%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Cho'Gath
Seeker's Armguard,C,4.48,-0.02,13.4%,3865,0.7%,Riven | Diana | Blitzcrank | Aurelion Sol | Vex
Hullcrusher,C,4.48,-0.02,11.7%,3762,0.7%,Rammus | The Mighty Mech | Riven | Nunu & Willump | Tahm Kench
Ekko's Patience,C,4.49,-0.01,11.9%,5014,0.9%,Aurelion Sol | Zoe | Karma | Milio | Bard
Blighting Jewel,D,4.53,+0.03,13.2%,2870,0.5%,Aurelion Sol | Karma | Bard | Milio | Vex
Varus's Obsession,D,4.53,+0.03,10.5%,6139,1.1%,Corki | Aurelion Sol | Vex | Kindred | Karma
Crown of Demacia,D,4.60,+0.10,10.4%,2452,0.4%,Corki | Cho'Gath | Aurelion Sol | Vex | Lulu
Yasuo's Bladework,D,4.62,+0.12,9.7%,3429,0.6%,Kindred | Riven | Master Yi | Xayah | Graves
Luden's Tempest,D,4.65,+0.15,10.2%,2871,0.5%,Karma | Aurelion Sol | Milio | Lissandra | Bard
