Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.95,-0.55,18.3%,5445,0.9%,Xayah | Master Yi | Riven | Graves | Urgot
Mogul's Mail,S,4.20,-0.30,14.7%,7933,1.3%,Nunu & Willump | Ornn | Tahm Kench | Rammus | Leona
Gold Collector,A,4.21,-0.29,13.7%,5024,0.8%,Corki | Samira | Miss Fortune | Graves | Jhin
The Indomitable,A,4.22,-0.28,14.7%,8572,1.4%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Maokai
Death's Defiance,A,4.22,-0.28,12.7%,4616,0.8%,Riven | Fiora | Master Yi | Blitzcrank | Urgot
Dawncore,A,4.23,-0.27,13.9%,6400,1.1%,Nami | Miss Fortune | Sona | Lulu | Karma
Lightshield Crest,A,4.24,-0.26,14.2%,7173,1.2%,Nunu & Willump | Ornn | Rammus | Tahm Kench | Illaoi
Fishbones,A,4.30,-0.20,12.6%,5179,0.9%,Corki | Xayah | Samira | Kindred | Miss Fortune
Silvermere Dawn,A,4.30,-0.20,13.7%,4239,0.7%,Corki | The Mighty Mech | Tahm Kench | Ornn | Nunu & Willump
Hellfire Hatchet,B,4.31,-0.19,13.9%,3763,0.6%,Riven | Master Yi | Graves | Urgot | Fiora
Thresh's Lantern,B,4.33,-0.17,13.1%,9766,1.6%,Nunu & Willump | Tahm Kench | Ornn | Rammus | Illaoi
Lich Bane,B,4.33,-0.17,14.0%,3328,0.5%,Sona | Nami | Vex | Milio | Karma
Wit's End,B,4.33,-0.17,14.5%,3639,0.6%,Vex | Diana | Riven | Blitzcrank | LeBlanc
Void Gauntlet,B,4.33,-0.17,13.0%,4456,0.7%,Tahm Kench | Maokai | Ornn | Nunu & Willump | Rammus
Infinity Force,B,4.35,-0.15,11.1%,6215,1.0%,Riven | Master Yi | Fiora | Blitzcrank | Urgot
Ahri's Aura,B,4.36,-0.14,11.8%,6568,1.1%,Aurelion Sol | Bard | Nami | Sona | Karma
Statikk Shiv,B,4.36,-0.14,14.6%,4014,0.7%,Vex | LeBlanc | Nami | Kindred | Xayah
Eternal Pact,B,4.37,-0.13,13.0%,3825,0.6%,Nami | Bard | Aurelion Sol | Karma | Sona
Talisman Of Ascension,B,4.37,-0.13,14.1%,2876,0.5%,Cho'Gath | Ornn | Blitzcrank | Tahm Kench | Maokai
Gambler's Blade,B,4.38,-0.12,13.7%,6135,1.0%,Vex | Xayah | LeBlanc | Kindred | Samira
Blighting Jewel,B,4.38,-0.12,12.5%,3316,0.5%,Bard | Vex | Nami | Aurelion Sol | Karma
Aegis of Dawn,B,4.39,-0.11,11.2%,5585,0.9%,Ornn | Tahm Kench | Rammus | Nunu & Willump | Maokai
Mittens,C,4.41,-0.09,12.3%,4136,0.7%,Riven | Master Yi | Fiora | Graves | Blitzcrank
Cappa Juice,C,4.42,-0.08,13.3%,2831,0.5%,Samira | Vex | Corki | Xayah | Miss Fortune
Flickerblades,C,4.42,-0.08,12.8%,6590,1.1%,Vex | Xayah | Kindred | LeBlanc | Miss Fortune
Evelynn's Instinct,C,4.44,-0.06,9.9%,8071,1.3%,Master Yi | Riven | Fiora | Diana | Bel'Veth
Sniper's Focus,C,4.44,-0.06,11.8%,4839,0.8%,Vex | Samira | Xayah | Corki | Jhin
Hullcrusher,C,4.44,-0.06,12.2%,4162,0.7%,Ornn | Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech
Zhonya's Paradox,C,4.45,-0.05,13.1%,3566,0.6%,Blitzcrank | Riven | Diana | Vex | Aurelion Sol
Soraka's Miracle,C,4.46,-0.04,11.7%,14686,2.4%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Cho'Gath
Seeker's Armguard,C,4.46,-0.04,11.8%,4077,0.7%,Blitzcrank | Diana | Riven | Gwen | Vex
Crown of Demacia,C,4.47,-0.03,11.8%,4147,0.7%,Cho'Gath | Samira | Miss Fortune | Gnar | Xayah
Varus's Obsession,C,4.47,-0.03,10.7%,6820,1.1%,Samira | Corki | Vex | Miss Fortune | Xayah
Aegis of Dusk,C,4.48,-0.02,12.7%,4346,0.7%,Nunu & Willump | Ornn | Tahm Kench | Rammus | Illaoi
Prowler's Claw,C,4.49,-0.01,10.3%,3566,0.6%,Urgot | Riven | Fiora | Master Yi | Graves
Luden's Tempest,D,4.51,+0.01,10.6%,3064,0.5%,Nami | Karma | Bard | Blitzcrank | Aurelion Sol
Rapid Firecannon,D,4.56,+0.06,11.9%,3739,0.6%,Master Yi | Diana | Xayah | Graves | Vex
Yasuo's Bladework,D,4.58,+0.08,10.2%,4442,0.7%,Xayah | Kindred | Graves | Samira | Miss Fortune
