Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Kayle's Radiant Exaltation,S,1.94,-2.56,58.5%,1005,0.0%,Vex | Xayah | Aurelion Sol | Kindred | LeBlanc
Titanic Hydra,S,4.06,-0.44,16.5%,9253,0.3%,Riven | Fiora | Graves | Urgot | Master Yi
Ahri's Aura,S,4.16,-0.34,13.6%,28743,1.0%,Aurelion Sol | Nami | Viktor | Karma | Vex
Lightshield Crest,A,4.21,-0.29,13.9%,17472,0.6%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Horizon Focus,A,4.22,-0.28,14.6%,8960,0.3%,Nunu & Willump | Maokai | Meepsie | Rhaast | Blitzcrank
Infinity Force,A,4.25,-0.25,13.3%,21041,0.8%,Riven | Fiora | Master Yi | Akali | Bel'Veth
Mogul's Mail,A,4.25,-0.25,14.4%,20939,0.8%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Death's Defiance,A,4.26,-0.24,14.4%,13909,0.5%,Riven | Fiora | Master Yi | The Mighty Mech | Graves
The Indomitable,A,4.26,-0.24,14.1%,22633,0.8%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Tahm Kench
Silvermere Dawn,A,4.27,-0.23,14.0%,12308,0.4%,The Mighty Mech | Nunu & Willump | Rammus | Rhaast | Riven
Gold Collector,A,4.29,-0.21,13.8%,11257,0.4%,Jhin | Corki | Xayah | Kindred | Graves
Fishbones,A,4.29,-0.21,12.9%,12194,0.4%,Xayah | Kindred | Bel'Veth | Graves | Jhin
Ekko's Patience,A,4.30,-0.20,14.0%,27056,1.0%,Aurelion Sol | Zoe | Viktor | Nami | Karma
Wit's End,B,4.31,-0.19,13.2%,11530,0.4%,Vex | LeBlanc | Riven | Fizz | Master Yi
Zhonya's Paradox,B,4.33,-0.17,14.3%,12107,0.4%,Aurelion Sol | Blitzcrank | Riven | LeBlanc | Fizz
Statikk Shiv,B,4.33,-0.17,12.9%,12747,0.5%,Vex | LeBlanc | Teemo | Twisted Fate | Nami
Eternal Pact,B,4.33,-0.17,13.4%,9992,0.4%,Aurelion Sol | Karma | Nami | Viktor | Bard
Gambler's Blade,B,4.34,-0.16,13.5%,16153,0.6%,Vex | Xayah | LeBlanc | Kindred | Jhin
Mittens,B,4.34,-0.16,12.9%,13500,0.5%,Bel'Veth | Riven | Fiora | Master Yi | Graves
Flickerblades,B,4.35,-0.15,12.7%,20757,0.8%,Vex | Xayah | LeBlanc | Kindred | Bel'Veth
Hellfire Hatchet,B,4.36,-0.14,13.4%,8359,0.3%,Riven | Fiora | Graves | Urgot | Master Yi
Void Gauntlet,B,4.37,-0.13,12.9%,13117,0.5%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Evelynn's Instinct,B,4.38,-0.12,10.5%,29583,1.1%,Bel'Veth | Riven | Master Yi | Fiora | Fizz
Lich Bane,B,4.38,-0.12,11.6%,10789,0.4%,Vex | LeBlanc | Fizz | Karma | Nami
Hullcrusher,B,4.39,-0.11,12.7%,13183,0.5%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Prowler's Claw,B,4.40,-0.10,11.8%,10045,0.4%,Riven | Fiora | Akali | Master Yi | Urgot
Cappa Juice,C,4.40,-0.10,13.8%,7919,0.3%,Aurelion Sol | Vex | LeBlanc | Kindred | Viktor
Aegis of Dusk,C,4.41,-0.09,11.9%,15500,0.6%,Nunu & Willump | The Mighty Mech | Illaoi | Rammus | Tahm Kench
Seeker's Armguard,C,4.42,-0.08,12.8%,13603,0.5%,Aurelion Sol | Riven | Blitzcrank | Fizz | Vex
Rapid Firecannon,C,4.43,-0.07,11.1%,12226,0.4%,Bel'Veth | Master Yi | Graves | Xayah | LeBlanc
Aegis of Dawn,C,4.44,-0.06,12.3%,15238,0.6%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Luden's Tempest,C,4.44,-0.06,10.9%,11141,0.4%,Twisted Fate | Nami | Karma | Viktor | Aurelion Sol
Crown of Demacia,C,4.45,-0.05,9.8%,14119,0.5%,LeBlanc | Vex | Kai'Sa | Xayah | Aurelion Sol
Soraka's Miracle,C,4.46,-0.04,12.0%,39580,1.4%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Tahm Kench
Blighting Jewel,C,4.46,-0.04,11.7%,11582,0.4%,Aurelion Sol | Vex | Karma | Viktor | Nami
Varus's Obsession,C,4.49,-0.01,10.8%,26151,0.9%,Aurelion Sol | LeBlanc | Vex | Xayah | Viktor
Sniper's Focus,D,4.50,+0.00,11.9%,14796,0.5%,Vex | Kindred | Xayah | Aurelion Sol | Jhin
Thresh's Lantern,D,4.52,+0.02,10.7%,22959,0.8%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Talisman Of Ascension,D,4.53,+0.03,10.5%,9142,0.3%,Cho'Gath | Aurelion Sol | The Mighty Mech | Illaoi | Nunu & Willump
Dawncore,D,4.60,+0.10,10.6%,13703,0.5%,Nami | Karma | Aurelion Sol | Ezreal | Twisted Fate
Yasuo's Bladework,D,4.79,+0.29,8.3%,19688,0.7%,Xayah | Kindred | Graves | Bel'Veth | Master Yi
Kayle's Exaltation,D,4.99,+0.49,6.4%,24255,0.9%,Vex | LeBlanc | Aurelion Sol | Xayah | Kindred
