Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.93,-0.57,18.1%,3497,1.0%,Xayah | Master Yi | Graves | Riven | Urgot
Gold Collector,S,4.18,-0.32,13.2%,2978,0.8%,Corki | Miss Fortune | Graves | Jhin | Xayah
Dawncore,S,4.18,-0.32,14.8%,3732,1.0%,Miss Fortune | Sona | Lulu | Nami | Karma
Death's Defiance,A,4.23,-0.27,12.7%,2810,0.8%,Riven | Fiora | Master Yi | Urgot | Blitzcrank
Mogul's Mail,A,4.23,-0.27,15.4%,4960,1.4%,Nunu & Willump | Tahm Kench | Leona | Rammus | Illaoi
Fishbones,A,4.26,-0.24,13.5%,3046,0.8%,Corki | Xayah | Kindred | Graves | Miss Fortune
Ahri's Aura,A,4.26,-0.24,12.4%,3991,1.1%,Aurelion Sol | Bard | Sona | Karma | Nami
Wit's End,A,4.29,-0.21,14.0%,2184,0.6%,Vex | Diana | Riven | LeBlanc | Blitzcrank
Void Gauntlet,A,4.29,-0.21,13.3%,2676,0.7%,Tahm Kench | Nunu & Willump | Maokai | Rammus | Illaoi
Thresh's Lantern,B,4.31,-0.19,13.2%,5714,1.6%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Maokai
Infinity Force,B,4.32,-0.18,12.1%,3994,1.1%,Riven | Master Yi | Fiora | Blitzcrank | Graves
Lightshield Crest,B,4.32,-0.18,13.6%,4109,1.1%,Nunu & Willump | Tahm Kench | Rammus | Ornn | Illaoi
Eternal Pact,B,4.33,-0.17,13.0%,2248,0.6%,Bard | Aurelion Sol | Karma | Sona | Nami
Hellfire Hatchet,B,4.33,-0.17,14.0%,2310,0.6%,Riven | Master Yi | Graves | Fiora | Urgot
Evelynn's Instinct,B,4.34,-0.16,10.3%,5461,1.5%,Master Yi | Riven | Fiora | Diana | Bel'Veth
The Indomitable,B,4.36,-0.14,13.6%,4904,1.4%,Nunu & Willump | Tahm Kench | Rammus | Ornn | Leona
Lich Bane,B,4.38,-0.12,12.5%,2020,0.6%,Sona | Vex | Milio | Karma | Riven
Silvermere Dawn,B,4.39,-0.11,11.8%,2374,0.7%,Corki | The Mighty Mech | Tahm Kench | Nunu & Willump | Leona
Cappa Juice,C,4.40,-0.10,14.2%,1689,0.5%,Vex | Corki | Xayah | Miss Fortune | Kindred
Zhonya's Paradox,C,4.40,-0.10,13.7%,2222,0.6%,Blitzcrank | Riven | Vex | Diana | Fiora
Blighting Jewel,C,4.41,-0.09,13.3%,1995,0.5%,Bard | Vex | Aurelion Sol | Karma | Sona
Seeker's Armguard,C,4.41,-0.09,12.8%,2460,0.7%,Diana | Riven | Blitzcrank | Vex | Gwen
Crown of Demacia,C,4.41,-0.09,13.3%,2186,0.6%,Cho'Gath | Miss Fortune | Vex | Xayah | Corki
Flickerblades,C,4.43,-0.07,12.5%,4233,1.2%,Vex | Xayah | LeBlanc | Kindred | Miss Fortune
Sniper's Focus,C,4.44,-0.06,12.1%,2776,0.8%,Vex | Xayah | Corki | Jhin | Kindred
Statikk Shiv,C,4.44,-0.06,14.1%,2490,0.7%,Vex | LeBlanc | Xayah | Kindred | Milio
Aegis of Dawn,C,4.45,-0.05,12.9%,3220,0.9%,Tahm Kench | Rammus | Nunu & Willump | Ornn | Maokai
Mittens,C,4.45,-0.05,12.8%,2608,0.7%,Riven | Master Yi | Fiora | Graves | Xayah
Gambler's Blade,C,4.45,-0.05,13.5%,3959,1.1%,Vex | Xayah | LeBlanc | Kindred | Jhin
Soraka's Miracle,C,4.46,-0.04,11.6%,8510,2.3%,Nunu & Willump | Tahm Kench | Rammus | Leona | Ornn
Talisman Of Ascension,C,4.46,-0.04,13.8%,1618,0.4%,Cho'Gath | Blitzcrank | Tahm Kench | Leona | Nunu & Willump
Prowler's Claw,C,4.50,-0.00,10.3%,2231,0.6%,Urgot | Riven | Fiora | Master Yi | Graves
Aegis of Dusk,D,4.51,+0.01,12.4%,2606,0.7%,Nunu & Willump | Tahm Kench | Illaoi | Rammus | Leona
Hullcrusher,D,4.52,+0.02,10.2%,2352,0.6%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Riven
Luden's Tempest,D,4.53,+0.03,11.2%,1906,0.5%,Karma | Nami | Bard | Milio | Aurelion Sol
Varus's Obsession,D,4.54,+0.04,10.5%,3979,1.1%,Vex | Corki | Miss Fortune | Xayah | LeBlanc
Yasuo's Bladework,D,4.59,+0.09,10.3%,2777,0.8%,Xayah | Kindred | Graves | Miss Fortune | Master Yi
Rapid Firecannon,D,4.61,+0.11,11.4%,2350,0.6%,Master Yi | Diana | Xayah | Graves | Vex
