Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.91,-0.59,17.1%,5008,0.9%,Master Yi | Riven | Xayah | Graves | Fiora
Death's Defiance,S,4.12,-0.38,14.2%,4572,0.8%,Riven | Master Yi | Fiora | Diana | Blitzcrank
Gold Collector,S,4.13,-0.37,14.6%,4600,0.8%,Corki | Kindred | Jhin | Graves | Kai'Sa
Lightshield Crest,A,4.23,-0.27,14.4%,6207,1.1%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Wit's End,A,4.23,-0.27,15.1%,3191,0.6%,Riven | Vex | Diana | LeBlanc | Master Yi
Mogul's Mail,A,4.26,-0.24,15.4%,5928,1.1%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Hellfire Hatchet,A,4.26,-0.24,13.3%,3639,0.7%,Riven | Master Yi | Fiora | Graves | Urgot
Infinity Force,A,4.27,-0.23,13.3%,6553,1.2%,Riven | Master Yi | Fiora | Blitzcrank | Diana
Ahri's Aura,B,4.33,-0.17,13.2%,6396,1.2%,Aurelion Sol | Karma | Bard | Milio | Lulu
Silvermere Dawn,B,4.33,-0.17,11.9%,3872,0.7%,Corki | The Mighty Mech | Tahm Kench | Rammus | Riven
Lich Bane,B,4.33,-0.17,14.3%,2922,0.5%,Karma | Milio | Sona | Vex | Riven
Fishbones,B,4.34,-0.16,12.1%,4591,0.8%,Corki | Kindred | Xayah | Jhin | Graves
Dawncore,B,4.35,-0.15,14.9%,4765,0.9%,Lulu | Karma | Lissandra | Ezreal | Sona
Eternal Pact,B,4.35,-0.15,13.7%,3530,0.6%,Aurelion Sol | Karma | Milio | Lulu | Bard
Thresh's Lantern,B,4.37,-0.13,12.5%,7880,1.4%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Mittens,B,4.37,-0.13,12.9%,3913,0.7%,Riven | Master Yi | Fiora | Diana | Graves
Zhonya's Paradox,B,4.38,-0.12,13.0%,3330,0.6%,Riven | Blitzcrank | Aurelion Sol | Diana | Karma
Prowler's Claw,B,4.38,-0.12,11.7%,3481,0.6%,Riven | Urgot | Master Yi | Fiora | Graves
Gambler's Blade,B,4.39,-0.11,16.0%,4357,0.8%,Vex | Kindred | Xayah | LeBlanc | Milio
Statikk Shiv,B,4.39,-0.11,15.3%,3464,0.6%,Vex | LeBlanc | Milio | Kindred | Karma
Aegis of Dawn,B,4.39,-0.11,12.1%,4800,0.9%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Evelynn's Instinct,B,4.40,-0.10,11.2%,7739,1.4%,Master Yi | Riven | Fiora | Diana | Bel'Veth
Void Gauntlet,C,4.40,-0.10,13.2%,3940,0.7%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Flickerblades,C,4.40,-0.10,14.0%,5077,0.9%,Vex | Kindred | Xayah | LeBlanc | Diana
The Indomitable,C,4.41,-0.09,13.2%,6987,1.3%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Talisman Of Ascension,C,4.43,-0.07,13.8%,2106,0.4%,Cho'Gath | Riven | Blitzcrank | Tahm Kench | Kindred
Seeker's Armguard,C,4.44,-0.06,13.0%,3755,0.7%,Riven | Diana | Blitzcrank | Aurelion Sol | Vex
Sniper's Focus,C,4.46,-0.04,12.4%,4323,0.8%,Corki | Kindred | Vex | Jhin | Aurelion Sol
Cappa Juice,C,4.46,-0.04,13.5%,2401,0.4%,Corki | Aurelion Sol | Kindred | Vex | Karma
Soraka's Miracle,C,4.47,-0.03,11.8%,13181,2.4%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Cho'Gath
Rapid Firecannon,C,4.47,-0.03,12.4%,3362,0.6%,Master Yi | Diana | Riven | Vex | Xayah
Aegis of Dusk,D,4.50,+0.00,11.6%,3995,0.7%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Ekko's Patience,D,4.51,+0.01,12.4%,4756,0.9%,Aurelion Sol | Zoe | Karma | Milio | Bard
Hullcrusher,D,4.53,+0.03,11.2%,3674,0.7%,Rammus | The Mighty Mech | Nunu & Willump | Riven | Tahm Kench
Varus's Obsession,D,4.53,+0.03,10.5%,5939,1.1%,Corki | Aurelion Sol | Vex | Kindred | Karma
Blighting Jewel,D,4.53,+0.03,13.4%,2826,0.5%,Aurelion Sol | Bard | Karma | Milio | Vex
Crown of Demacia,D,4.59,+0.09,10.2%,2570,0.5%,Corki | Cho'Gath | Vex | Aurelion Sol | Xayah
Luden's Tempest,D,4.62,+0.12,10.1%,2776,0.5%,Karma | Aurelion Sol | Milio | Bard | Lissandra
Yasuo's Bladework,D,4.68,+0.18,9.6%,3529,0.6%,Kindred | Riven | Master Yi | Xayah | Graves
