Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.93,-0.57,17.4%,5064,0.9%,Master Yi | Riven | Xayah | Graves | Fiora
Gold Collector,S,4.12,-0.38,14.9%,4609,0.8%,Corki | Jhin | Kindred | Graves | Xayah
Death's Defiance,S,4.13,-0.37,14.4%,4557,0.8%,Riven | Master Yi | Fiora | Diana | Blitzcrank
Lightshield Crest,A,4.24,-0.26,14.4%,6231,1.1%,Rammus | Nunu & Willump | Tahm Kench | Illaoi | The Mighty Mech
Wit's End,A,4.25,-0.25,15.2%,3355,0.6%,Vex | Diana | Riven | LeBlanc | Master Yi
Mogul's Mail,A,4.26,-0.24,15.7%,6176,1.1%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Hellfire Hatchet,A,4.29,-0.21,11.9%,3495,0.6%,Riven | Master Yi | Fiora | Graves | Urgot
Dawncore,A,4.29,-0.21,15.2%,4690,0.9%,Lulu | Karma | Sona | Lissandra | Ezreal
Ahri's Aura,A,4.30,-0.20,13.6%,5947,1.1%,Aurelion Sol | Karma | Bard | Milio | Sona
Silvermere Dawn,B,4.31,-0.19,11.9%,3758,0.7%,Corki | The Mighty Mech | Tahm Kench | Nunu & Willump | Riven
Infinity Force,B,4.34,-0.16,12.2%,6395,1.2%,Riven | Master Yi | Fiora | Blitzcrank | Graves
Eternal Pact,B,4.37,-0.13,13.2%,3240,0.6%,Aurelion Sol | Karma | Bard | Milio | Lulu
Thresh's Lantern,B,4.37,-0.13,12.4%,7998,1.5%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Lich Bane,B,4.38,-0.12,13.3%,2869,0.5%,Milio | Vex | Sona | Karma | Riven
Mittens,B,4.38,-0.12,12.7%,3893,0.7%,Riven | Master Yi | Fiora | Diana | Graves
Statikk Shiv,B,4.38,-0.12,14.9%,3437,0.6%,Vex | LeBlanc | Kindred | Milio | Karma
Fishbones,B,4.38,-0.12,11.9%,4633,0.8%,Corki | Xayah | Kindred | Jhin | Graves
Seeker's Armguard,B,4.39,-0.11,13.7%,3684,0.7%,Diana | Riven | Blitzcrank | Vex | Aurelion Sol
The Indomitable,B,4.40,-0.10,13.3%,7151,1.3%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Cappa Juice,C,4.40,-0.10,15.0%,2396,0.4%,Corki | Vex | Kindred | Aurelion Sol | Xayah
Evelynn's Instinct,C,4.41,-0.09,10.9%,7541,1.4%,Master Yi | Riven | Diana | Fiora | Bel'Veth
Gambler's Blade,C,4.41,-0.09,15.7%,4599,0.8%,Vex | Xayah | Kindred | LeBlanc | Jhin
Aegis of Dawn,C,4.41,-0.09,11.7%,4804,0.9%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Void Gauntlet,C,4.41,-0.09,13.8%,3858,0.7%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Flickerblades,C,4.42,-0.08,14.2%,5371,1.0%,Vex | Xayah | Kindred | LeBlanc | Diana
Zhonya's Paradox,C,4.44,-0.06,12.8%,3242,0.6%,Riven | Blitzcrank | Diana | Aurelion Sol | Fiora
Soraka's Miracle,C,4.45,-0.05,11.5%,13012,2.4%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Cho'Gath
Talisman Of Ascension,C,4.46,-0.04,13.5%,2121,0.4%,Cho'Gath | Tahm Kench | Blitzcrank | Riven | Kindred
Prowler's Claw,C,4.46,-0.04,10.9%,3551,0.6%,Riven | Urgot | Master Yi | Fiora | Graves
Varus's Obsession,C,4.48,-0.02,10.3%,5789,1.1%,Corki | Vex | Aurelion Sol | Kindred | Xayah
Sniper's Focus,C,4.49,-0.01,12.1%,4267,0.8%,Corki | Vex | Jhin | Kindred | Xayah
Hullcrusher,C,4.50,-0.00,11.5%,3657,0.7%,Rammus | Nunu & Willump | The Mighty Mech | Tahm Kench | Riven
Blighting Jewel,D,4.50,+0.00,12.1%,2711,0.5%,Aurelion Sol | Karma | Bard | Vex | Milio
Ekko's Patience,D,4.52,+0.02,12.1%,4369,0.8%,Aurelion Sol | Zoe | Karma | Milio | Bard
Aegis of Dusk,D,4.53,+0.03,11.1%,3809,0.7%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Crown of Demacia,D,4.55,+0.05,10.8%,2695,0.5%,Corki | Cho'Gath | Xayah | Vex | Aurelion Sol
Rapid Firecannon,D,4.56,+0.06,11.1%,3541,0.6%,Master Yi | Diana | Xayah | Riven | Vex
Luden's Tempest,D,4.58,+0.08,9.7%,2607,0.5%,Karma | Aurelion Sol | Milio | Bard | Lissandra
Yasuo's Bladework,D,4.73,+0.23,9.6%,3687,0.7%,Xayah | Kindred | Riven | Master Yi | Graves
