Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.91,-0.59,18.4%,5991,1.0%,Master Yi | Riven | Xayah | Graves | Fiora
Gold Collector,S,4.09,-0.41,14.8%,5216,0.8%,Corki | Jhin | Graves | Kindred | Xayah
Infinity Force,A,4.23,-0.27,12.7%,7571,1.2%,Riven | Master Yi | Fiora | Blitzcrank | Graves
Death's Defiance,A,4.25,-0.25,13.5%,5104,0.8%,Riven | Fiora | Master Yi | Diana | Blitzcrank
Dawncore,A,4.25,-0.25,14.8%,5511,0.9%,Lulu | Karma | Lissandra | Sona | Miss Fortune
Hellfire Hatchet,A,4.25,-0.25,14.1%,4298,0.7%,Riven | Master Yi | Fiora | Graves | Urgot
Lightshield Crest,A,4.26,-0.24,13.4%,7135,1.2%,Rammus | Nunu & Willump | Tahm Kench | Illaoi | The Mighty Mech
Ahri's Aura,A,4.26,-0.24,13.3%,6220,1.0%,Aurelion Sol | Karma | Bard | Milio | Sona
Mogul's Mail,A,4.27,-0.23,14.9%,7722,1.3%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Lich Bane,B,4.30,-0.20,13.9%,3307,0.5%,Vex | Milio | Sona | Karma | Riven
Silvermere Dawn,B,4.30,-0.20,12.7%,4193,0.7%,Corki | The Mighty Mech | Tahm Kench | Nunu & Willump | Riven
Fishbones,B,4.31,-0.19,11.7%,5329,0.9%,Corki | Xayah | Kindred | Graves | Jhin
Void Gauntlet,B,4.31,-0.19,13.1%,4582,0.7%,Tahm Kench | Nunu & Willump | Rammus | Maokai | The Mighty Mech
Statikk Shiv,B,4.33,-0.17,15.6%,4324,0.7%,Vex | LeBlanc | Milio | Kindred | Karma
Wit's End,B,4.33,-0.17,13.4%,3798,0.6%,Vex | Diana | Riven | LeBlanc | Blitzcrank
Thresh's Lantern,B,4.35,-0.15,12.4%,8960,1.5%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Eternal Pact,B,4.35,-0.15,13.0%,3856,0.6%,Aurelion Sol | Karma | Bard | Milio | Lulu
The Indomitable,B,4.36,-0.14,13.2%,7984,1.3%,Rammus | Nunu & Willump | Tahm Kench | Illaoi | The Mighty Mech
Evelynn's Instinct,B,4.37,-0.13,11.4%,8923,1.4%,Master Yi | Riven | Diana | Fiora | Graves
Flickerblades,B,4.39,-0.11,13.4%,6339,1.0%,Vex | Xayah | Kindred | LeBlanc | Diana
Mittens,B,4.39,-0.11,12.1%,4472,0.7%,Riven | Master Yi | Fiora | Diana | Graves
Cappa Juice,C,4.42,-0.08,13.7%,2727,0.4%,Corki | Vex | Xayah | Kindred | Aurelion Sol
Soraka's Miracle,C,4.43,-0.07,12.1%,13808,2.2%,Rammus | Nunu & Willump | Tahm Kench | Cho'Gath | Illaoi
Aegis of Dawn,C,4.43,-0.07,11.5%,5365,0.9%,Rammus | Tahm Kench | Nunu & Willump | Illaoi | The Mighty Mech
Zhonya's Paradox,C,4.44,-0.06,13.2%,3791,0.6%,Riven | Blitzcrank | Diana | Vex | Aurelion Sol
Gambler's Blade,C,4.45,-0.05,14.1%,5985,1.0%,Vex | Xayah | Kindred | LeBlanc | Jhin
Talisman Of Ascension,C,4.45,-0.05,12.2%,2596,0.4%,Cho'Gath | Blitzcrank | Riven | Tahm Kench | Rammus
Seeker's Armguard,C,4.47,-0.03,12.4%,4157,0.7%,Diana | Riven | Blitzcrank | Vex | Aurelion Sol
Aegis of Dusk,C,4.47,-0.03,11.8%,4193,0.7%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Hullcrusher,C,4.49,-0.01,11.4%,4021,0.7%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Riven
Prowler's Claw,C,4.49,-0.01,10.0%,3807,0.6%,Riven | Urgot | Fiora | Master Yi | Graves
Varus's Obsession,D,4.50,+0.00,11.2%,6392,1.0%,Corki | Vex | Kindred | Xayah | Aurelion Sol
Crown of Demacia,D,4.51,+0.01,11.3%,3530,0.6%,Cho'Gath | Corki | Vex | Xayah | Miss Fortune
Sniper's Focus,D,4.51,+0.01,12.1%,4845,0.8%,Corki | Vex | Jhin | Xayah | Kindred
Ekko's Patience,D,4.52,+0.02,11.6%,4744,0.8%,Aurelion Sol | Zoe | Karma | Bard | Milio
Blighting Jewel,D,4.55,+0.05,12.2%,3027,0.5%,Bard | Vex | Karma | Aurelion Sol | Milio
Rapid Firecannon,D,4.58,+0.08,12.3%,3867,0.6%,Master Yi | Diana | Xayah | Graves | Vex
Yasuo's Bladework,D,4.64,+0.14,9.5%,4035,0.7%,Xayah | Kindred | Riven | Master Yi | Graves
Luden's Tempest,D,4.67,+0.17,9.9%,2935,0.5%,Karma | Milio | Aurelion Sol | Bard | Lissandra
