Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.84,-0.66,19.1%,1419,1.0%,Master Yi | Xayah | Riven | Graves | Fiora
Gold Collector,S,4.16,-0.34,14.7%,1194,0.8%,Corki | Jhin | Graves | Xayah | Kindred
Death's Defiance,A,4.23,-0.27,13.8%,1055,0.7%,Riven | Fiora | Master Yi | Diana | Blitzcrank
Ahri's Aura,A,4.24,-0.26,13.7%,1537,1.1%,Aurelion Sol | Karma | Bard | Sona | Milio
Wit's End,A,4.25,-0.25,14.9%,981,0.7%,Vex | Diana | Riven | LeBlanc | Blitzcrank
Hellfire Hatchet,A,4.27,-0.23,13.9%,949,0.6%,Riven | Master Yi | Graves | Fiora | Urgot
Lightshield Crest,A,4.28,-0.22,13.5%,1697,1.2%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Dawncore,A,4.28,-0.22,13.5%,1298,0.9%,Lulu | Karma | Sona | Miss Fortune | Lissandra
Ekko's Patience,A,4.29,-0.21,13.8%,1367,0.9%,Aurelion Sol | Zoe | Bard | Karma | Milio
Mogul's Mail,A,4.29,-0.21,14.9%,1934,1.3%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Infinity Force,B,4.31,-0.19,12.0%,1723,1.2%,Riven | Master Yi | Fiora | Blitzcrank | Graves
Void Gauntlet,B,4.34,-0.16,12.4%,1098,0.8%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Illaoi
Cappa Juice,B,4.34,-0.16,13.5%,680,0.5%,Corki | Vex | Xayah | Kindred | Aurelion Sol
Fishbones,B,4.35,-0.15,13.7%,1197,0.8%,Corki | Xayah | Kindred | Graves | Jhin
Thresh's Lantern,B,4.36,-0.14,12.5%,2148,1.5%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Statikk Shiv,B,4.37,-0.13,17.5%,1060,0.7%,Vex | LeBlanc | Milio | Kindred | Karma
Gambler's Blade,B,4.38,-0.12,14.7%,1590,1.1%,Vex | Xayah | Kindred | LeBlanc | Jhin
Mittens,C,4.40,-0.10,12.3%,1017,0.7%,Riven | Master Yi | Fiora | Diana | Graves
The Indomitable,C,4.41,-0.09,12.5%,1830,1.3%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Flickerblades,C,4.41,-0.09,13.5%,1791,1.2%,Vex | Xayah | Kindred | LeBlanc | Diana
Luden's Tempest,C,4.42,-0.08,11.4%,760,0.5%,Karma | Aurelion Sol | Bard | Milio | Lissandra
Lich Bane,C,4.42,-0.08,11.4%,833,0.6%,Vex | Sona | Milio | Karma | Riven
Eternal Pact,C,4.44,-0.06,14.1%,871,0.6%,Aurelion Sol | Karma | Bard | Milio | Lissandra
Evelynn's Instinct,C,4.44,-0.06,10.4%,2041,1.4%,Master Yi | Riven | Diana | Fiora | Bel'Veth
Silvermere Dawn,C,4.45,-0.05,11.3%,906,0.6%,Corki | The Mighty Mech | Tahm Kench | Nunu & Willump | Rammus
Blighting Jewel,C,4.47,-0.03,12.0%,820,0.6%,Bard | Vex | Karma | Aurelion Sol | Milio
Talisman Of Ascension,C,4.47,-0.03,14.4%,633,0.4%,Cho'Gath | Blitzcrank | Tahm Kench | Riven | Rammus
Seeker's Armguard,C,4.48,-0.02,13.3%,966,0.7%,Diana | Riven | Blitzcrank | Vex | Aurelion Sol
Soraka's Miracle,C,4.48,-0.02,11.3%,3133,2.1%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Cho'Gath
Crown of Demacia,D,4.50,+0.00,12.4%,852,0.6%,Cho'Gath | Corki | Vex | Xayah | Miss Fortune
Aegis of Dawn,D,4.51,+0.01,11.1%,1248,0.9%,Rammus | Tahm Kench | Nunu & Willump | Illaoi | Maokai
Zhonya's Paradox,D,4.51,+0.01,12.3%,876,0.6%,Riven | Blitzcrank | Diana | Vex | Fiora
Aegis of Dusk,D,4.52,+0.02,10.6%,1039,0.7%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Varus's Obsession,D,4.52,+0.02,9.6%,1623,1.1%,Corki | Vex | Xayah | Kindred | Aurelion Sol
Rapid Firecannon,D,4.56,+0.06,10.9%,995,0.7%,Master Yi | Diana | Xayah | Graves | Vex
Prowler's Claw,D,4.58,+0.08,9.3%,953,0.7%,Riven | Urgot | Fiora | Master Yi | Graves
Yasuo's Bladework,D,4.61,+0.11,10.7%,1165,0.8%,Xayah | Kindred | Master Yi | Riven | Graves
Sniper's Focus,D,4.62,+0.12,10.7%,1120,0.8%,Corki | Vex | Xayah | Jhin | Kindred
Hullcrusher,D,4.68,+0.18,10.4%,940,0.6%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Riven
