Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Death's Defiance,S,4.05,-0.45,16.1%,384,1.0%,Urgot | Riven | Briar | Fiora | Master Yi
Titanic Hydra,S,4.09,-0.41,17.1%,334,0.9%,Urgot | Xayah | Briar | Master Yi | Bel'Veth
Lightshield Crest,S,4.10,-0.40,13.3%,391,1.0%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Maokai
Silvermere Dawn,S,4.13,-0.37,15.5%,238,0.6%,The Mighty Mech | Urgot | Rhaast | Nunu & Willump | Rammus
Rapid Firecannon,S,4.13,-0.37,14.8%,331,0.9%,Bel'Veth | Urgot | Master Yi | Xayah | Kindred
Infinity Force,A,4.24,-0.26,14.7%,577,1.5%,Urgot | Master Yi | Riven | Bel'Veth | Fiora
Aegis of Dusk,A,4.25,-0.25,15.4%,228,0.6%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Tahm Kench
Prowler's Claw,A,4.26,-0.24,14.6%,378,1.0%,Urgot | Riven | Master Yi | Briar | Fiora
Mittens,A,4.26,-0.24,13.7%,314,0.8%,Urgot | Bel'Veth | Master Yi | Riven | Fiora
Fishbones,A,4.28,-0.22,14.2%,337,0.9%,Urgot | Bel'Veth | Xayah | Kindred | Kai'Sa
Mogul's Mail,A,4.28,-0.22,14.2%,358,0.9%,Nunu & Willump | Leona | Rammus | Tahm Kench | The Mighty Mech
Hullcrusher,A,4.28,-0.22,14.7%,272,0.7%,The Mighty Mech | Nunu & Willump | Rammus | Maokai | Jax
Statikk Shiv,A,4.29,-0.21,14.9%,241,0.6%,Vex | Teemo | LeBlanc | Kindred | Twisted Fate
Gambler's Blade,A,4.30,-0.20,14.2%,310,0.8%,Vex | Xayah | Teemo | Kindred | LeBlanc
Horizon Focus,B,4.31,-0.19,17.3%,208,0.6%,Nunu & Willump | Maokai | Rhaast | Rek'Sai | Meepsie
Wit's End,B,4.32,-0.18,11.6%,199,0.5%,Teemo | Vex | Riven | LeBlanc | Bel'Veth
Thresh's Lantern,B,4.32,-0.18,12.9%,387,1.0%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Evelynn's Instinct,B,4.33,-0.17,11.2%,792,2.1%,Bel'Veth | Urgot | Master Yi | Riven | Fiora
Dawncore,B,4.35,-0.15,15.0%,301,0.8%,Ezreal | Karma | Aurora | Nami | Kai'Sa
Flickerblades,B,4.37,-0.13,14.2%,451,1.2%,Xayah | Kindred | Vex | Teemo | Bel'Veth
Hellfire Hatchet,B,4.38,-0.12,14.2%,240,0.6%,Urgot | Briar | Riven | Master Yi | Fiora
The Indomitable,B,4.38,-0.12,15.7%,466,1.2%,Nunu & Willump | The Mighty Mech | Maokai | Rammus | Tahm Kench
Crown of Demacia,B,4.39,-0.11,13.6%,317,0.8%,Teemo | Ezreal | Cho'Gath | Xayah | Twisted Fate
Sniper's Focus,B,4.39,-0.11,12.0%,276,0.7%,Kindred | Xayah | Jhin | Vex | Kai'Sa
Ekko's Patience,B,4.40,-0.10,15.3%,444,1.2%,Zoe | Aurelion Sol | Viktor | Karma | Aurora
Void Gauntlet,C,4.41,-0.09,13.5%,296,0.8%,Maokai | Nunu & Willump | Tahm Kench | The Mighty Mech | Rammus
Zhonya's Paradox,C,4.43,-0.07,13.9%,244,0.6%,Aurelion Sol | Riven | Blitzcrank | Aurora | Karma
Aegis of Dawn,C,4.43,-0.07,13.6%,309,0.8%,Nunu & Willump | Rammus | Maokai | Tahm Kench | The Mighty Mech
Ahri's Aura,C,4.46,-0.04,11.4%,394,1.0%,Aurelion Sol | Karma | Aurora | Nami | Twisted Fate
Varus's Obsession,C,4.49,-0.01,10.6%,511,1.4%,Teemo | Ezreal | Aurelion Sol | Twisted Fate | Kindred
Lich Bane,D,4.50,+0.00,11.5%,191,0.5%,Karma | Twisted Fate | Vex | Fizz | Teemo
Gold Collector,D,4.51,+0.01,13.0%,277,0.7%,Urgot | Corki | Jhin | Kindred | Xayah
Seeker's Armguard,D,4.52,+0.02,11.8%,229,0.6%,Riven | Aurelion Sol | Blitzcrank | Fizz | Vex
Soraka's Miracle,D,4.54,+0.04,13.3%,847,2.2%,Nunu & Willump | The Mighty Mech | Cho'Gath | Rammus | Maokai
Luden's Tempest,D,4.56,+0.06,11.5%,191,0.5%,Twisted Fate | Karma | Aurora | Nami | Viktor
Eternal Pact,D,4.57,+0.07,14.8%,196,0.5%,Karma | Aurora | Aurelion Sol | Nami | Twisted Fate
Cappa Juice,D,4.61,+0.11,11.5%,157,0.4%,Kindred | Teemo | Ezreal | Xayah | Vex
Yasuo's Bladework,D,4.73,+0.23,7.8%,372,1.0%,Urgot | Kindred | Bel'Veth | Xayah | Master Yi
Talisman Of Ascension,D,4.86,+0.36,9.9%,152,0.4%,Cho'Gath | The Mighty Mech | Urgot | Maokai | Tahm Kench
Blighting Jewel,D,4.92,+0.42,7.9%,203,0.5%,Aurelion Sol | Karma | Zoe | Bard | Vex
