Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,4.00,-0.50,17.6%,5003,0.8%,Xayah | Master Yi | Riven | Graves | Urgot
The Indomitable,S,4.20,-0.30,15.3%,8823,1.5%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Maokai
Dawncore,S,4.20,-0.30,15.2%,6388,1.1%,Nami | Sona | Lulu | Miss Fortune | Samira
Mogul's Mail,A,4.20,-0.30,15.3%,8218,1.4%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Leona
Gold Collector,A,4.24,-0.26,13.6%,5011,0.8%,Samira | Corki | Jhin | Miss Fortune | Graves
Lightshield Crest,A,4.26,-0.24,13.6%,7052,1.2%,Ornn | Nunu & Willump | Rammus | Tahm Kench | Illaoi
Death's Defiance,A,4.27,-0.23,13.3%,4179,0.7%,Riven | Fiora | Master Yi | Blitzcrank | Urgot
Silvermere Dawn,A,4.28,-0.22,14.1%,4096,0.7%,Corki | The Mighty Mech | Ornn | Tahm Kench | Nunu & Willump
Fishbones,A,4.28,-0.22,13.3%,4970,0.8%,Samira | Corki | Xayah | Kindred | Graves
Hellfire Hatchet,B,4.30,-0.20,13.7%,3324,0.6%,Riven | Master Yi | Graves | Fiora | Urgot
Infinity Force,B,4.31,-0.19,12.6%,5638,0.9%,Riven | Master Yi | Fiora | Blitzcrank | Urgot
Eternal Pact,B,4.32,-0.18,13.7%,3867,0.6%,Nami | Bard | Aurelion Sol | Karma | Sona
Ahri's Aura,B,4.33,-0.17,13.1%,6294,1.0%,Aurelion Sol | Nami | Bard | Sona | Karma
Blighting Jewel,B,4.33,-0.17,13.2%,3417,0.6%,Bard | Nami | Vex | Aurelion Sol | Karma
Gambler's Blade,B,4.33,-0.17,13.8%,6180,1.0%,Vex | Xayah | LeBlanc | Samira | Kindred
Void Gauntlet,B,4.34,-0.16,13.3%,4499,0.7%,Ornn | Tahm Kench | Nunu & Willump | Maokai | Rammus
Wit's End,B,4.36,-0.14,13.7%,3326,0.6%,Vex | Diana | Blitzcrank | Riven | LeBlanc
Talisman Of Ascension,B,4.37,-0.13,13.1%,2981,0.5%,Cho'Gath | Ornn | Blitzcrank | Tahm Kench | Maokai
Thresh's Lantern,B,4.38,-0.12,12.1%,9382,1.6%,Nunu & Willump | Ornn | Tahm Kench | Rammus | Illaoi
Lich Bane,B,4.38,-0.12,13.1%,3143,0.5%,Sona | Nami | Vex | Karma | Milio
Statikk Shiv,B,4.39,-0.11,14.4%,3991,0.7%,Vex | LeBlanc | Nami | Kindred | Xayah
Flickerblades,B,4.39,-0.11,13.1%,6243,1.0%,Vex | Xayah | LeBlanc | Kindred | Gnar
Aegis of Dawn,C,4.40,-0.10,12.3%,5592,0.9%,Ornn | Tahm Kench | Rammus | Nunu & Willump | Maokai
Evelynn's Instinct,C,4.41,-0.09,10.3%,7158,1.2%,Master Yi | Riven | Fiora | Diana | Bel'Veth
Seeker's Armguard,C,4.43,-0.07,13.2%,3714,0.6%,Blitzcrank | Diana | Riven | Vex | Gwen
Soraka's Miracle,C,4.43,-0.07,11.8%,15346,2.6%,Ornn | Nunu & Willump | Rammus | Tahm Kench | Cho'Gath
Mittens,C,4.44,-0.06,11.4%,3824,0.6%,Riven | Master Yi | Fiora | Blitzcrank | Graves
Zhonya's Paradox,C,4.44,-0.06,13.0%,3386,0.6%,Blitzcrank | Riven | Aurelion Sol | Diana | Vex
Crown of Demacia,C,4.45,-0.05,11.2%,4385,0.7%,Cho'Gath | Samira | Gnar | Miss Fortune | Xayah
Hullcrusher,C,4.46,-0.04,12.0%,4140,0.7%,Ornn | Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech
Cappa Juice,C,4.46,-0.04,13.7%,2737,0.5%,Samira | Vex | Corki | Xayah | Miss Fortune
Sniper's Focus,C,4.46,-0.04,11.9%,4789,0.8%,Samira | Vex | Jhin | Xayah | Corki
Aegis of Dusk,C,4.49,-0.01,11.3%,4182,0.7%,Ornn | Nunu & Willump | Tahm Kench | Illaoi | Rammus
Varus's Obsession,C,4.50,-0.00,10.9%,7174,1.2%,Samira | Corki | Vex | Nami | Miss Fortune
Luden's Tempest,D,4.52,+0.02,10.8%,3190,0.5%,Nami | Karma | Bard | Blitzcrank | Sona
Rapid Firecannon,D,4.54,+0.04,11.4%,3539,0.6%,Master Yi | Diana | Xayah | Graves | Samira
Prowler's Claw,D,4.57,+0.07,10.4%,3282,0.5%,Urgot | Riven | Fiora | Master Yi | Graves
Yasuo's Bladework,D,4.57,+0.07,9.8%,4412,0.7%,Xayah | Samira | Kindred | Graves | Gnar
