Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.88,-0.62,18.1%,5725,1.0%,Master Yi | Riven | Xayah | Graves | Fiora
Gold Collector,S,4.12,-0.38,14.8%,5116,0.9%,Corki | Jhin | Kindred | Graves | Xayah
Death's Defiance,A,4.23,-0.27,13.6%,5000,0.8%,Riven | Master Yi | Fiora | Diana | Blitzcrank
Hellfire Hatchet,A,4.24,-0.26,14.2%,4016,0.7%,Riven | Master Yi | Fiora | Graves | Urgot
Dawncore,A,4.24,-0.26,14.8%,5283,0.9%,Lulu | Karma | Lissandra | Sona | Milio
Lightshield Crest,A,4.24,-0.26,13.3%,6672,1.1%,Rammus | Nunu & Willump | Tahm Kench | Illaoi | The Mighty Mech
Wit's End,A,4.25,-0.25,15.3%,3602,0.6%,Vex | Diana | Riven | LeBlanc | Blitzcrank
Mogul's Mail,A,4.27,-0.23,15.3%,7080,1.2%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Infinity Force,A,4.27,-0.23,12.4%,7241,1.2%,Riven | Master Yi | Fiora | Blitzcrank | Graves
Void Gauntlet,B,4.31,-0.19,14.2%,4232,0.7%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Fishbones,B,4.32,-0.18,11.8%,5086,0.9%,Corki | Xayah | Kindred | Graves | Jhin
Eternal Pact,B,4.34,-0.16,13.1%,3750,0.6%,Karma | Aurelion Sol | Bard | Milio | Lulu
Ahri's Aura,B,4.34,-0.16,12.9%,6183,1.0%,Aurelion Sol | Karma | Bard | Milio | Sona
The Indomitable,B,4.34,-0.16,13.3%,7729,1.3%,Rammus | Nunu & Willump | Tahm Kench | Illaoi | The Mighty Mech
Statikk Shiv,B,4.35,-0.15,15.3%,4097,0.7%,Vex | LeBlanc | Milio | Kindred | Karma
Evelynn's Instinct,B,4.35,-0.15,11.9%,8474,1.4%,Master Yi | Riven | Diana | Fiora | Bel'Veth
Silvermere Dawn,B,4.35,-0.15,11.8%,4008,0.7%,Corki | The Mighty Mech | Tahm Kench | Nunu & Willump | Rammus
Thresh's Lantern,B,4.36,-0.14,12.6%,8739,1.5%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Lich Bane,B,4.37,-0.13,13.5%,3117,0.5%,Milio | Vex | Sona | Karma | Riven
Mittens,B,4.39,-0.11,12.1%,4351,0.7%,Riven | Master Yi | Fiora | Diana | Graves
Flickerblades,C,4.40,-0.10,13.7%,6075,1.0%,Vex | Xayah | Kindred | LeBlanc | Diana
Cappa Juice,C,4.42,-0.08,13.7%,2712,0.5%,Corki | Vex | Xayah | Kindred | Aurelion Sol
Gambler's Blade,C,4.43,-0.07,14.8%,5469,0.9%,Vex | Xayah | Kindred | LeBlanc | Jhin
Seeker's Armguard,C,4.43,-0.07,13.4%,3976,0.7%,Diana | Riven | Blitzcrank | Vex | Aurelion Sol
Aegis of Dawn,C,4.44,-0.06,12.0%,5215,0.9%,Rammus | Tahm Kench | Nunu & Willump | Illaoi | The Mighty Mech
Crown of Demacia,C,4.45,-0.05,12.1%,3226,0.5%,Cho'Gath | Corki | Vex | Xayah | Aurelion Sol
Soraka's Miracle,C,4.46,-0.04,11.7%,13323,2.3%,Rammus | Nunu & Willump | Tahm Kench | Cho'Gath | Illaoi
Zhonya's Paradox,C,4.46,-0.04,13.1%,3618,0.6%,Riven | Blitzcrank | Diana | Vex | Aurelion Sol
Aegis of Dusk,C,4.46,-0.04,12.2%,3916,0.7%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Prowler's Claw,C,4.47,-0.03,10.6%,3813,0.6%,Riven | Urgot | Master Yi | Fiora | Graves
Ekko's Patience,C,4.48,-0.02,12.0%,4484,0.8%,Aurelion Sol | Zoe | Karma | Bard | Milio
Talisman Of Ascension,C,4.48,-0.02,12.4%,2418,0.4%,Cho'Gath | Blitzcrank | Tahm Kench | Riven | Kindred
Hullcrusher,C,4.49,-0.01,11.5%,3901,0.7%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Riven
Varus's Obsession,D,4.51,+0.01,10.9%,6136,1.0%,Corki | Vex | Kindred | Aurelion Sol | Xayah
Blighting Jewel,D,4.51,+0.01,12.4%,2909,0.5%,Bard | Karma | Vex | Aurelion Sol | Milio
Sniper's Focus,D,4.52,+0.02,12.2%,4518,0.8%,Corki | Vex | Jhin | Kindred | Xayah
Rapid Firecannon,D,4.53,+0.03,12.3%,3673,0.6%,Master Yi | Diana | Xayah | Vex | Graves
Luden's Tempest,D,4.63,+0.13,9.4%,2963,0.5%,Karma | Milio | Aurelion Sol | Bard | Lissandra
Yasuo's Bladework,D,4.64,+0.14,9.7%,3895,0.7%,Xayah | Kindred | Riven | Master Yi | Graves
