Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.90,-0.60,18.2%,5934,1.0%,Master Yi | Riven | Xayah | Graves | Fiora
Gold Collector,S,4.07,-0.43,15.0%,5207,0.9%,Corki | Jhin | Graves | Kindred | Xayah
Death's Defiance,A,4.22,-0.28,13.9%,5075,0.8%,Riven | Fiora | Master Yi | Diana | Blitzcrank
Lightshield Crest,A,4.25,-0.25,13.3%,7038,1.2%,Rammus | Nunu & Willump | Tahm Kench | Illaoi | The Mighty Mech
Infinity Force,A,4.25,-0.25,12.4%,7429,1.2%,Riven | Master Yi | Fiora | Blitzcrank | Graves
Dawncore,A,4.25,-0.25,14.6%,5474,0.9%,Lulu | Karma | Lissandra | Sona | Milio
Hellfire Hatchet,A,4.26,-0.24,14.0%,4227,0.7%,Riven | Master Yi | Fiora | Graves | Urgot
Wit's End,A,4.27,-0.23,14.5%,3742,0.6%,Vex | Diana | Riven | LeBlanc | Blitzcrank
Mogul's Mail,A,4.28,-0.22,15.2%,7449,1.2%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Lich Bane,A,4.29,-0.21,13.8%,3248,0.5%,Vex | Milio | Sona | Karma | Riven
Void Gauntlet,A,4.29,-0.21,14.2%,4448,0.7%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Ahri's Aura,B,4.31,-0.19,12.7%,6253,1.0%,Aurelion Sol | Karma | Bard | Milio | Sona
Fishbones,B,4.33,-0.17,11.7%,5226,0.9%,Corki | Xayah | Kindred | Graves | Jhin
Silvermere Dawn,B,4.33,-0.17,12.3%,4121,0.7%,Corki | The Mighty Mech | Tahm Kench | Nunu & Willump | Rammus
The Indomitable,B,4.33,-0.17,13.6%,7921,1.3%,Rammus | Nunu & Willump | Tahm Kench | Illaoi | The Mighty Mech
Thresh's Lantern,B,4.35,-0.15,12.8%,8880,1.5%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Eternal Pact,B,4.36,-0.14,12.8%,3853,0.6%,Aurelion Sol | Karma | Bard | Milio | Lulu
Statikk Shiv,B,4.37,-0.13,15.3%,4295,0.7%,Vex | LeBlanc | Milio | Kindred | Karma
Evelynn's Instinct,B,4.38,-0.12,11.4%,8825,1.5%,Master Yi | Riven | Diana | Fiora | Graves
Flickerblades,B,4.39,-0.11,13.5%,6267,1.0%,Vex | Xayah | Kindred | LeBlanc | Diana
Mittens,B,4.40,-0.10,12.2%,4394,0.7%,Riven | Master Yi | Fiora | Diana | Graves
Aegis of Dawn,C,4.43,-0.07,11.9%,5340,0.9%,Rammus | Tahm Kench | Nunu & Willump | Illaoi | The Mighty Mech
Soraka's Miracle,C,4.44,-0.06,11.9%,13652,2.2%,Rammus | Nunu & Willump | Tahm Kench | Cho'Gath | Illaoi
Cappa Juice,C,4.44,-0.06,13.6%,2714,0.4%,Corki | Vex | Xayah | Kindred | Aurelion Sol
Seeker's Armguard,C,4.44,-0.06,12.8%,4089,0.7%,Diana | Riven | Blitzcrank | Vex | Aurelion Sol
Crown of Demacia,C,4.44,-0.06,12.1%,3407,0.6%,Cho'Gath | Corki | Vex | Xayah | Miss Fortune
Zhonya's Paradox,C,4.45,-0.05,13.2%,3774,0.6%,Riven | Blitzcrank | Diana | Vex | Aurelion Sol
Hullcrusher,C,4.46,-0.04,11.4%,4061,0.7%,Rammus | Nunu & Willump | Tahm Kench | Riven | The Mighty Mech
Prowler's Claw,C,4.46,-0.04,10.4%,3907,0.6%,Riven | Urgot | Master Yi | Fiora | Graves
Aegis of Dusk,C,4.47,-0.03,11.9%,4146,0.7%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Gambler's Blade,C,4.47,-0.03,14.0%,5727,0.9%,Vex | Xayah | Kindred | LeBlanc | Jhin
Talisman Of Ascension,C,4.49,-0.01,11.7%,2530,0.4%,Cho'Gath | Blitzcrank | Riven | Tahm Kench | Kindred
Sniper's Focus,D,4.51,+0.01,11.7%,4669,0.8%,Corki | Vex | Jhin | Kindred | Xayah
Ekko's Patience,D,4.51,+0.01,11.6%,4681,0.8%,Aurelion Sol | Zoe | Karma | Bard | Milio
Varus's Obsession,D,4.51,+0.01,10.9%,6301,1.0%,Corki | Vex | Kindred | Aurelion Sol | Xayah
Blighting Jewel,D,4.53,+0.03,12.4%,2943,0.5%,Bard | Vex | Karma | Aurelion Sol | Milio
Rapid Firecannon,D,4.57,+0.07,12.6%,3817,0.6%,Master Yi | Diana | Xayah | Graves | Vex
Luden's Tempest,D,4.63,+0.13,9.9%,3004,0.5%,Karma | Milio | Aurelion Sol | Bard | Lissandra
Yasuo's Bladework,D,4.66,+0.16,9.5%,3964,0.7%,Xayah | Kindred | Riven | Master Yi | Graves
