Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.91,-0.59,17.6%,1817,1.0%,Xayah | Master Yi | Riven | Graves | Urgot
Death's Defiance,S,4.18,-0.32,13.6%,1422,0.7%,Riven | Fiora | Master Yi | Blitzcrank | Graves
Hellfire Hatchet,A,4.21,-0.29,14.1%,1185,0.6%,Master Yi | Riven | Graves | Fiora | Urgot
Mogul's Mail,A,4.23,-0.27,16.6%,2540,1.3%,Nunu & Willump | Tahm Kench | Leona | Illaoi | Rammus
Lightshield Crest,A,4.28,-0.22,13.2%,2220,1.2%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Leona
Ahri's Aura,A,4.29,-0.21,13.3%,2088,1.1%,Aurelion Sol | Bard | Karma | Sona | Vex
Talisman Of Ascension,A,4.29,-0.21,13.7%,766,0.4%,Cho'Gath | Blitzcrank | Tahm Kench | Leona | Nunu & Willump
Mittens,A,4.29,-0.21,13.2%,1414,0.7%,Riven | Master Yi | Fiora | Graves | Xayah
Gold Collector,A,4.29,-0.21,11.9%,1469,0.8%,Corki | Jhin | Xayah | Miss Fortune | Graves
Void Gauntlet,A,4.29,-0.21,14.0%,1367,0.7%,Tahm Kench | Nunu & Willump | Maokai | Rammus | Illaoi
Dawncore,B,4.30,-0.20,14.4%,1714,0.9%,Miss Fortune | Sona | Lulu | Karma | Lissandra
Blighting Jewel,B,4.31,-0.19,13.0%,1031,0.5%,Vex | Bard | Karma | Aurelion Sol | Sona
Fishbones,B,4.31,-0.19,12.4%,1585,0.8%,Xayah | Corki | Kindred | Miss Fortune | Graves
Flickerblades,B,4.31,-0.19,14.7%,2359,1.2%,Vex | Xayah | Kindred | LeBlanc | Miss Fortune
Wit's End,B,4.32,-0.18,12.8%,1117,0.6%,Vex | Diana | Riven | LeBlanc | Blitzcrank
The Indomitable,B,4.33,-0.17,14.0%,2552,1.3%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Maokai
Silvermere Dawn,B,4.34,-0.16,12.2%,1170,0.6%,Corki | The Mighty Mech | Tahm Kench | Nunu & Willump | Urgot
Gambler's Blade,B,4.35,-0.15,16.1%,2057,1.1%,Vex | Xayah | LeBlanc | Kindred | Jhin
Evelynn's Instinct,B,4.36,-0.14,10.3%,2724,1.4%,Master Yi | Riven | Diana | Fiora | Bel'Veth
Statikk Shiv,B,4.38,-0.12,15.4%,1510,0.8%,Vex | LeBlanc | Xayah | Kindred | Milio
Thresh's Lantern,B,4.38,-0.12,12.1%,2870,1.5%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Maokai
Infinity Force,C,4.41,-0.09,11.0%,2096,1.1%,Master Yi | Riven | Fiora | Blitzcrank | Graves
Varus's Obsession,C,4.42,-0.08,11.0%,2128,1.1%,Vex | Corki | Xayah | Miss Fortune | Jhin
Hullcrusher,C,4.42,-0.08,11.1%,1181,0.6%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Riven
Lich Bane,C,4.43,-0.07,13.5%,980,0.5%,Sona | Vex | Milio | Karma | Riven
Cappa Juice,C,4.44,-0.06,14.5%,866,0.5%,Vex | Corki | Xayah | Miss Fortune | Kindred
Aegis of Dawn,C,4.45,-0.05,12.0%,1673,0.9%,Tahm Kench | Nunu & Willump | Rammus | Illaoi | Ornn
Soraka's Miracle,C,4.45,-0.05,11.1%,4422,2.3%,Nunu & Willump | Tahm Kench | Rammus | Leona | Illaoi
Eternal Pact,C,4.46,-0.04,11.9%,1153,0.6%,Bard | Aurelion Sol | Karma | Sona | Vex
Prowler's Claw,C,4.46,-0.04,10.0%,1211,0.6%,Urgot | Riven | Fiora | Master Yi | Graves
Aegis of Dusk,C,4.47,-0.03,11.1%,1393,0.7%,Nunu & Willump | Tahm Kench | Illaoi | Rammus | Leona
Sniper's Focus,C,4.49,-0.01,12.9%,1455,0.8%,Vex | Xayah | Corki | Jhin | Kindred
Seeker's Armguard,D,4.50,+0.00,13.1%,1251,0.7%,Diana | Blitzcrank | Riven | Vex | Aurelion Sol
Luden's Tempest,D,4.53,+0.03,9.7%,894,0.5%,Karma | Bard | Aurelion Sol | Nami | Sona
Zhonya's Paradox,D,4.57,+0.07,13.1%,1094,0.6%,Blitzcrank | Riven | Diana | Vex | Fiora
Yasuo's Bladework,D,4.58,+0.08,9.9%,1431,0.8%,Xayah | Kindred | Graves | Master Yi | Miss Fortune
Crown of Demacia,D,4.58,+0.08,9.5%,1058,0.6%,Cho'Gath | Vex | Xayah | Miss Fortune | Corki
Rapid Firecannon,D,4.59,+0.09,10.7%,1268,0.7%,Master Yi | Diana | Xayah | Graves | Vex
