Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.87,-0.63,18.2%,4780,0.9%,Master Yi | Riven | Xayah | Fiora | Graves
Death's Defiance,S,4.13,-0.37,14.7%,4716,0.9%,Riven | Master Yi | Fiora | Diana | Blitzcrank
Gold Collector,S,4.16,-0.34,14.2%,4461,0.8%,Corki | Kindred | Jhin | Graves | Kai'Sa
Lightshield Crest,A,4.22,-0.28,14.5%,6388,1.2%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Hellfire Hatchet,A,4.23,-0.27,14.0%,3646,0.7%,Riven | Master Yi | Fiora | Graves | Urgot
Mogul's Mail,A,4.23,-0.27,15.0%,5522,1.0%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Wit's End,A,4.24,-0.26,15.2%,3111,0.6%,Riven | Vex | Diana | LeBlanc | Master Yi
Infinity Force,A,4.29,-0.21,12.8%,6874,1.3%,Riven | Master Yi | Fiora | Blitzcrank | Diana
Eternal Pact,A,4.29,-0.21,14.0%,3795,0.7%,Aurelion Sol | Karma | Lulu | Milio | Bard
Fishbones,A,4.29,-0.21,12.1%,4310,0.8%,Corki | Kindred | Jhin | Kai'Sa | Graves
Ahri's Aura,B,4.30,-0.20,13.1%,6582,1.2%,Aurelion Sol | Karma | Milio | Bard | Lulu
Statikk Shiv,B,4.32,-0.18,15.3%,3398,0.6%,Vex | LeBlanc | Milio | Karma | Kindred
Evelynn's Instinct,B,4.34,-0.16,12.3%,7756,1.4%,Master Yi | Riven | Fiora | Diana | Bel'Veth
Silvermere Dawn,B,4.34,-0.16,12.2%,4049,0.7%,Corki | The Mighty Mech | Rammus | Tahm Kench | Riven
Void Gauntlet,B,4.34,-0.16,14.0%,3802,0.7%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Maokai
Flickerblades,B,4.35,-0.15,13.8%,4948,0.9%,Vex | Kindred | LeBlanc | Xayah | Diana
Thresh's Lantern,B,4.37,-0.13,12.9%,7670,1.4%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Dawncore,B,4.37,-0.13,14.8%,4819,0.9%,Lulu | Karma | Ezreal | Lissandra | Milio
Gambler's Blade,B,4.37,-0.13,15.0%,3978,0.7%,Vex | Kindred | LeBlanc | Milio | Xayah
Mittens,B,4.40,-0.10,12.6%,3899,0.7%,Riven | Master Yi | Fiora | Diana | Blitzcrank
The Indomitable,C,4.41,-0.09,12.6%,7087,1.3%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Lich Bane,C,4.41,-0.09,12.6%,2949,0.5%,Karma | Milio | Riven | Sona | Vex
Rapid Firecannon,C,4.42,-0.08,13.8%,3260,0.6%,Master Yi | Diana | Riven | Vex | Kindred
Sniper's Focus,C,4.42,-0.08,12.2%,4289,0.8%,Corki | Kindred | Aurelion Sol | Vex | Jhin
Aegis of Dawn,C,4.43,-0.07,12.2%,4677,0.9%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Talisman Of Ascension,C,4.45,-0.05,14.0%,2140,0.4%,Cho'Gath | Riven | Tahm Kench | Blitzcrank | The Mighty Mech
Cappa Juice,C,4.46,-0.04,13.7%,2413,0.4%,Corki | Aurelion Sol | Kindred | Vex | Karma
Soraka's Miracle,C,4.46,-0.04,12.1%,13157,2.4%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Cho'Gath
Hullcrusher,C,4.46,-0.04,11.7%,3763,0.7%,Rammus | The Mighty Mech | Nunu & Willump | Riven | Tahm Kench
Aegis of Dusk,C,4.48,-0.02,11.6%,4073,0.8%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Seeker's Armguard,C,4.49,-0.01,13.9%,3836,0.7%,Riven | Diana | Blitzcrank | Aurelion Sol | Karma
Prowler's Claw,D,4.50,+0.00,11.5%,3480,0.6%,Riven | Urgot | Master Yi | Fiora | Graves
Varus's Obsession,D,4.51,+0.01,10.2%,6006,1.1%,Corki | Aurelion Sol | Vex | Kindred | Karma
Zhonya's Paradox,D,4.52,+0.02,12.5%,3436,0.6%,Riven | Aurelion Sol | Blitzcrank | Diana | Karma
Ekko's Patience,D,4.53,+0.03,11.5%,5033,0.9%,Aurelion Sol | Zoe | Karma | Milio | Bard
Blighting Jewel,D,4.55,+0.05,12.4%,2861,0.5%,Aurelion Sol | Karma | Bard | Milio | Vex
Yasuo's Bladework,D,4.60,+0.10,9.9%,3262,0.6%,Kindred | Riven | Master Yi | Corki | Graves
Luden's Tempest,D,4.63,+0.13,11.0%,2856,0.5%,Karma | Aurelion Sol | Milio | Bard | Aurora
Crown of Demacia,D,4.63,+0.13,10.3%,2351,0.4%,Corki | Cho'Gath | Aurelion Sol | Vex | Lulu
