Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Horizon Focus,S,3.83,-0.67,24.1%,2896,0.7%,Lulu | Nunu & Willump | Maokai | Jax | Meepsie
Titanic Hydra,S,3.85,-0.65,18.6%,5014,1.2%,Master Yi | Xayah | Briar | Riven | Urgot
Death's Defiance,S,4.19,-0.31,13.1%,4357,1.0%,Riven | Master Yi | Briar | Fiora | Urgot
Silvermere Dawn,S,4.20,-0.30,15.0%,3128,0.8%,The Mighty Mech | Tahm Kench | Corki | Leona | Rammus
Lightshield Crest,A,4.21,-0.29,14.2%,5226,1.3%,Rammus | Tahm Kench | Jax | Nunu & Willump | Maokai
Mogul's Mail,A,4.21,-0.29,14.8%,4654,1.1%,Leona | Rammus | Tahm Kench | Nunu & Willump | Jax
Gold Collector,A,4.26,-0.24,14.1%,3456,0.8%,Corki | Kindred | Kai'Sa | Jhin | Urgot
Fishbones,A,4.28,-0.22,13.9%,3766,0.9%,Corki | Kindred | Kai'Sa | Bel'Veth | Xayah
Flickerblades,A,4.28,-0.22,14.2%,4858,1.2%,Kindred | Teemo | Xayah | Vex | LeBlanc
Dawncore,A,4.29,-0.21,16.1%,4124,1.0%,Lulu | Kai'Sa | Ezreal | Karma | Milio
Statikk Shiv,A,4.29,-0.21,13.7%,2847,0.7%,Teemo | Vex | LeBlanc | Kindred | Milio
Gambler's Blade,B,4.30,-0.20,14.2%,3540,0.9%,Teemo | Kindred | Vex | Xayah | LeBlanc
Hellfire Hatchet,B,4.32,-0.18,12.5%,3495,0.8%,Master Yi | Riven | Briar | Fiora | Urgot
Void Gauntlet,B,4.33,-0.17,13.7%,3098,0.7%,Tahm Kench | Maokai | Rammus | Nunu & Willump | Cho'Gath
Infinity Force,B,4.35,-0.15,12.8%,6585,1.6%,Master Yi | Riven | Fiora | Briar | Bel'Veth
Aegis of Dawn,B,4.36,-0.14,12.4%,4424,1.1%,Tahm Kench | Rammus | Jax | Maokai | Nunu & Willump
Mittens,B,4.36,-0.14,12.8%,3729,0.9%,Master Yi | Riven | Bel'Veth | Fiora | Briar
Lich Bane,B,4.36,-0.14,12.8%,2249,0.5%,Milio | Teemo | Riven | Karma | Twisted Fate
Wit's End,B,4.37,-0.13,13.2%,2567,0.6%,Riven | Teemo | Master Yi | Vex | Kindred
Thresh's Lantern,B,4.39,-0.11,12.4%,5259,1.3%,Tahm Kench | Rammus | Nunu & Willump | Maokai | Jax
The Indomitable,B,4.40,-0.10,13.3%,5787,1.4%,Tahm Kench | Rammus | Jax | Maokai | Nunu & Willump
Eternal Pact,C,4.41,-0.09,13.6%,2403,0.6%,Karma | Lulu | Milio | Twisted Fate | Aurelion Sol
Soraka's Miracle,C,4.43,-0.07,12.0%,10639,2.6%,Rammus | Jax | Tahm Kench | Leona | Nunu & Willump
Evelynn's Instinct,C,4.44,-0.06,11.2%,8060,1.9%,Master Yi | Bel'Veth | Riven | Fiora | Urgot
Ahri's Aura,C,4.44,-0.06,12.6%,4114,1.0%,Aurelion Sol | Karma | Lulu | Milio | Twisted Fate
Varus's Obsession,C,4.48,-0.02,11.0%,5768,1.4%,Teemo | Corki | Kindred | Twisted Fate | Kai'Sa
Prowler's Claw,C,4.49,-0.01,11.6%,3508,0.8%,Urgot | Master Yi | Riven | Briar | Fiora
Zhonya's Paradox,D,4.50,+0.00,12.5%,2455,0.6%,Riven | Master Yi | Fiora | Aurelion Sol | Karma
Ekko's Patience,D,4.50,+0.00,13.2%,4284,1.0%,Zoe | Aurelion Sol | Lulu | Milio | Karma
Sniper's Focus,D,4.50,+0.00,11.9%,3514,0.8%,Kindred | Corki | Kai'Sa | Lulu | Jhin
Hullcrusher,D,4.51,+0.01,11.3%,3292,0.8%,Rammus | Jax | The Mighty Mech | Leona | Maokai
Aegis of Dusk,D,4.51,+0.01,11.6%,2746,0.7%,Tahm Kench | Rammus | Jax | Maokai | Nunu & Willump
Cappa Juice,D,4.51,+0.01,12.9%,1964,0.5%,Kindred | Corki | Kai'Sa | Teemo | Lulu
Rapid Firecannon,D,4.53,+0.03,11.9%,3104,0.7%,Master Yi | Bel'Veth | Kindred | Urgot | Riven
Seeker's Armguard,D,4.55,+0.05,11.4%,2504,0.6%,Riven | Aurelion Sol | Blitzcrank | Diana | Jax
Blighting Jewel,D,4.56,+0.06,11.8%,1946,0.5%,Milio | Karma | Zoe | Lulu | Teemo
Luden's Tempest,D,4.58,+0.08,11.2%,2153,0.5%,Twisted Fate | Karma | Milio | Lulu | Lissandra
Crown of Demacia,D,4.61,+0.11,9.8%,2412,0.6%,Teemo | Cho'Gath | Corki | Kai'Sa | Lulu
Talisman Of Ascension,D,4.61,+0.11,12.7%,1652,0.4%,Cho'Gath | Kindred | Tahm Kench | Maokai | Riven
Yasuo's Bladework,D,4.80,+0.30,9.3%,3317,0.8%,Kindred | Master Yi | Bel'Veth | Riven | Urgot
