Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.90,-0.60,17.9%,5182,0.9%,Master Yi | Riven | Xayah | Graves | Fiora
Gold Collector,S,4.11,-0.39,15.7%,4729,0.9%,Corki | Jhin | Kindred | Graves | Xayah
Death's Defiance,S,4.19,-0.31,13.7%,4738,0.9%,Riven | Master Yi | Fiora | Diana | Blitzcrank
Lightshield Crest,A,4.23,-0.27,13.9%,6302,1.1%,Rammus | Nunu & Willump | Tahm Kench | Illaoi | The Mighty Mech
Mogul's Mail,A,4.24,-0.26,15.5%,6309,1.1%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Hellfire Hatchet,A,4.26,-0.24,12.6%,3608,0.6%,Riven | Master Yi | Fiora | Graves | Urgot
Dawncore,A,4.27,-0.23,14.9%,4832,0.9%,Lulu | Karma | Sona | Lissandra | Ezreal
Ahri's Aura,A,4.29,-0.21,13.6%,5891,1.1%,Aurelion Sol | Karma | Bard | Milio | Sona
Wit's End,A,4.30,-0.20,14.9%,3416,0.6%,Vex | Diana | Riven | LeBlanc | Blitzcrank
Statikk Shiv,B,4.32,-0.18,15.5%,3547,0.6%,Vex | LeBlanc | Kindred | Milio | Karma
Eternal Pact,B,4.34,-0.16,13.2%,3350,0.6%,Karma | Aurelion Sol | Bard | Milio | Lulu
Silvermere Dawn,B,4.34,-0.16,11.4%,3792,0.7%,Corki | The Mighty Mech | Tahm Kench | Nunu & Willump | Riven
Infinity Force,B,4.35,-0.15,11.9%,6676,1.2%,Riven | Master Yi | Fiora | Blitzcrank | Graves
Cappa Juice,B,4.36,-0.14,15.3%,2523,0.5%,Corki | Vex | Kindred | Aurelion Sol | Xayah
Fishbones,B,4.36,-0.14,11.6%,4726,0.9%,Corki | Xayah | Kindred | Jhin | Graves
Void Gauntlet,B,4.37,-0.13,13.9%,3860,0.7%,Tahm Kench | Nunu & Willump | Rammus | Maokai | The Mighty Mech
Evelynn's Instinct,B,4.38,-0.12,11.4%,7744,1.4%,Master Yi | Riven | Diana | Fiora | Bel'Veth
Thresh's Lantern,B,4.38,-0.12,12.5%,8228,1.5%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
The Indomitable,B,4.38,-0.12,13.1%,7301,1.3%,Rammus | Nunu & Willump | Tahm Kench | Illaoi | The Mighty Mech
Mittens,B,4.40,-0.10,12.2%,4052,0.7%,Riven | Master Yi | Fiora | Diana | Graves
Gambler's Blade,C,4.40,-0.10,15.5%,4921,0.9%,Vex | Xayah | Kindred | LeBlanc | Jhin
Flickerblades,C,4.42,-0.08,14.1%,5587,1.0%,Vex | Xayah | Kindred | LeBlanc | Diana
Seeker's Armguard,C,4.42,-0.08,13.8%,3744,0.7%,Diana | Riven | Blitzcrank | Vex | Aurelion Sol
Lich Bane,C,4.43,-0.07,12.9%,2857,0.5%,Milio | Vex | Sona | Karma | Riven
Talisman Of Ascension,C,4.43,-0.07,14.2%,2259,0.4%,Cho'Gath | Tahm Kench | Blitzcrank | Riven | Kindred
Aegis of Dawn,C,4.44,-0.06,11.6%,4914,0.9%,Rammus | Tahm Kench | Nunu & Willump | Illaoi | The Mighty Mech
Soraka's Miracle,C,4.46,-0.04,11.6%,13144,2.4%,Rammus | Nunu & Willump | Tahm Kench | Cho'Gath | Illaoi
Zhonya's Paradox,C,4.46,-0.04,12.9%,3318,0.6%,Riven | Blitzcrank | Diana | Aurelion Sol | Vex
Varus's Obsession,C,4.48,-0.02,10.8%,6002,1.1%,Corki | Vex | Aurelion Sol | Kindred | Xayah
Ekko's Patience,C,4.49,-0.01,12.1%,4318,0.8%,Aurelion Sol | Zoe | Karma | Bard | Milio
Prowler's Claw,C,4.49,-0.01,10.5%,3582,0.6%,Riven | Urgot | Master Yi | Fiora | Graves
Aegis of Dusk,C,4.49,-0.01,11.4%,3737,0.7%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Hullcrusher,D,4.52,+0.02,11.5%,3702,0.7%,Rammus | Nunu & Willump | The Mighty Mech | Tahm Kench | Riven
Sniper's Focus,D,4.52,+0.02,12.2%,4320,0.8%,Corki | Vex | Jhin | Xayah | Kindred
Blighting Jewel,D,4.53,+0.03,11.7%,2753,0.5%,Karma | Aurelion Sol | Bard | Vex | Milio
Crown of Demacia,D,4.54,+0.04,11.0%,2811,0.5%,Cho'Gath | Corki | Xayah | Vex | Lulu
Rapid Firecannon,D,4.56,+0.06,10.8%,3577,0.6%,Master Yi | Diana | Xayah | Riven | Vex
Luden's Tempest,D,4.62,+0.12,9.0%,2667,0.5%,Karma | Aurelion Sol | Milio | Bard | Lissandra
Yasuo's Bladework,D,4.70,+0.20,9.7%,3725,0.7%,Xayah | Kindred | Riven | Master Yi | Graves
