Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.87,-0.63,17.7%,1596,0.9%,Urgot | Master Yi | Briar | Xayah | Riven
Death's Defiance,S,4.08,-0.42,15.0%,1766,1.0%,Riven | Master Yi | Briar | Fiora | Urgot
Horizon Focus,S,4.08,-0.42,18.1%,961,0.5%,Nunu & Willump | Maokai | Rek'Sai | Meepsie | Rhaast
Lightshield Crest,S,4.19,-0.31,14.4%,1830,1.0%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Maokai
Fishbones,A,4.21,-0.29,14.2%,1648,0.9%,Kindred | Bel'Veth | Urgot | Corki | Kai'Sa
Statikk Shiv,A,4.24,-0.26,14.2%,1153,0.7%,Teemo | Vex | LeBlanc | Kindred | Twisted Fate
Prowler's Claw,A,4.26,-0.24,14.2%,1766,1.0%,Urgot | Master Yi | Riven | Briar | Fiora
Silvermere Dawn,A,4.29,-0.21,14.3%,1123,0.6%,The Mighty Mech | Urgot | Tahm Kench | Riven | Rhaast
The Indomitable,A,4.30,-0.20,14.3%,2239,1.3%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Maokai
Infinity Force,B,4.30,-0.20,14.0%,2721,1.5%,Master Yi | Riven | Fiora | Urgot | Briar
Gambler's Blade,B,4.32,-0.18,14.3%,1463,0.8%,Kindred | Teemo | Vex | Xayah | LeBlanc
Dawncore,B,4.33,-0.17,15.2%,1395,0.8%,Ezreal | Karma | Lulu | Kai'Sa | Aurora
Flickerblades,B,4.33,-0.17,13.3%,1944,1.1%,Kindred | Xayah | Teemo | Vex | Bel'Veth
Gold Collector,B,4.33,-0.17,14.4%,1356,0.8%,Corki | Kindred | Urgot | Kai'Sa | Ezreal
Hellfire Hatchet,B,4.35,-0.15,13.1%,1268,0.7%,Briar | Urgot | Master Yi | Riven | Fiora
Mogul's Mail,B,4.36,-0.14,13.7%,1697,1.0%,Nunu & Willump | Leona | Tahm Kench | Rammus | Jax
Void Gauntlet,B,4.38,-0.12,15.0%,1251,0.7%,Tahm Kench | Maokai | Cho'Gath | Nunu & Willump | Rammus
Thresh's Lantern,B,4.38,-0.12,14.2%,1866,1.1%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Illaoi
Wit's End,B,4.39,-0.11,12.0%,965,0.5%,Teemo | Riven | Vex | LeBlanc | Master Yi
Eternal Pact,C,4.41,-0.09,12.2%,930,0.5%,Karma | Aurora | Aurelion Sol | Lulu | Twisted Fate
Rapid Firecannon,C,4.42,-0.08,13.2%,1429,0.8%,Bel'Veth | Master Yi | Urgot | Kindred | Xayah
Mittens,C,4.43,-0.07,12.8%,1576,0.9%,Master Yi | Bel'Veth | Riven | Urgot | Fiora
Hullcrusher,C,4.44,-0.06,13.8%,1272,0.7%,The Mighty Mech | Nunu & Willump | Cho'Gath | Rammus | Jax
Aegis of Dawn,C,4.46,-0.04,12.5%,1485,0.8%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Soraka's Miracle,C,4.46,-0.04,13.1%,4039,2.3%,Cho'Gath | Nunu & Willump | Rammus | Tahm Kench | Jax
Sniper's Focus,C,4.46,-0.04,12.3%,1269,0.7%,Kindred | Kai'Sa | Jhin | Corki | Xayah
Ekko's Patience,C,4.48,-0.02,13.5%,1905,1.1%,Zoe | Aurelion Sol | Karma | Aurora | Lulu
Zhonya's Paradox,C,4.48,-0.02,11.7%,1125,0.6%,Riven | Aurelion Sol | Blitzcrank | Fiora | Karma
Evelynn's Instinct,C,4.48,-0.02,10.6%,3382,1.9%,Bel'Veth | Master Yi | Urgot | Riven | Fiora
Aegis of Dusk,C,4.49,-0.01,12.6%,1104,0.6%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Maokai
Ahri's Aura,C,4.49,-0.01,12.3%,1862,1.1%,Aurelion Sol | Karma | Lulu | Aurora | Twisted Fate
Seeker's Armguard,D,4.50,0.00,12.3%,1006,0.6%,Riven | Aurelion Sol | Blitzcrank | Diana | Cho'Gath
Talisman Of Ascension,D,4.52,+0.02,12.9%,649,0.4%,Cho'Gath | Kindred | Tahm Kench | The Mighty Mech | Leona
Lich Bane,D,4.52,+0.02,10.1%,879,0.5%,Karma | Twisted Fate | Teemo | Riven | Vex
Cappa Juice,D,4.53,+0.03,12.6%,745,0.4%,Kindred | Kai'Sa | Ezreal | Teemo | Corki
Crown of Demacia,D,4.54,+0.04,10.0%,1327,0.8%,Ezreal | Cho'Gath | Teemo | Kai'Sa | Twisted Fate
Varus's Obsession,D,4.59,+0.09,9.9%,2166,1.2%,Teemo | Ezreal | Kindred | Corki | Twisted Fate
Luden's Tempest,D,4.65,+0.15,10.4%,937,0.5%,Twisted Fate | Karma | Aurora | Nami | Aurelion Sol
Blighting Jewel,D,4.72,+0.22,9.3%,864,0.5%,Karma | Aurelion Sol | Zoe | Teemo | Vex
Yasuo's Bladework,D,4.73,+0.23,8.4%,1711,1.0%,Urgot | Kindred | Master Yi | Bel'Veth | Xayah
