Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.87,-0.63,18.4%,2861,1.1%,Master Yi | Xayah | Briar | Urgot | Riven
Horizon Focus,S,4.14,-0.36,20.8%,1702,0.6%,Nunu & Willump | Maokai | Lulu | Rek'Sai | Jax
Death's Defiance,S,4.19,-0.31,14.1%,2672,1.0%,Riven | Master Yi | Briar | Fiora | Urgot
Wit's End,A,4.21,-0.29,14.6%,1524,0.6%,Teemo | Riven | Master Yi | Vex | LeBlanc
Mogul's Mail,A,4.25,-0.25,14.5%,2793,1.0%,Leona | Nunu & Willump | Rammus | Tahm Kench | Jax
Lightshield Crest,A,4.26,-0.24,13.6%,2898,1.1%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Hellfire Hatchet,B,4.30,-0.20,13.6%,2093,0.8%,Briar | Master Yi | Riven | Urgot | Fiora
Gold Collector,B,4.32,-0.18,14.8%,2074,0.8%,Corki | Kindred | Kai'Sa | Urgot | Jhin
Infinity Force,B,4.32,-0.18,12.9%,4181,1.5%,Master Yi | Riven | Fiora | Briar | Bel'Veth
Dawncore,B,4.33,-0.17,15.9%,2277,0.8%,Lulu | Ezreal | Kai'Sa | Karma | Twisted Fate
Fishbones,B,4.34,-0.16,13.1%,2472,0.9%,Kindred | Corki | Bel'Veth | Kai'Sa | Urgot
Prowler's Claw,B,4.36,-0.14,12.6%,2388,0.9%,Urgot | Master Yi | Riven | Briar | Fiora
Statikk Shiv,B,4.36,-0.14,13.3%,1610,0.6%,Teemo | Vex | LeBlanc | Kindred | Karma
Gambler's Blade,B,4.36,-0.14,14.2%,2117,0.8%,Teemo | Kindred | Vex | Xayah | LeBlanc
Silvermere Dawn,B,4.36,-0.14,15.8%,1813,0.7%,The Mighty Mech | Urgot | Leona | Tahm Kench | Riven
Flickerblades,B,4.37,-0.13,13.2%,2959,1.1%,Kindred | Teemo | Xayah | Vex | Bel'Veth
Aegis of Dawn,B,4.38,-0.12,14.1%,2422,0.9%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Mittens,B,4.38,-0.12,13.1%,2354,0.9%,Master Yi | Riven | Bel'Veth | Urgot | Fiora
Eternal Pact,B,4.38,-0.12,12.3%,1461,0.5%,Karma | Lulu | Aurelion Sol | Twisted Fate | Aurora
Evelynn's Instinct,C,4.40,-0.10,11.4%,5186,1.9%,Master Yi | Bel'Veth | Riven | Urgot | Fiora
Void Gauntlet,C,4.41,-0.09,14.8%,1873,0.7%,Tahm Kench | Maokai | Rammus | Cho'Gath | Nunu & Willump
The Indomitable,C,4.44,-0.06,12.7%,3469,1.3%,Rammus | Tahm Kench | Nunu & Willump | Maokai | The Mighty Mech
Sniper's Focus,C,4.44,-0.06,12.3%,2222,0.8%,Kindred | Corki | Kai'Sa | Jhin | Lulu
Thresh's Lantern,C,4.45,-0.05,11.8%,2845,1.0%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Ahri's Aura,C,4.45,-0.05,12.1%,2832,1.0%,Aurelion Sol | Karma | Lulu | Milio | Twisted Fate
Lich Bane,C,4.45,-0.05,12.4%,1431,0.5%,Karma | Riven | Teemo | Milio | Twisted Fate
Zhonya's Paradox,C,4.47,-0.03,13.7%,1545,0.6%,Riven | Aurelion Sol | Fiora | Karma | Master Yi
Rapid Firecannon,C,4.47,-0.03,12.5%,2097,0.8%,Master Yi | Bel'Veth | Urgot | Kindred | Riven
Soraka's Miracle,C,4.50,-0.00,11.9%,6602,2.4%,Rammus | Tahm Kench | Jax | Nunu & Willump | Cho'Gath
Varus's Obsession,D,4.50,+0.00,11.4%,3288,1.2%,Teemo | Corki | Kindred | Ezreal | Kai'Sa
Luden's Tempest,D,4.50,+0.00,11.0%,1330,0.5%,Twisted Fate | Karma | Aurora | Lulu | Milio
Hullcrusher,D,4.51,+0.01,12.4%,1959,0.7%,The Mighty Mech | Rammus | Maokai | Jax | Tahm Kench
Ekko's Patience,D,4.54,+0.04,12.0%,2715,1.0%,Zoe | Aurelion Sol | Karma | Lulu | Milio
Seeker's Armguard,D,4.55,+0.05,12.4%,1570,0.6%,Riven | Aurelion Sol | Blitzcrank | Jax | Diana
Cappa Juice,D,4.55,+0.05,12.3%,1184,0.4%,Kindred | Kai'Sa | Corki | Teemo | Jhin
Aegis of Dusk,D,4.57,+0.07,13.1%,1712,0.6%,Tahm Kench | Nunu & Willump | Maokai | Rammus | The Mighty Mech
Crown of Demacia,D,4.60,+0.10,9.4%,1803,0.7%,Teemo | Cho'Gath | Ezreal | Corki | Kai'Sa
Blighting Jewel,D,4.62,+0.12,10.5%,1244,0.5%,Karma | Aurelion Sol | Zoe | Lulu | Teemo
Talisman Of Ascension,D,4.67,+0.17,10.8%,1071,0.4%,Cho'Gath | Kindred | Tahm Kench | Maokai | Leona
Yasuo's Bladework,D,4.71,+0.21,9.2%,2401,0.9%,Kindred | Master Yi | Urgot | Bel'Veth | Xayah
