Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.84,-0.66,18.7%,1446,1.0%,Xayah | Master Yi | Graves | Riven | Urgot
Gold Collector,S,4.11,-0.39,13.7%,1190,0.8%,Corki | Miss Fortune | Graves | Jhin | Xayah
Ahri's Aura,A,4.22,-0.28,13.3%,1635,1.1%,Aurelion Sol | Bard | Sona | Karma | Vex
Dawncore,A,4.23,-0.27,15.3%,1505,1.0%,Miss Fortune | Sona | Lulu | Karma | Nami
Fishbones,A,4.27,-0.23,13.4%,1191,0.8%,Corki | Xayah | Kindred | Graves | Miss Fortune
Mogul's Mail,A,4.27,-0.23,15.6%,1998,1.3%,Nunu & Willump | Tahm Kench | Leona | Illaoi | Rammus
Death's Defiance,A,4.28,-0.22,12.1%,1127,0.8%,Riven | Fiora | Master Yi | Blitzcrank | Urgot
Wit's End,A,4.30,-0.20,14.7%,856,0.6%,Vex | Diana | Riven | LeBlanc | Blitzcrank
Thresh's Lantern,B,4.30,-0.20,12.3%,2317,1.6%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Leona
Infinity Force,B,4.31,-0.19,11.9%,1636,1.1%,Riven | Master Yi | Fiora | Blitzcrank | Graves
Zhonya's Paradox,B,4.32,-0.18,14.3%,991,0.7%,Blitzcrank | Riven | Vex | Diana | Fiora
Cappa Juice,B,4.32,-0.18,14.9%,696,0.5%,Vex | Xayah | Corki | Miss Fortune | Kindred
Evelynn's Instinct,B,4.33,-0.17,10.1%,2228,1.5%,Master Yi | Riven | Fiora | Diana | Bel'Veth
Lightshield Crest,B,4.34,-0.16,12.6%,1654,1.1%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Leona
Silvermere Dawn,B,4.35,-0.15,12.2%,975,0.7%,Corki | The Mighty Mech | Tahm Kench | Nunu & Willump | Leona
The Indomitable,B,4.36,-0.14,13.3%,1988,1.3%,Nunu & Willump | Tahm Kench | Rammus | Leona | Illaoi
Luden's Tempest,B,4.36,-0.14,11.8%,768,0.5%,Karma | Bard | Nami | Sona | Aurelion Sol
Seeker's Armguard,B,4.38,-0.12,14.0%,1013,0.7%,Diana | Blitzcrank | Riven | Vex | Aurelion Sol
Hellfire Hatchet,B,4.38,-0.12,13.5%,978,0.7%,Riven | Master Yi | Graves | Fiora | Urgot
Void Gauntlet,B,4.39,-0.11,13.0%,1096,0.7%,Tahm Kench | Nunu & Willump | Maokai | Rammus | Illaoi
Lich Bane,C,4.40,-0.10,12.9%,859,0.6%,Vex | Sona | Milio | Karma | LeBlanc
Blighting Jewel,C,4.41,-0.09,13.4%,800,0.5%,Bard | Vex | Aurelion Sol | Karma | Sona
Prowler's Claw,C,4.43,-0.07,11.0%,930,0.6%,Urgot | Riven | Fiora | Master Yi | Graves
Eternal Pact,C,4.43,-0.07,12.0%,933,0.6%,Bard | Aurelion Sol | Karma | Vex | Sona
Talisman Of Ascension,C,4.45,-0.05,13.6%,664,0.4%,Cho'Gath | Blitzcrank | Tahm Kench | Leona | Vex
Flickerblades,C,4.46,-0.04,11.9%,1778,1.2%,Vex | Xayah | LeBlanc | Kindred | Miss Fortune
Gambler's Blade,C,4.46,-0.04,13.2%,1598,1.1%,Vex | Xayah | LeBlanc | Kindred | Sona
Soraka's Miracle,C,4.46,-0.04,12.2%,3413,2.3%,Nunu & Willump | Tahm Kench | Rammus | Leona | Illaoi
Mittens,C,4.47,-0.03,12.7%,1108,0.7%,Riven | Master Yi | Fiora | Graves | Xayah
Sniper's Focus,C,4.47,-0.03,12.2%,1152,0.8%,Vex | Xayah | Corki | Jhin | Kindred
Statikk Shiv,C,4.48,-0.02,13.9%,1021,0.7%,Vex | LeBlanc | Xayah | Kindred | Milio
Varus's Obsession,C,4.48,-0.02,10.7%,1614,1.1%,Vex | Corki | Miss Fortune | Xayah | LeBlanc
Crown of Demacia,C,4.49,-0.01,14.4%,814,0.5%,Cho'Gath | Vex | Miss Fortune | Xayah | Corki
Rapid Firecannon,D,4.51,+0.01,12.2%,965,0.7%,Master Yi | Diana | Xayah | Graves | Vex
Aegis of Dawn,D,4.51,+0.01,12.2%,1280,0.9%,Tahm Kench | Nunu & Willump | Rammus | Ornn | Leona
Aegis of Dusk,D,4.52,+0.02,11.5%,1074,0.7%,Nunu & Willump | Tahm Kench | Illaoi | Leona | Rammus
Yasuo's Bladework,D,4.55,+0.05,9.9%,1143,0.8%,Xayah | Kindred | Graves | Miss Fortune | Master Yi
Hullcrusher,D,4.60,+0.10,8.4%,916,0.6%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Leona
