Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.93,-0.57,18.5%,5259,0.9%,Xayah | Master Yi | Riven | Graves | Urgot
The Indomitable,S,4.19,-0.31,15.0%,8828,1.5%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Maokai
Mogul's Mail,S,4.20,-0.30,14.8%,8064,1.3%,Nunu & Willump | Ornn | Tahm Kench | Rammus | Leona
Dawncore,A,4.21,-0.29,14.5%,6368,1.1%,Nami | Miss Fortune | Sona | Lulu | Samira
Death's Defiance,A,4.22,-0.28,13.1%,4441,0.7%,Riven | Fiora | Master Yi | Blitzcrank | Urgot
Lightshield Crest,A,4.24,-0.26,13.8%,7175,1.2%,Ornn | Nunu & Willump | Rammus | Tahm Kench | Illaoi
Gold Collector,A,4.25,-0.25,13.8%,4998,0.8%,Corki | Samira | Miss Fortune | Graves | Jhin
Fishbones,A,4.27,-0.23,13.4%,5002,0.8%,Samira | Corki | Xayah | Kindred | Graves
Void Gauntlet,A,4.30,-0.20,13.6%,4448,0.7%,Tahm Kench | Ornn | Maokai | Nunu & Willump | Rammus
Silvermere Dawn,B,4.31,-0.19,13.7%,4122,0.7%,Corki | The Mighty Mech | Ornn | Tahm Kench | Nunu & Willump
Blighting Jewel,B,4.32,-0.18,12.9%,3360,0.6%,Bard | Nami | Vex | Aurelion Sol | Karma
Infinity Force,B,4.33,-0.17,11.8%,6045,1.0%,Riven | Master Yi | Fiora | Blitzcrank | Urgot
Ahri's Aura,B,4.33,-0.17,11.8%,6344,1.1%,Aurelion Sol | Nami | Bard | Sona | Karma
Gambler's Blade,B,4.34,-0.16,13.6%,6157,1.0%,Vex | Xayah | LeBlanc | Kindred | Samira
Hellfire Hatchet,B,4.34,-0.16,13.3%,3467,0.6%,Riven | Master Yi | Graves | Urgot | Fiora
Wit's End,B,4.34,-0.16,14.3%,3519,0.6%,Vex | Diana | Riven | Blitzcrank | LeBlanc
Lich Bane,B,4.36,-0.14,13.4%,3327,0.6%,Sona | Nami | Vex | Milio | Karma
Thresh's Lantern,B,4.37,-0.13,12.5%,9604,1.6%,Nunu & Willump | Ornn | Tahm Kench | Rammus | Illaoi
Eternal Pact,B,4.37,-0.13,12.7%,3821,0.6%,Nami | Bard | Aurelion Sol | Karma | Sona
Talisman Of Ascension,B,4.38,-0.12,13.9%,2901,0.5%,Cho'Gath | Ornn | Blitzcrank | Tahm Kench | Maokai
Aegis of Dawn,B,4.40,-0.10,11.8%,5511,0.9%,Ornn | Tahm Kench | Rammus | Nunu & Willump | Maokai
Statikk Shiv,B,4.40,-0.10,14.4%,4015,0.7%,Vex | LeBlanc | Nami | Kindred | Xayah
Flickerblades,C,4.40,-0.10,12.8%,6445,1.1%,Vex | Xayah | Kindred | LeBlanc | Miss Fortune
Cappa Juice,C,4.41,-0.09,13.1%,2829,0.5%,Samira | Vex | Corki | Miss Fortune | Xayah
Soraka's Miracle,C,4.44,-0.06,11.6%,14933,2.5%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Cho'Gath
Mittens,C,4.44,-0.06,11.8%,3944,0.7%,Riven | Master Yi | Fiora | Blitzcrank | Graves
Aegis of Dusk,C,4.45,-0.05,12.7%,4234,0.7%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Illaoi
Zhonya's Paradox,C,4.45,-0.05,13.1%,3434,0.6%,Blitzcrank | Riven | Diana | Aurelion Sol | Vex
Evelynn's Instinct,C,4.45,-0.05,10.0%,7572,1.3%,Master Yi | Riven | Fiora | Diana | Bel'Veth
Sniper's Focus,C,4.46,-0.04,11.7%,4942,0.8%,Samira | Vex | Jhin | Xayah | Corki
Luden's Tempest,C,4.46,-0.04,10.8%,3124,0.5%,Nami | Karma | Bard | Blitzcrank | Sona
Hullcrusher,C,4.46,-0.04,11.9%,4130,0.7%,Ornn | Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech
Crown of Demacia,C,4.47,-0.03,11.4%,4130,0.7%,Cho'Gath | Samira | Gnar | Miss Fortune | Xayah
Varus's Obsession,C,4.48,-0.02,10.9%,6844,1.1%,Samira | Corki | Vex | Miss Fortune | Nami
Seeker's Armguard,C,4.49,-0.01,11.9%,3891,0.6%,Blitzcrank | Diana | Riven | Vex | Gwen
Prowler's Claw,D,4.52,+0.02,10.6%,3467,0.6%,Urgot | Riven | Fiora | Master Yi | Graves
Rapid Firecannon,D,4.54,+0.04,12.6%,3708,0.6%,Master Yi | Diana | Xayah | Graves | Samira
Yasuo's Bladework,D,4.61,+0.11,9.9%,4416,0.7%,Xayah | Samira | Kindred | Graves | Miss Fortune
