Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Horizon Focus,S,3.79,-0.71,25.3%,2436,0.7%,Nunu & Willump | Lulu | Maokai | Meepsie | Jax
Titanic Hydra,S,3.87,-0.63,17.8%,4192,1.2%,Master Yi | Xayah | Briar | Riven | Urgot
Death's Defiance,S,4.15,-0.35,14.7%,3660,1.0%,Riven | Master Yi | Briar | Fiora | Urgot
Silvermere Dawn,A,4.21,-0.29,15.1%,2403,0.7%,The Mighty Mech | Tahm Kench | Rammus | Leona | Jax
Lightshield Crest,A,4.22,-0.28,14.8%,4073,1.2%,Rammus | Tahm Kench | Jax | Nunu & Willump | Maokai
Mogul's Mail,A,4.24,-0.26,14.5%,3797,1.1%,Leona | Nunu & Willump | Rammus | Tahm Kench | Jax
Gold Collector,A,4.25,-0.25,14.6%,2871,0.8%,Corki | Kindred | Kai'Sa | Jhin | Urgot
Gambler's Blade,A,4.27,-0.23,14.3%,3039,0.9%,Teemo | Kindred | Vex | Xayah | LeBlanc
Statikk Shiv,B,4.31,-0.19,13.0%,2420,0.7%,Teemo | Vex | LeBlanc | Kindred | Twisted Fate
Aegis of Dawn,B,4.32,-0.18,13.0%,3420,1.0%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Dawncore,B,4.32,-0.18,16.6%,3444,1.0%,Lulu | Ezreal | Kai'Sa | Karma | Lissandra
Fishbones,B,4.33,-0.17,12.3%,3142,0.9%,Kindred | Corki | Kai'Sa | Bel'Veth | Xayah
Infinity Force,B,4.33,-0.17,12.7%,5493,1.6%,Master Yi | Riven | Fiora | Briar | Bel'Veth
Void Gauntlet,B,4.34,-0.16,13.4%,2502,0.7%,Tahm Kench | Maokai | Rammus | Cho'Gath | The Mighty Mech
Flickerblades,B,4.34,-0.16,12.9%,3896,1.1%,Kindred | Teemo | Vex | Xayah | LeBlanc
Hellfire Hatchet,B,4.38,-0.12,12.7%,2924,0.8%,Master Yi | Briar | Riven | Fiora | Urgot
The Indomitable,B,4.38,-0.12,14.0%,4781,1.4%,Tahm Kench | Rammus | Nunu & Willump | Maokai | Jax
Lich Bane,B,4.39,-0.11,12.9%,1989,0.6%,Milio | Karma | Teemo | Riven | Twisted Fate
Thresh's Lantern,C,4.40,-0.10,12.0%,4345,1.2%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Wit's End,C,4.41,-0.09,11.8%,2233,0.6%,Riven | Teemo | Master Yi | Vex | Kindred
Ahri's Aura,C,4.42,-0.08,13.3%,3649,1.0%,Aurelion Sol | Karma | Lulu | Milio | Twisted Fate
Zhonya's Paradox,C,4.43,-0.07,13.5%,2074,0.6%,Riven | Master Yi | Aurelion Sol | Fiora | Karma
Evelynn's Instinct,C,4.44,-0.06,10.7%,6982,2.0%,Master Yi | Bel'Veth | Riven | Fiora | Urgot
Soraka's Miracle,C,4.44,-0.06,12.4%,9176,2.6%,Rammus | Tahm Kench | Jax | Nunu & Willump | Leona
Eternal Pact,C,4.45,-0.05,13.1%,1949,0.6%,Karma | Lulu | Milio | Aurelion Sol | Twisted Fate
Mittens,C,4.46,-0.04,11.4%,3120,0.9%,Master Yi | Riven | Bel'Veth | Fiora | Urgot
Prowler's Claw,C,4.46,-0.04,11.3%,2974,0.8%,Urgot | Master Yi | Riven | Briar | Fiora
Hullcrusher,C,4.49,-0.01,11.8%,2634,0.7%,Rammus | The Mighty Mech | Jax | Leona | Tahm Kench
Luden's Tempest,C,4.50,-0.00,10.6%,1873,0.5%,Twisted Fate | Karma | Milio | Lulu | Lissandra
Rapid Firecannon,D,4.54,+0.04,11.8%,2665,0.8%,Master Yi | Bel'Veth | Urgot | Kindred | Riven
Varus's Obsession,D,4.55,+0.05,10.6%,4384,1.2%,Teemo | Corki | Kindred | Kai'Sa | Ezreal
Sniper's Focus,D,4.55,+0.05,11.5%,2946,0.8%,Kindred | Corki | Kai'Sa | Lulu | Jhin
Seeker's Armguard,D,4.55,+0.05,12.4%,2190,0.6%,Riven | Aurelion Sol | Blitzcrank | Fiora | Jax
Crown of Demacia,D,4.55,+0.05,10.6%,2101,0.6%,Teemo | Cho'Gath | Corki | Kai'Sa | Ezreal
Ekko's Patience,D,4.55,+0.05,12.0%,3685,1.0%,Zoe | Aurelion Sol | Lulu | Karma | Milio
Aegis of Dusk,D,4.56,+0.06,12.0%,2277,0.6%,Tahm Kench | Rammus | Jax | Maokai | Nunu & Willump
Cappa Juice,D,4.57,+0.07,14.0%,1643,0.5%,Kindred | Kai'Sa | Corki | Teemo | Lulu
Talisman Of Ascension,D,4.57,+0.07,12.6%,1433,0.4%,Cho'Gath | Kindred | Tahm Kench | Maokai | Leona
Blighting Jewel,D,4.63,+0.13,11.2%,1685,0.5%,Karma | Lulu | Milio | Zoe | Teemo
Yasuo's Bladework,D,4.73,+0.23,10.0%,2834,0.8%,Kindred | Master Yi | Bel'Veth | Urgot | Xayah
