Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.85,-0.65,18.4%,3835,1.0%,Xayah | Master Yi | Graves | Riven | Urgot
Gold Collector,S,4.19,-0.31,13.5%,3074,0.8%,Corki | Jhin | Miss Fortune | Xayah | Graves
Death's Defiance,A,4.22,-0.28,13.7%,2979,0.8%,Riven | Fiora | Master Yi | Blitzcrank | Graves
Hellfire Hatchet,A,4.22,-0.28,13.6%,2467,0.6%,Master Yi | Riven | Graves | Fiora | Urgot
Lightshield Crest,A,4.24,-0.26,13.3%,4526,1.1%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Leona
Mogul's Mail,A,4.24,-0.26,15.7%,5344,1.4%,Nunu & Willump | Tahm Kench | Leona | Illaoi | Rammus
Ahri's Aura,A,4.27,-0.23,13.5%,4402,1.1%,Aurelion Sol | Bard | Karma | Sona | Vex
Blighting Jewel,A,4.27,-0.23,14.2%,2299,0.6%,Bard | Vex | Karma | Aurelion Sol | Sona
Talisman Of Ascension,A,4.28,-0.22,14.9%,1629,0.4%,Cho'Gath | Blitzcrank | Leona | Tahm Kench | Nunu & Willump
Dawncore,A,4.29,-0.21,14.0%,3596,0.9%,Miss Fortune | Sona | Lulu | Karma | Nami
Silvermere Dawn,B,4.33,-0.17,12.9%,2411,0.6%,Corki | The Mighty Mech | Tahm Kench | Nunu & Willump | Leona
Wit's End,B,4.33,-0.17,12.7%,2390,0.6%,Vex | Diana | LeBlanc | Riven | Blitzcrank
Fishbones,B,4.34,-0.16,12.0%,3365,0.9%,Xayah | Corki | Kindred | Graves | Miss Fortune
Mittens,B,4.35,-0.15,12.5%,3007,0.8%,Riven | Master Yi | Fiora | Graves | Xayah
Void Gauntlet,B,4.35,-0.15,12.9%,2805,0.7%,Tahm Kench | Nunu & Willump | Maokai | Rammus | Leona
Lich Bane,B,4.35,-0.15,13.8%,2133,0.5%,Sona | Vex | Milio | Karma | LeBlanc
Infinity Force,B,4.35,-0.15,11.5%,4205,1.1%,Master Yi | Riven | Fiora | Blitzcrank | Graves
The Indomitable,B,4.36,-0.14,13.6%,5247,1.3%,Nunu & Willump | Tahm Kench | Rammus | Leona | Illaoi
Evelynn's Instinct,B,4.37,-0.13,10.4%,5741,1.5%,Master Yi | Riven | Fiora | Diana | Bel'Veth
Flickerblades,B,4.37,-0.13,13.9%,4863,1.2%,Vex | Xayah | LeBlanc | Kindred | Miss Fortune
Statikk Shiv,B,4.38,-0.12,14.6%,3056,0.8%,Vex | LeBlanc | Xayah | Kindred | Milio
Thresh's Lantern,B,4.39,-0.11,12.2%,5865,1.5%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Leona
Gambler's Blade,B,4.39,-0.11,15.0%,4347,1.1%,Vex | Xayah | LeBlanc | Kindred | Jhin
Eternal Pact,C,4.41,-0.09,13.0%,2427,0.6%,Bard | Aurelion Sol | Karma | Vex | Sona
Seeker's Armguard,C,4.43,-0.07,13.4%,2635,0.7%,Diana | Blitzcrank | Riven | Vex | Aurelion Sol
Aegis of Dawn,C,4.43,-0.07,12.1%,3442,0.9%,Tahm Kench | Nunu & Willump | Rammus | Illaoi | Leona
Hullcrusher,C,4.45,-0.05,12.4%,2419,0.6%,Nunu & Willump | Tahm Kench | Rammus | Leona | The Mighty Mech
Cappa Juice,C,4.46,-0.04,14.9%,1746,0.4%,Vex | Xayah | Corki | Miss Fortune | Kindred
Varus's Obsession,C,4.48,-0.02,10.5%,4310,1.1%,Vex | Corki | Xayah | Miss Fortune | LeBlanc
Prowler's Claw,C,4.49,-0.01,10.1%,2542,0.6%,Urgot | Riven | Fiora | Master Yi | Graves
Soraka's Miracle,C,4.49,-0.01,10.9%,9340,2.4%,Nunu & Willump | Tahm Kench | Rammus | Leona | Illaoi
Aegis of Dusk,C,4.50,-0.00,11.4%,2841,0.7%,Nunu & Willump | Tahm Kench | Leona | Illaoi | Rammus
Crown of Demacia,D,4.52,+0.02,10.9%,2259,0.6%,Cho'Gath | Vex | Xayah | Miss Fortune | Corki
Luden's Tempest,D,4.52,+0.02,10.4%,1892,0.5%,Karma | Bard | Aurelion Sol | Nami | Sona
Sniper's Focus,D,4.54,+0.04,11.8%,3082,0.8%,Vex | Xayah | Jhin | Corki | Kindred
Zhonya's Paradox,D,4.57,+0.07,12.5%,2266,0.6%,Blitzcrank | Riven | Vex | Diana | Fiora
Yasuo's Bladework,D,4.60,+0.10,9.5%,2975,0.8%,Xayah | Kindred | Graves | Master Yi | Miss Fortune
Rapid Firecannon,D,4.61,+0.11,10.6%,2564,0.6%,Master Yi | Diana | Xayah | Graves | Vex
