Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.95,-0.55,18.0%,5420,1.0%,Xayah | Master Yi | Riven | Graves | Urgot
Gold Collector,S,4.19,-0.31,13.4%,4699,0.8%,Corki | Miss Fortune | Graves | Jhin | Samira
Dawncore,A,4.22,-0.28,14.3%,5873,1.0%,Miss Fortune | Sona | Nami | Lulu | Karma
Death's Defiance,A,4.22,-0.28,12.7%,4440,0.8%,Riven | Fiora | Master Yi | Urgot | Blitzcrank
Mogul's Mail,A,4.23,-0.27,15.2%,7623,1.3%,Nunu & Willump | Tahm Kench | Rammus | Ornn | Leona
Hellfire Hatchet,A,4.30,-0.20,14.2%,3702,0.7%,Riven | Master Yi | Graves | Fiora | Urgot
Ahri's Aura,A,4.30,-0.20,12.5%,6272,1.1%,Aurelion Sol | Bard | Sona | Karma | Nami
Thresh's Lantern,A,4.30,-0.20,13.4%,9034,1.6%,Nunu & Willump | Tahm Kench | Rammus | Ornn | Illaoi
Lightshield Crest,B,4.31,-0.19,13.6%,6513,1.1%,Nunu & Willump | Tahm Kench | Rammus | Ornn | Illaoi
Fishbones,B,4.31,-0.19,12.6%,4844,0.9%,Corki | Xayah | Kindred | Miss Fortune | Graves
Wit's End,B,4.31,-0.19,14.0%,3426,0.6%,Vex | Diana | Riven | Blitzcrank | LeBlanc
Infinity Force,B,4.31,-0.19,11.7%,6170,1.1%,Riven | Master Yi | Fiora | Blitzcrank | Urgot
Eternal Pact,B,4.33,-0.17,13.6%,3524,0.6%,Bard | Nami | Aurelion Sol | Karma | Sona
Silvermere Dawn,B,4.34,-0.16,12.8%,3814,0.7%,Corki | The Mighty Mech | Tahm Kench | Nunu & Willump | Rammus
The Indomitable,B,4.34,-0.16,13.8%,7680,1.3%,Nunu & Willump | Tahm Kench | Rammus | Ornn | Maokai
Void Gauntlet,B,4.34,-0.16,12.6%,4191,0.7%,Tahm Kench | Nunu & Willump | Maokai | Rammus | Ornn
Evelynn's Instinct,B,4.36,-0.14,10.1%,8362,1.5%,Master Yi | Riven | Fiora | Diana | Bel'Veth
Lich Bane,B,4.36,-0.14,13.1%,3143,0.6%,Sona | Vex | Milio | Karma | Nami
Statikk Shiv,B,4.39,-0.11,14.5%,3843,0.7%,Vex | LeBlanc | Kindred | Xayah | Nami
Aegis of Dawn,C,4.42,-0.08,12.2%,5162,0.9%,Tahm Kench | Rammus | Nunu & Willump | Ornn | Maokai
Cappa Juice,C,4.42,-0.08,14.2%,2629,0.5%,Vex | Corki | Xayah | Miss Fortune | Kindred
Crown of Demacia,C,4.42,-0.08,13.2%,3612,0.6%,Cho'Gath | Miss Fortune | Vex | Xayah | Corki
Talisman Of Ascension,C,4.42,-0.08,14.0%,2580,0.5%,Cho'Gath | Blitzcrank | Tahm Kench | Ornn | Leona
Blighting Jewel,C,4.42,-0.08,12.7%,3106,0.5%,Bard | Vex | Aurelion Sol | Karma | Nami
Mittens,C,4.42,-0.08,12.8%,4079,0.7%,Riven | Master Yi | Fiora | Graves | Xayah
Seeker's Armguard,C,4.42,-0.08,12.7%,3880,0.7%,Diana | Riven | Blitzcrank | Vex | Gwen
Zhonya's Paradox,C,4.44,-0.06,13.4%,3474,0.6%,Blitzcrank | Riven | Diana | Vex | Fiora
Sniper's Focus,C,4.45,-0.05,12.1%,4371,0.8%,Vex | Xayah | Corki | Jhin | Kindred
Gambler's Blade,C,4.45,-0.05,13.6%,6018,1.1%,Vex | Xayah | Kindred | LeBlanc | Jhin
Flickerblades,C,4.45,-0.05,12.5%,6434,1.1%,Vex | Xayah | Kindred | LeBlanc | Miss Fortune
Soraka's Miracle,C,4.47,-0.03,11.7%,13416,2.4%,Nunu & Willump | Tahm Kench | Rammus | Ornn | Cho'Gath
Prowler's Claw,C,4.49,-0.01,10.2%,3456,0.6%,Urgot | Riven | Fiora | Master Yi | Graves
Hullcrusher,D,4.50,+0.00,11.2%,3744,0.7%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Ornn
Aegis of Dusk,D,4.51,+0.01,12.3%,4122,0.7%,Nunu & Willump | Tahm Kench | Rammus | Ornn | Illaoi
Varus's Obsession,D,4.53,+0.03,10.3%,6326,1.1%,Corki | Vex | Miss Fortune | Xayah | Samira
Luden's Tempest,D,4.55,+0.05,11.0%,2953,0.5%,Nami | Karma | Bard | Milio | Aurelion Sol
Yasuo's Bladework,D,4.56,+0.06,10.2%,4266,0.7%,Xayah | Kindred | Graves | Miss Fortune | Master Yi
Rapid Firecannon,D,4.63,+0.13,11.1%,3566,0.6%,Master Yi | Diana | Xayah | Graves | Vex
