Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
찬란한 내셔의 이빨,S,4.00,-0.50,14.8%,53141,0.7%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 오로라
찬란한 무한의 대검,S,4.02,-0.48,19.6%,99153,1.3%,자야 | 우르곳 | 진 | 카이사 | 사미라
찬란한 거인 학살자,S,4.04,-0.46,15.5%,117675,1.5%,우르곳 | 벨베스 | 벡스 | 자야 | 티모
찬란한 라바돈의 죽음모자,S,4.05,-0.45,14.1%,53620,0.7%,빅토르 | 트위스티드 페이트 | 아우렐리온 솔 | 벡스 | 티모
찬란한 최후의 속삭임,S,4.07,-0.43,16.7%,20806,0.3%,자야 | 진 | 우르곳 | 코르키 | 사미라
찬란한 죽음의 검,S,4.09,-0.41,15.9%,38826,0.5%,자야 | 진 | 우르곳 | 카이사 | 코르키
찬란한 붉은 덩굴정령,S,4.09,-0.41,16.0%,18482,0.2%,자야 | 벡스 | 나미 | 진 | 오로라
찬란한 가고일 돌갑옷,S,4.11,-0.39,15.5%,132789,1.7%,거대 메크 로봇 | 레오나 | 누누와 윌럼프 | 잭스 | 람머스
찬란한 크라켄의 분노,S,4.12,-0.38,14.6%,34642,0.5%,자야 | 벨베스 | 킨드레드 | 케이틀린 | 그레이브즈
찬란한 스테락의 도전,S,4.17,-0.33,14.3%,28604,0.4%,브라이어 | 거대 메크 로봇 | 피오라 | 리븐 | 우르곳
찬란한 밤의 끝자락,S,4.17,-0.33,12.8%,29571,0.4%,마스터 이 | 리븐 | 꼬마 정령 | 파이크 | 피오라
찬란한 마법공학 총검,S,4.19,-0.31,13.3%,25305,0.3%,벡스 | 티모 | 르블랑 | 탈론 | 자야
찬란한 타격대의 철퇴,S,4.19,-0.31,15.2%,31757,0.4%,카이사 | 우르곳 | 벡스 | 코르키 | 자야
찬란한 수은,S,4.19,-0.31,13.2%,41815,0.5%,우르곳 | 벨베스 | 마스터 이 | 그레이브즈 | 피오라
찬란한 보석 건틀릿,S,4.20,-0.30,13.4%,96167,1.3%,빅토르 | 나미 | 아우렐리온 솔 | 벡스 | 베이가
찬란한 저녁갑주,A,4.21,-0.29,14.6%,27401,0.4%,누누와 윌럼프 | 마오카이 | 람머스 | 오른 | 렉사이
찬란한 공허의 지팡이,A,4.21,-0.29,12.3%,36371,0.5%,나미 | 빅토르 | 아우렐리온 솔 | 벡스 | 카르마
찬란한 거인의 결의,A,4.22,-0.28,12.6%,33514,0.4%,브라이어 | 리븐 | 거대 메크 로봇 | 피오라 | 마스터 이
찬란한 이온 충격기,A,4.23,-0.27,12.1%,14589,0.2%,일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 람머스 | 탐 켄치
찬란한 쇼진의 창,A,4.25,-0.25,14.0%,57237,0.7%,나미 | 카르마 | 제드 | 오로라 | 사미라
찬란한 도적의 장갑,A,4.25,-0.25,13.0%,117995,1.5%,블리츠크랭크 | 피오라 | 탈론 | 라아스트 | 리븐
찬란한 모렐로노미콘,A,4.26,-0.24,12.7%,13624,0.2%,오로라 | 카르마 | 나미 | 바드 | 조이
찬란한 정의의 손길,A,4.27,-0.23,11.5%,38065,0.5%,우르곳 | 피오라 | 꼬마 정령 | 아칼리 | 마스터 이
찬란한 태양불꽃 망토,A,4.27,-0.23,12.2%,70745,0.9%,누누와 윌럼프 | 람머스 | 일라오이 | 마오카이 | 탐 켄치
찬란한 대천사의 지팡이,B,4.31,-0.19,11.1%,28267,0.4%,빅토르 | 아우렐리온 솔 | 오로라 | 트위스티드 페이트 | 벡스
찬란한 푸른 파수꾼,B,4.31,-0.19,12.4%,22251,0.3%,카이사 | 오로라 | 카르마 | 나미 | 코르키
찬란한 워모그의 갑옷,B,4.35,-0.15,12.1%,58571,0.8%,누누와 윌럼프 | 레오나 | 일라오이 | 람머스 | 마오카이
찬란한 수호자의 맹세,B,4.35,-0.15,14.6%,58293,0.8%,누누와 윌럼프 | 람머스 | 마오카이 | 렉사이 | 탐 켄치
찬란한 피바라기,B,4.39,-0.11,11.5%,41501,0.5%,리븐 | 브라이어 | 피오라 | 마스터 이 | 그레이브즈
찬란한 크라운가드,B,4.39,-0.11,11.4%,17923,0.2%,누누와 윌럼프 | 잭스 | 람머스 | 마오카이 | 오른
찬란한 정령의 형상,B,4.39,-0.11,11.7%,54665,0.7%,누누와 윌럼프 | 람머스 | 일라오이 | 레오나 | 탐 켄치
찬란한 굳건한 심장,C,4.41,-0.09,11.5%,20352,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 레오나 | 탐 켄치
찬란한 구인수의 격노검,C,4.43,-0.07,14.6%,147371,1.9%,자야 | 벡스 | 티모 | 르블랑 | 킨드레드
찬란한 덤불 조끼,D,4.51,+0.01,9.9%,21656,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 마오카이
찬란한 용의 발톱,D,4.52,+0.02,10.3%,34678,0.5%,누누와 윌럼프 | 일라오이 | 람머스 | 오른 | 거대 메크 로봇
찬란한 적응형 투구,D,4.52,+0.02,11.6%,23220,0.3%,누누와 윌럼프 | 람머스 | 레오나 | 일라오이 | 잭스
