Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
찬란한 저녁갑주,S,3.60,-0.90,30.0%,10,0.0%,누누와 윌럼프 | 마오카이 | 람머스 | 오른 | 렉사이
찬란한 거인의 결의,S,3.74,-0.76,18.9%,74,0.2%,브라이어 | 리븐 | 거대 메크 로봇 | 마스터 이 | 피오라
찬란한 라바돈의 죽음모자,S,3.92,-0.58,12.2%,98,0.3%,트위스티드 페이트 | 빅토르 | 벡스 | 아우렐리온 솔 | 티모
찬란한 태양불꽃 망토,S,3.93,-0.57,7.1%,14,0.0%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 마오카이
찬란한 죽음의 검,S,3.95,-0.55,13.5%,111,0.3%,코르키 | 자야 | 이즈리얼 | 진 | 카이사
찬란한 공허의 지팡이,S,4.00,-0.50,16.1%,31,0.1%,나미 | 빅토르 | 아우렐리온 솔 | 카르마 | 벡스
찬란한 붉은 덩굴정령,S,4.00,-0.50,21.4%,14,0.0%,자야 | 벡스 | 진 | 나미 | 킨드레드
찬란한 내셔의 이빨,S,4.01,-0.49,8.1%,74,0.2%,트위스티드 페이트 | 나미 | 베이가 | 룰루 | 카르마
찬란한 쇼진의 창,S,4.04,-0.46,26.5%,49,0.1%,나미 | 제드 | 이즈리얼 | 카르마 | 오로라
찬란한 도적의 장갑,S,4.11,-0.39,16.0%,268,0.7%,블리츠크랭크 | 피오라 | 리븐 | 탈론 | 라아스트
찬란한 워모그의 갑옷,S,4.11,-0.39,23.9%,71,0.2%,누누와 윌럼프 | 레오나 | 람머스 | 일라오이 | 초가스
찬란한 타격대의 철퇴,S,4.12,-0.38,15.4%,65,0.2%,카이사 | 코르키 | 우르곳 | 진 | 벡스
찬란한 푸른 파수꾼,S,4.15,-0.35,17.9%,39,0.1%,카이사 | 카르마 | 코르키 | 오로라 | 베이가
찬란한 정의의 손길,S,4.19,-0.31,7.4%,54,0.1%,우르곳 | 마스터 이 | 피오라 | 리븐 | 브라이어
찬란한 모렐로노미콘,A,4.22,-0.28,22.2%,9,0.0%,오로라 | 카르마 | 나미 | 조이 | 바드
찬란한 크라켄의 분노,A,4.23,-0.27,17.9%,56,0.1%,자야 | 벨베스 | 킨드레드 | 그레이브즈 | 케이틀린
찬란한 가고일 돌갑옷,A,4.24,-0.26,17.2%,372,1.0%,거대 메크 로봇 | 레오나 | 잭스 | 누누와 윌럼프 | 람머스
찬란한 피바라기,A,4.25,-0.25,10.0%,40,0.1%,리븐 | 브라이어 | 피오라 | 마스터 이 | 그레이브즈
찬란한 거인 학살자,B,4.31,-0.19,16.3%,325,0.9%,우르곳 | 벨베스 | 벡스 | 마스터 이 | 자야
찬란한 무한의 대검,B,4.39,-0.11,18.1%,138,0.4%,우르곳 | 자야 | 카이사 | 진 | 이즈리얼
찬란한 스테락의 도전,C,4.42,-0.08,6.6%,76,0.2%,브라이어 | 거대 메크 로봇 | 피오라 | 우르곳 | 리븐
찬란한 이온 충격기,C,4.43,-0.07,0.0%,7,0.0%,일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 람머스 | 탐 켄치
찬란한 보석 건틀릿,C,4.48,-0.02,15.2%,99,0.3%,빅토르 | 나미 | 아우렐리온 솔 | 벡스 | 베이가
찬란한 최후의 속삭임,D,4.50,0.00,7.1%,42,0.1%,자야 | 진 | 우르곳 | 코르키 | 킨드레드
찬란한 밤의 끝자락,D,4.52,+0.02,13.3%,83,0.2%,마스터 이 | 피오라 | 파이크 | 제드 | 리븐
찬란한 구인수의 격노검,D,4.60,+0.10,13.8%,116,0.3%,벡스 | 자야 | 티모 | 르블랑 | 킨드레드
찬란한 덤불 조끼,D,4.61,+0.11,11.1%,18,0.0%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 마오카이
찬란한 마법공학 총검,D,4.77,+0.27,6.7%,30,0.1%,벡스 | 티모 | 르블랑 | 탈론 | 트위스티드 페이트
찬란한 정령의 형상,D,4.79,+0.29,7.7%,39,0.1%,누누와 윌럼프 | 람머스 | 레오나 | 초가스 | 일라오이
찬란한 크라운가드,D,4.80,+0.30,6.7%,15,0.0%,잭스 | 누누와 윌럼프 | 람머스 | 오른 | 마오카이
찬란한 수호자의 맹세,D,4.85,+0.35,15.0%,40,0.1%,누누와 윌럼프 | 람머스 | 마오카이 | 잭스 | 렉사이
찬란한 수은,D,4.95,+0.45,5.3%,76,0.2%,우르곳 | 벨베스 | 마스터 이 | 그레이브즈 | 피오라
찬란한 적응형 투구,D,5.06,+0.56,6.3%,16,0.0%,누누와 윌럼프 | 람머스 | 레오나 | 잭스 | 초가스
찬란한 대천사의 지팡이,D,5.44,+0.94,0.0%,16,0.0%,빅토르 | 아우렐리온 솔 | 티모 | 트위스티드 페이트 | 벡스
찬란한 굳건한 심장,D,5.67,+1.17,0.0%,9,0.0%,누누와 윌럼프 | 람머스 | 일라오이 | 레오나 | 오른
찬란한 용의 발톱,D,5.93,+1.43,0.0%,14,0.0%,누누와 윌럼프 | 일라오이 | 람머스 | 오른 | 레오나
