Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
찬란한 내셔의 이빨,S,4.00,-0.50,14.9%,51202,0.7%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 오로라
찬란한 무한의 대검,S,4.02,-0.48,19.4%,93297,1.3%,자야 | 우르곳 | 카이사 | 진 | 사미라
찬란한 거인 학살자,S,4.04,-0.46,15.5%,111022,1.5%,우르곳 | 벨베스 | 벡스 | 자야 | 티모
찬란한 라바돈의 죽음모자,S,4.05,-0.45,14.1%,50718,0.7%,빅토르 | 트위스티드 페이트 | 아우렐리온 솔 | 벡스 | 티모
찬란한 최후의 속삭임,S,4.06,-0.44,16.9%,20111,0.3%,자야 | 진 | 우르곳 | 코르키 | 사미라
찬란한 죽음의 검,S,4.08,-0.42,16.1%,37246,0.5%,자야 | 진 | 우르곳 | 카이사 | 코르키
찬란한 붉은 덩굴정령,S,4.09,-0.41,15.8%,17852,0.2%,자야 | 벡스 | 나미 | 진 | 오로라
찬란한 가고일 돌갑옷,S,4.11,-0.39,15.5%,127073,1.7%,거대 메크 로봇 | 누누와 윌럼프 | 레오나 | 잭스 | 람머스
찬란한 크라켄의 분노,S,4.11,-0.39,14.8%,34195,0.5%,자야 | 벨베스 | 킨드레드 | 케이틀린 | 그레이브즈
찬란한 밤의 끝자락,S,4.17,-0.33,13.1%,28654,0.4%,마스터 이 | 리븐 | 꼬마 정령 | 피오라 | 아칼리
찬란한 타격대의 철퇴,S,4.19,-0.31,15.1%,31743,0.4%,카이사 | 우르곳 | 벡스 | 코르키 | 자야
찬란한 보석 건틀릿,S,4.19,-0.31,13.5%,93254,1.3%,빅토르 | 나미 | 아우렐리온 솔 | 벡스 | 베이가
찬란한 스테락의 도전,S,4.19,-0.31,14.6%,26692,0.4%,거대 메크 로봇 | 브라이어 | 피오라 | 리븐 | 우르곳
찬란한 수은,S,4.20,-0.30,13.0%,39111,0.5%,우르곳 | 벨베스 | 마스터 이 | 그레이브즈 | 피오라
찬란한 마법공학 총검,A,4.21,-0.29,13.2%,24626,0.3%,벡스 | 티모 | 르블랑 | 탈론 | 아우렐리온 솔
찬란한 공허의 지팡이,A,4.21,-0.29,12.4%,35351,0.5%,나미 | 아우렐리온 솔 | 빅토르 | 벡스 | 카르마
찬란한 이온 충격기,A,4.22,-0.28,12.2%,14038,0.2%,일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 람머스 | 탐 켄치
찬란한 거인의 결의,A,4.24,-0.26,12.8%,30645,0.4%,리븐 | 브라이어 | 거대 메크 로봇 | 피오라 | 벨베스
찬란한 저녁갑주,A,4.25,-0.25,14.2%,25584,0.3%,누누와 윌럼프 | 마오카이 | 람머스 | 오른 | 렉사이
찬란한 쇼진의 창,A,4.26,-0.24,13.8%,54630,0.7%,나미 | 카르마 | 제드 | 사미라 | 오로라
찬란한 도적의 장갑,A,4.26,-0.24,13.0%,112548,1.5%,블리츠크랭크 | 피오라 | 탈론 | 라아스트 | 리븐
찬란한 모렐로노미콘,A,4.26,-0.24,12.8%,12997,0.2%,카르마 | 오로라 | 나미 | 조이 | 바드
찬란한 정의의 손길,A,4.26,-0.24,11.8%,36899,0.5%,우르곳 | 아칼리 | 꼬마 정령 | 피오라 | 리븐
찬란한 태양불꽃 망토,A,4.27,-0.23,12.4%,68373,0.9%,누누와 윌럼프 | 람머스 | 일라오이 | 마오카이 | 탐 켄치
찬란한 대천사의 지팡이,A,4.28,-0.22,11.5%,27790,0.4%,빅토르 | 아우렐리온 솔 | 벡스 | 오로라 | 트위스티드 페이트
찬란한 푸른 파수꾼,B,4.31,-0.19,12.3%,20884,0.3%,카이사 | 오로라 | 카르마 | 나미 | 코르키
찬란한 워모그의 갑옷,B,4.35,-0.15,12.0%,55973,0.8%,누누와 윌럼프 | 일라오이 | 레오나 | 람머스 | 오른
찬란한 수호자의 맹세,B,4.36,-0.14,14.3%,55162,0.7%,누누와 윌럼프 | 람머스 | 마오카이 | 잭스 | 렉사이
찬란한 피바라기,B,4.39,-0.11,11.8%,38897,0.5%,리븐 | 브라이어 | 피오라 | 마스터 이 | 그레이브즈
찬란한 크라운가드,B,4.40,-0.10,11.2%,17586,0.2%,누누와 윌럼프 | 잭스 | 람머스 | 오른 | 마오카이
찬란한 정령의 형상,C,4.41,-0.09,11.7%,52957,0.7%,누누와 윌럼프 | 람머스 | 일라오이 | 레오나 | 마오카이
찬란한 구인수의 격노검,C,4.43,-0.07,14.5%,141318,1.9%,자야 | 벡스 | 르블랑 | 티모 | 킨드레드
찬란한 굳건한 심장,C,4.44,-0.06,11.2%,19923,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 레오나 | 오른
찬란한 덤불 조끼,D,4.51,+0.01,9.7%,20690,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 마오카이
찬란한 용의 발톱,D,4.53,+0.03,10.2%,33838,0.5%,누누와 윌럼프 | 일라오이 | 람머스 | 오른 | 탐 켄치
찬란한 적응형 투구,D,4.54,+0.04,11.1%,22481,0.3%,누누와 윌럼프 | 람머스 | 레오나 | 일라오이 | 잭스
