Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.68,-2.82,76.1%,683,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 람머스
케일의 찬란한 승천,S,1.97,-2.53,59.3%,528,0.0%,벡스 | 르블랑 | 아우렐리온 솔 | 자야 | 킨드레드
광휘 역장,S,3.87,-0.63,29.8%,14612,1.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 탐 켄치 | 람머스
찬란한 내셔의 이빨,S,3.97,-0.53,17.0%,9514,0.6%,트위스티드 페이트 | 나미 | 베이가 | 오로라 | 피즈
찬란한 크라켄의 분노,S,3.99,-0.51,15.6%,6429,0.4%,자야 | 킨드레드 | 벨베스 | 그레이브즈 | 케이틀린
찬란한 라바돈의 죽음모자,S,4.00,-0.50,16.2%,8622,0.6%,아우렐리온 솔 | 빅토르 | 트위스티드 페이트 | 벡스 | 르블랑
찬란한 죽음의 검,S,4.03,-0.47,16.8%,6485,0.4%,코르키 | 진 | 자야 | 카이사 | 사미라
찬란한 가고일 돌갑옷,S,4.11,-0.39,16.7%,25639,1.7%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 잭스
찬란한 거인 학살자,S,4.13,-0.37,13.9%,17652,1.2%,벡스 | 르블랑 | 벨베스 | 마스터 이 | 자야
찬란한 붉은 덩굴정령,S,4.15,-0.35,15.0%,3788,0.3%,자야 | 벡스 | 나미 | 킨드레드 | 카르마
찬란한 타격대의 철퇴,S,4.17,-0.33,14.9%,7768,0.5%,카이사 | 아우렐리온 솔 | 코르키 | 벡스 | 킨드레드
찬란한 무한의 대검,S,4.19,-0.31,16.4%,12268,0.8%,진 | 카이사 | 자야 | 사미라 | 그레이브즈
찬란한 최후의 속삭임,A,4.20,-0.30,15.0%,3598,0.2%,코르키 | 자야 | 진 | 사미라 | 카이사
찬란한 보석 건틀릿,A,4.20,-0.30,14.1%,21837,1.5%,빅토르 | 아우렐리온 솔 | 나미 | 르블랑 | 벡스
찬란한 이온 충격기,A,4.21,-0.29,12.4%,3318,0.2%,일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 람머스 | 탐 켄치
찬란한 쇼진의 창,A,4.22,-0.28,15.5%,10493,0.7%,나미 | 카르마 | 제드 | 카이사 | 사미라
찬란한 마법공학 총검,A,4.22,-0.28,14.1%,6652,0.4%,벡스 | 르블랑 | 아우렐리온 솔 | 티모 | 트위스티드 페이트
찬란한 밤의 끝자락,A,4.24,-0.26,12.7%,6738,0.5%,마스터 이 | 피오라 | 리븐 | 아칼리 | 제드
찬란한 도적의 장갑,A,4.24,-0.26,13.5%,22449,1.5%,블리츠크랭크 | 피오라 | 쉔 | 리븐 | 모르가나
찬란한 공허의 지팡이,A,4.24,-0.26,13.2%,9283,0.6%,아우렐리온 솔 | 벡스 | 나미 | 르블랑 | 빅토르
찬란한 모렐로노미콘,A,4.27,-0.23,13.5%,2806,0.2%,카르마 | 아우렐리온 솔 | 나미 | 바드 | 벡스
찬란한 정의의 손길,A,4.27,-0.23,12.5%,7667,0.5%,아칼리 | 피오라 | 리븐 | 마스터 이 | 그레이브즈
찬란한 대천사의 지팡이,A,4.29,-0.21,11.9%,7188,0.5%,빅토르 | 아우렐리온 솔 | 벡스 | 르블랑 | 나미
찬란한 푸른 파수꾼,B,4.32,-0.18,12.8%,4181,0.3%,카이사 | 코르키 | 카르마 | 나미 | 사미라
찬란한 거인의 결의,B,4.33,-0.17,13.8%,6784,0.5%,거대 메크 로봇 | 리븐 | 피오라 | 마스터 이 | 그레이브즈
찬란한 태양불꽃 망토,B,4.33,-0.17,11.3%,14395,1.0%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
찬란한 수은,B,4.34,-0.16,11.2%,4745,0.3%,벨베스 | 그레이브즈 | 마스터 이 | 피오라 | 리븐
찬란한 스테락의 도전,B,4.36,-0.14,14.7%,6899,0.5%,거대 메크 로봇 | 피오라 | 리븐 | 그레이브즈 | 마스터 이
찬란한 수호자의 맹세,B,4.37,-0.13,12.3%,8124,0.5%,누누와 윌럼프 | 람머스 | 탐 켄치 | 잭스 | 일라오이
찬란한 워모그의 갑옷,B,4.39,-0.11,11.8%,9857,0.7%,누누와 윌럼프 | 람머스 | 일라오이 | 거대 메크 로봇 | 탐 켄치
찬란한 피바라기,C,4.41,-0.09,12.4%,8206,0.5%,리븐 | 피오라 | 마스터 이 | 그레이브즈 | 블리츠크랭크
찬란한 저녁갑주,C,4.41,-0.09,11.9%,3206,0.2%,누누와 윌럼프 | 오른 | 람머스 | 탐 켄치 | 초가스
찬란한 구인수의 격노검,C,4.41,-0.09,13.6%,26922,1.8%,벡스 | 르블랑 | 자야 | 킨드레드 | 진
찬란한 정령의 형상,C,4.46,-0.04,11.1%,11128,0.7%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
찬란한 크라운가드,C,4.48,-0.02,11.0%,3430,0.2%,누누와 윌럼프 | 람머스 | 잭스 | 오른 | 탐 켄치
찬란한 굳건한 심장,C,4.48,-0.02,10.9%,4753,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
찬란한 용의 발톱,C,4.48,-0.02,10.6%,7935,0.5%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 거대 메크 로봇
찬란한 적응형 투구,D,4.52,+0.02,10.3%,4471,0.3%,누누와 윌럼프 | 람머스 | 탐 켄치 | 잭스 | 일라오이
찬란한 덤불 조끼,D,4.59,+0.09,9.0%,4069,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 탐 켄치
