Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
찬란한 내셔의 이빨,S,3.96,-0.54,16.0%,36768,0.7%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 피즈
찬란한 라바돈의 죽음모자,S,4.00,-0.50,15.1%,32935,0.6%,빅토르 | 아우렐리온 솔 | 트위스티드 페이트 | 벡스 | 나미
찬란한 크라켄의 분노,S,4.05,-0.45,15.3%,23759,0.5%,자야 | 벨베스 | 킨드레드 | 그레이브즈 | 케이틀린
찬란한 무한의 대검,S,4.07,-0.43,18.4%,54117,1.0%,자야 | 카이사 | 진 | 사미라 | 그레이브즈
찬란한 최후의 속삭임,S,4.07,-0.43,17.0%,13164,0.3%,자야 | 코르키 | 진 | 사미라 | 카이사
찬란한 죽음의 검,S,4.09,-0.41,16.4%,25174,0.5%,자야 | 진 | 코르키 | 카이사 | 사미라
찬란한 가고일 돌갑옷,S,4.09,-0.41,16.0%,90376,1.7%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 잭스 | 레오나
찬란한 거인 학살자,S,4.09,-0.41,14.2%,64335,1.2%,벨베스 | 벡스 | 자야 | 르블랑 | 우르곳
찬란한 붉은 덩굴정령,S,4.10,-0.40,16.2%,12371,0.2%,자야 | 벡스 | 나미 | 카르마 | 진
찬란한 보석 건틀릿,S,4.17,-0.33,13.9%,71210,1.4%,빅토르 | 나미 | 아우렐리온 솔 | 벡스 | 베이가
찬란한 이온 충격기,S,4.19,-0.31,12.6%,10915,0.2%,누누와 윌럼프 | 일라오이 | 블리츠크랭크 | 람머스 | 오른
찬란한 밤의 끝자락,S,4.19,-0.31,13.0%,22309,0.4%,마스터 이 | 리븐 | 아칼리 | 피오라 | 제드
찬란한 마법공학 총검,S,4.20,-0.30,13.9%,18892,0.4%,벡스 | 르블랑 | 티모 | 아우렐리온 솔 | 자야
찬란한 공허의 지팡이,A,4.22,-0.28,12.3%,27556,0.5%,아우렐리온 솔 | 나미 | 벡스 | 빅토르 | 카르마
찬란한 모렐로노미콘,A,4.22,-0.28,13.0%,8855,0.2%,카르마 | 나미 | 바드 | 아우렐리온 솔 | 조이
찬란한 타격대의 철퇴,A,4.22,-0.28,14.7%,26283,0.5%,카이사 | 벡스 | 코르키 | 아우렐리온 솔 | 그레이브즈
찬란한 도적의 장갑,A,4.23,-0.27,13.5%,78823,1.5%,블리츠크랭크 | 피오라 | 탈론 | 리븐 | 쉔
찬란한 대천사의 지팡이,A,4.24,-0.26,12.1%,21197,0.4%,빅토르 | 아우렐리온 솔 | 벡스 | 나미 | 르블랑
찬란한 쇼진의 창,A,4.26,-0.24,14.2%,38755,0.7%,나미 | 카르마 | 사미라 | 제드 | 카이사
찬란한 정의의 손길,A,4.26,-0.24,11.9%,26612,0.5%,아칼리 | 리븐 | 피오라 | 마스터 이 | 그레이브즈
찬란한 수은,A,4.28,-0.22,11.5%,18387,0.4%,벨베스 | 우르곳 | 그레이브즈 | 마스터 이 | 피오라
찬란한 스테락의 도전,A,4.29,-0.21,14.9%,17948,0.3%,거대 메크 로봇 | 피오라 | 리븐 | 그레이브즈 | 마스터 이
찬란한 태양불꽃 망토,B,4.31,-0.19,11.9%,48942,0.9%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
찬란한 저녁갑주,B,4.34,-0.16,14.0%,13048,0.3%,누누와 윌럼프 | 람머스 | 오른 | 마오카이 | 탐 켄치
찬란한 거인의 결의,B,4.35,-0.15,12.8%,19887,0.4%,리븐 | 거대 메크 로봇 | 피오라 | 마스터 이 | 벨베스
찬란한 푸른 파수꾼,B,4.36,-0.14,12.2%,14896,0.3%,카이사 | 코르키 | 나미 | 카르마 | 베이가
찬란한 수호자의 맹세,B,4.36,-0.14,13.7%,32517,0.6%,누누와 윌럼프 | 람머스 | 잭스 | 탐 켄치 | 일라오이
찬란한 크라운가드,B,4.36,-0.14,11.9%,11861,0.2%,누누와 윌럼프 | 람머스 | 잭스 | 오른 | 일라오이
찬란한 워모그의 갑옷,B,4.37,-0.13,11.9%,37409,0.7%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 거대 메크 로봇
찬란한 정령의 형상,C,4.41,-0.09,11.3%,39152,0.8%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
찬란한 구인수의 격노검,C,4.42,-0.08,14.1%,98720,1.9%,벡스 | 자야 | 르블랑 | 킨드레드 | 티모
찬란한 굳건한 심장,C,4.43,-0.07,11.4%,15304,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 탐 켄치
찬란한 피바라기,C,4.44,-0.06,12.4%,26616,0.5%,리븐 | 피오라 | 마스터 이 | 그레이브즈 | 블리츠크랭크
찬란한 용의 발톱,D,4.52,+0.02,10.4%,26902,0.5%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 탐 켄치
찬란한 적응형 투구,D,4.54,+0.04,10.6%,15364,0.3%,누누와 윌럼프 | 람머스 | 잭스 | 탐 켄치 | 오른
찬란한 덤불 조끼,D,4.55,+0.05,9.3%,14573,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 탐 켄치
