Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
찬란한 내셔의 이빨,S,3.97,-0.53,15.3%,44157,0.7%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 피즈
찬란한 라바돈의 죽음모자,S,4.02,-0.48,14.5%,41862,0.7%,빅토르 | 트위스티드 페이트 | 아우렐리온 솔 | 벡스 | 나미
찬란한 무한의 대검,S,4.02,-0.48,19.0%,75799,1.2%,자야 | 우르곳 | 카이사 | 진 | 사미라
찬란한 최후의 속삭임,S,4.04,-0.46,16.9%,16985,0.3%,자야 | 진 | 우르곳 | 코르키 | 사미라
찬란한 거인 학살자,S,4.05,-0.45,15.1%,89231,1.4%,우르곳 | 벨베스 | 벡스 | 자야 | 르블랑
찬란한 죽음의 검,S,4.07,-0.43,16.4%,31753,0.5%,자야 | 진 | 우르곳 | 카이사 | 코르키
찬란한 크라켄의 분노,S,4.08,-0.42,15.3%,29453,0.5%,자야 | 벨베스 | 킨드레드 | 그레이브즈 | 케이틀린
찬란한 붉은 덩굴정령,S,4.09,-0.41,15.7%,15172,0.2%,자야 | 나미 | 벡스 | 카르마 | 진
찬란한 가고일 돌갑옷,S,4.09,-0.41,15.9%,110959,1.7%,거대 메크 로봇 | 누누와 윌럼프 | 레오나 | 잭스 | 람머스
찬란한 보석 건틀릿,S,4.16,-0.34,14.0%,83239,1.3%,빅토르 | 나미 | 아우렐리온 솔 | 벡스 | 베이가
찬란한 밤의 끝자락,S,4.19,-0.31,13.1%,25936,0.4%,마스터 이 | 리븐 | 아칼리 | 피오라 | 꼬마 정령
찬란한 타격대의 철퇴,S,4.19,-0.31,15.1%,30081,0.5%,카이사 | 우르곳 | 벡스 | 코르키 | 아우렐리온 솔
찬란한 이온 충격기,S,4.19,-0.31,12.0%,12437,0.2%,일라오이 | 누누와 윌럼프 | 람머스 | 블리츠크랭크 | 탐 켄치
찬란한 마법공학 총검,S,4.20,-0.30,13.6%,22090,0.3%,벡스 | 티모 | 르블랑 | 아우렐리온 솔 | 탈론
찬란한 공허의 지팡이,A,4.21,-0.29,12.7%,31936,0.5%,나미 | 아우렐리온 솔 | 빅토르 | 벡스 | 카르마
찬란한 수은,A,4.21,-0.29,12.4%,29501,0.5%,우르곳 | 벨베스 | 그레이브즈 | 마스터 이 | 피오라
찬란한 모렐로노미콘,A,4.23,-0.27,12.8%,10826,0.2%,카르마 | 나미 | 오로라 | 조이 | 바드
찬란한 도적의 장갑,A,4.24,-0.26,13.2%,96361,1.5%,블리츠크랭크 | 피오라 | 탈론 | 라아스트 | 리븐
찬란한 스테락의 도전,A,4.25,-0.25,15.0%,21726,0.3%,거대 메크 로봇 | 피오라 | 브라이어 | 그레이브즈 | 리븐
찬란한 저녁갑주,A,4.26,-0.24,14.4%,19400,0.3%,누누와 윌럼프 | 람머스 | 마오카이 | 오른 | 렉사이
찬란한 대천사의 지팡이,A,4.26,-0.24,11.6%,24752,0.4%,빅토르 | 아우렐리온 솔 | 벡스 | 오로라 | 트위스티드 페이트
찬란한 정의의 손길,A,4.27,-0.23,11.6%,32468,0.5%,아칼리 | 우르곳 | 피오라 | 리븐 | 꼬마 정령
찬란한 쇼진의 창,A,4.27,-0.23,13.9%,47298,0.7%,나미 | 카르마 | 제드 | 사미라 | 카이사
찬란한 태양불꽃 망토,A,4.30,-0.20,12.2%,59399,0.9%,누누와 윌럼프 | 람머스 | 일라오이 | 마오카이 | 탐 켄치
찬란한 거인의 결의,B,4.30,-0.20,12.8%,24483,0.4%,리븐 | 거대 메크 로봇 | 브라이어 | 피오라 | 마스터 이
찬란한 수호자의 맹세,B,4.36,-0.14,13.9%,44275,0.7%,누누와 윌럼프 | 람머스 | 마오카이 | 잭스 | 일라오이
찬란한 푸른 파수꾼,B,4.37,-0.13,11.9%,17760,0.3%,카이사 | 카르마 | 나미 | 코르키 | 오로라
찬란한 워모그의 갑옷,B,4.37,-0.13,11.9%,47356,0.7%,누누와 윌럼프 | 람머스 | 일라오이 | 레오나 | 오른
찬란한 크라운가드,B,4.38,-0.12,11.5%,15062,0.2%,누누와 윌럼프 | 잭스 | 람머스 | 오른 | 마오카이
찬란한 피바라기,C,4.41,-0.09,11.9%,32142,0.5%,리븐 | 피오라 | 브라이어 | 그레이브즈 | 마스터 이
찬란한 정령의 형상,C,4.43,-0.07,11.2%,47061,0.7%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
찬란한 구인수의 격노검,C,4.43,-0.07,14.4%,121513,1.9%,자야 | 벡스 | 르블랑 | 킨드레드 | 티모
찬란한 굳건한 심장,C,4.45,-0.05,11.1%,17877,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 레오나
찬란한 덤불 조끼,D,4.51,+0.01,9.5%,17780,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 마오카이
찬란한 용의 발톱,D,4.53,+0.03,10.2%,30556,0.5%,누누와 윌럼프 | 일라오이 | 람머스 | 오른 | 거대 메크 로봇
찬란한 적응형 투구,D,4.54,+0.04,10.8%,19502,0.3%,누누와 윌럼프 | 람머스 | 레오나 | 잭스 | 일라오이
