Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
찬란한 내셔의 이빨,S,3.96,-0.54,15.8%,40936,0.7%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 피즈
찬란한 라바돈의 죽음모자,S,4.00,-0.50,14.8%,37662,0.6%,빅토르 | 트위스티드 페이트 | 아우렐리온 솔 | 벡스 | 나미
찬란한 최후의 속삭임,S,4.04,-0.46,17.2%,15227,0.3%,자야 | 진 | 코르키 | 사미라 | 우르곳
찬란한 무한의 대검,S,4.04,-0.46,18.8%,65529,1.1%,자야 | 카이사 | 진 | 우르곳 | 사미라
찬란한 크라켄의 분노,S,4.06,-0.44,15.4%,26841,0.5%,자야 | 벨베스 | 킨드레드 | 그레이브즈 | 케이틀린
찬란한 거인 학살자,S,4.08,-0.42,14.6%,76854,1.3%,벨베스 | 우르곳 | 벡스 | 자야 | 르블랑
찬란한 죽음의 검,S,4.08,-0.42,16.4%,28840,0.5%,자야 | 진 | 코르키 | 카이사 | 사미라
찬란한 가고일 돌갑옷,S,4.09,-0.41,15.9%,102497,1.8%,거대 메크 로봇 | 누누와 윌럼프 | 잭스 | 레오나 | 람머스
찬란한 붉은 덩굴정령,S,4.09,-0.41,15.9%,13944,0.2%,자야 | 나미 | 벡스 | 카르마 | 진
찬란한 보석 건틀릿,S,4.15,-0.35,14.1%,78052,1.3%,빅토르 | 나미 | 아우렐리온 솔 | 벡스 | 베이가
찬란한 이온 충격기,S,4.19,-0.31,12.1%,11713,0.2%,누누와 윌럼프 | 일라오이 | 람머스 | 블리츠크랭크 | 오른
찬란한 마법공학 총검,S,4.19,-0.31,13.8%,20567,0.4%,벡스 | 티모 | 르블랑 | 아우렐리온 솔 | 자야
찬란한 타격대의 철퇴,A,4.20,-0.30,14.9%,28779,0.5%,카이사 | 벡스 | 우르곳 | 코르키 | 아우렐리온 솔
찬란한 밤의 끝자락,A,4.21,-0.29,12.9%,24451,0.4%,마스터 이 | 리븐 | 아칼리 | 피오라 | 제드
찬란한 공허의 지팡이,A,4.21,-0.29,12.5%,30155,0.5%,나미 | 아우렐리온 솔 | 벡스 | 빅토르 | 카르마
찬란한 모렐로노미콘,A,4.23,-0.27,12.6%,9910,0.2%,나미 | 카르마 | 바드 | 아우렐리온 솔 | 오로라
찬란한 도적의 장갑,A,4.23,-0.27,13.3%,88254,1.5%,블리츠크랭크 | 피오라 | 탈론 | 리븐 | 라아스트
찬란한 수은,A,4.24,-0.26,11.9%,23923,0.4%,벨베스 | 우르곳 | 그레이브즈 | 마스터 이 | 피오라
찬란한 쇼진의 창,A,4.26,-0.24,14.0%,43560,0.7%,나미 | 카르마 | 제드 | 사미라 | 카이사
찬란한 스테락의 도전,A,4.27,-0.23,14.8%,19868,0.3%,거대 메크 로봇 | 피오라 | 그레이브즈 | 리븐 | 우르곳
찬란한 대천사의 지팡이,A,4.27,-0.23,11.5%,23179,0.4%,빅토르 | 아우렐리온 솔 | 벡스 | 나미 | 트위스티드 페이트
찬란한 정의의 손길,A,4.28,-0.22,11.6%,29867,0.5%,아칼리 | 리븐 | 우르곳 | 피오라 | 그레이브즈
찬란한 저녁갑주,A,4.29,-0.21,14.3%,16045,0.3%,누누와 윌럼프 | 람머스 | 오른 | 마오카이 | 탐 켄치
찬란한 태양불꽃 망토,B,4.31,-0.19,12.0%,54809,0.9%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 마오카이
찬란한 거인의 결의,B,4.32,-0.18,12.8%,22202,0.4%,리븐 | 거대 메크 로봇 | 피오라 | 마스터 이 | 브라이어
찬란한 푸른 파수꾼,B,4.36,-0.14,11.9%,16481,0.3%,카이사 | 카르마 | 코르키 | 나미 | 베이가
찬란한 수호자의 맹세,B,4.36,-0.14,13.8%,38415,0.7%,누누와 윌럼프 | 람머스 | 잭스 | 탐 켄치 | 일라오이
찬란한 크라운가드,B,4.37,-0.13,11.7%,13491,0.2%,누누와 윌럼프 | 람머스 | 잭스 | 오른 | 마오카이
찬란한 워모그의 갑옷,B,4.38,-0.12,11.8%,42896,0.7%,누누와 윌럼프 | 람머스 | 일라오이 | 레오나 | 오른
찬란한 정령의 형상,C,4.42,-0.08,11.2%,43624,0.8%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
찬란한 구인수의 격노검,C,4.42,-0.08,14.3%,111679,1.9%,벡스 | 자야 | 르블랑 | 킨드레드 | 티모
찬란한 굳건한 심장,C,4.44,-0.06,11.3%,16858,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 탐 켄치
찬란한 피바라기,C,4.44,-0.06,12.0%,29381,0.5%,리븐 | 피오라 | 마스터 이 | 그레이브즈 | 블리츠크랭크
찬란한 덤불 조끼,D,4.50,+0.00,9.5%,16340,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 탐 켄치
찬란한 용의 발톱,D,4.52,+0.02,10.4%,29233,0.5%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 거대 메크 로봇
찬란한 적응형 투구,D,4.53,+0.03,10.9%,17679,0.3%,누누와 윌럼프 | 람머스 | 탐 켄치 | 잭스 | 레오나
