Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.64,33.3%,75,0.0%
Jhin,S,3.81,20.1%,"101,101",18.6%
Bard,S,3.82,18.2%,"118,283",21.8%
Rhaast,S,3.86,20.5%,"144,226",26.6%
Shen,S,3.91,18.8%,"104,563",19.3%
Sona,S,3.96,18.9%,"87,231",16.1%
Blitzcrank,S,4.05,19.6%,"159,512",29.4%
Fiora,S,4.08,18.7%,"104,452",19.3%
Zed,S,4.13,22.9%,"8,861",1.6%
Morgana,S,4.16,17.3%,"77,142",14.2%
Vex,A,4.26,20.5%,"81,154",15.0%
Master Yi,A,4.29,12.1%,"72,835",13.4%
Kindred,A,4.31,12.0%,"73,571",13.6%
Karma,A,4.32,14.4%,"164,319",30.3%
The Mighty Mech,A,4.32,10.7%,"166,254",30.7%
Pyke,A,4.33,11.3%,"19,044",3.5%
Urgot,A,4.34,12.6%,"80,082",14.8%
Cho'Gath,A,4.36,13.9%,"77,062",14.2%
Gragas,A,4.36,11.6%,"73,886",13.6%
Tahm Kench,A,4.36,14.7%,"160,775",29.6%
Kai'Sa,A,4.38,13.5%,"63,399",11.7%
Corki,A,4.40,8.1%,"113,923",21.0%
Riven,A,4.40,8.9%,"125,600",23.2%
Bel'Veth,B,4.42,11.5%,"68,231",12.6%
Maokai,B,4.44,13.7%,"153,301",28.3%
Meepsie,B,4.44,11.1%,"216,963",40.0%
Fizz,B,4.45,7.9%,"104,972",19.4%
Nunu & Willump,B,4.46,15.5%,"206,276",38.0%
Milio,B,4.47,8.9%,"136,553",25.2%
Mordekaiser,B,4.47,13.4%,"194,200",35.8%
Aurelion Sol,B,4.48,11.7%,"66,975",12.3%
Aatrox,B,4.48,16.3%,"119,696",22.1%
Rammus,B,4.52,8.5%,"132,015",24.3%
Graves,B,4.53,19.0%,"54,096",10.0%
Pantheon,B,4.55,13.1%,"69,562",12.8%
Lulu,B,4.56,12.8%,"31,807",5.9%
Viktor,B,4.57,9.4%,"15,846",2.9%
Xayah,B,4.57,15.3%,"49,793",9.2%
Akali,B,4.58,15.9%,"79,343",14.6%
Illaoi,C,4.61,12.8%,"131,136",24.2%
Twisted Fate,C,4.62,11.7%,"32,938",6.1%
Jax,C,4.62,13.4%,"79,445",14.6%
Teemo,C,4.63,10.0%,"10,006",1.8%
Lissandra,C,4.64,11.1%,"69,509",12.8%
Veigar,C,4.72,15.8%,"5,575",1.0%
LeBlanc,C,4.73,10.7%,"37,991",7.0%
Poppy,C,4.73,6.6%,"87,906",16.2%
Nami,C,4.78,8.5%,"19,297",3.6%
Zoe,D,4.80,7.8%,"17,959",3.3%
Miss Fortune,D,4.82,7.9%,"13,329",2.5%
Rek'Sai,D,4.84,9.8%,"11,764",2.2%
Diana,D,4.88,12.2%,"20,044",3.7%
Ezreal,D,4.89,13.4%,"12,249",2.3%
Gwen,D,4.89,8.2%,"9,671",1.8%
Ornn,D,4.93,8.0%,"25,389",4.7%
Leona,D,4.93,9.4%,"46,561",8.6%
Aurora,D,4.93,13.5%,"18,737",3.5%
Caitlyn,D,4.98,6.9%,"8,515",1.6%
Talon,D,5.00,8.5%,"8,673",1.6%
Gnar,D,5.04,11.4%,"13,969",2.6%
Jinx,D,5.04,13.6%,"17,689",3.3%
Samira,D,5.04,10.4%,"16,906",3.1%
Nasus,D,5.20,6.5%,"15,329",2.8%
Briar,D,5.83,6.4%,"8,119",1.5%
