Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.64,36.8%,76,0.0%
Jhin,S,3.82,20.1%,"107,162",19.4%
Bard,S,3.86,17.9%,"121,828",22.0%
Rhaast,S,3.89,20.2%,"164,306",29.7%
Shen,S,3.96,18.4%,"110,057",19.9%
Sona,S,4.00,18.5%,"94,597",17.1%
Blitzcrank,S,4.05,19.8%,"174,684",31.6%
Zed,S,4.07,22.4%,"8,939",1.6%
Morgana,S,4.12,18.0%,"69,854",12.6%
Fiora,S,4.13,18.0%,"107,851",19.5%
Vex,A,4.27,20.1%,"92,097",16.7%
Karma,A,4.30,14.6%,"161,451",29.2%
The Mighty Mech,A,4.31,10.5%,"156,112",28.2%
Master Yi,A,4.32,11.2%,"70,521",12.8%
Pyke,A,4.32,11.1%,"17,577",3.2%
Kindred,A,4.34,11.2%,"72,161",13.1%
Cho'Gath,A,4.37,13.4%,"74,337",13.4%
Corki,A,4.37,8.1%,"110,898",20.1%
Riven,A,4.38,8.8%,"120,821",21.9%
Tahm Kench,A,4.39,14.4%,"169,846",30.7%
Gragas,A,4.39,10.9%,"71,476",12.9%
Urgot,A,4.39,11.6%,"80,565",14.6%
Kai'Sa,B,4.41,12.9%,"60,108",10.9%
Fizz,B,4.42,7.9%,"102,529",18.5%
Meepsie,B,4.43,11.2%,"218,258",39.5%
Milio,B,4.45,8.7%,"132,649",24.0%
Nunu & Willump,B,4.45,15.9%,"222,510",40.3%
Bel'Veth,B,4.46,10.4%,"69,087",12.5%
Mordekaiser,B,4.46,13.6%,"192,677",34.9%
Maokai,B,4.46,13.3%,"167,268",30.3%
Aurelion Sol,B,4.48,11.7%,"55,836",10.1%
Aatrox,B,4.48,16.1%,"139,526",25.2%
Rammus,B,4.49,8.4%,"127,595",23.1%
Graves,B,4.52,18.6%,"65,795",11.9%
Xayah,B,4.52,16.1%,"60,174",10.9%
Pantheon,B,4.55,12.5%,"69,101",12.5%
Viktor,B,4.57,9.1%,"14,641",2.6%
Akali,B,4.57,15.8%,"84,092",15.2%
Lulu,B,4.58,12.4%,"31,204",5.6%
Jax,C,4.60,13.9%,"88,900",16.1%
Illaoi,C,4.61,12.9%,"134,102",24.3%
Lissandra,C,4.64,10.9%,"68,029",12.3%
Twisted Fate,C,4.65,11.2%,"31,772",5.7%
Teemo,C,4.70,9.3%,"9,971",1.8%
Poppy,C,4.70,6.7%,"85,796",15.5%
LeBlanc,C,4.75,10.4%,"38,402",6.9%
Miss Fortune,C,4.77,7.7%,"17,462",3.2%
Veigar,C,4.79,15.1%,"5,309",1.0%
Nami,D,4.81,8.5%,"17,456",3.2%
Zoe,D,4.84,7.7%,"16,421",3.0%
Diana,D,4.86,11.4%,"21,826",3.9%
Rek'Sai,D,4.87,9.1%,"11,640",2.1%
Gwen,D,4.89,8.4%,"9,441",1.7%
Ezreal,D,4.90,12.7%,"11,184",2.0%
Ornn,D,4.92,7.8%,"28,205",5.1%
Leona,D,4.96,9.3%,"47,130",8.5%
Aurora,D,4.97,13.3%,"17,523",3.2%
Gnar,D,5.03,11.6%,"11,744",2.1%
Jinx,D,5.03,13.1%,"18,177",3.3%
Caitlyn,D,5.06,6.0%,"7,574",1.4%
Talon,D,5.08,7.9%,"7,998",1.4%
Samira,D,5.15,9.9%,"18,330",3.3%
Nasus,D,5.28,6.0%,"14,882",2.7%
Briar,D,5.95,5.6%,"7,717",1.4%
