Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.40,24.3%,"43,929",11.3%
Rhaast,S,3.60,21.3%,"79,083",20.3%
Shen,S,3.74,19.4%,"54,651",14.0%
Jhin,S,3.77,19.8%,"60,796",15.6%
Bard,S,3.91,17.9%,"55,031",14.1%
Sona,S,3.91,18.3%,"33,641",8.6%
Fiora,S,3.94,18.4%,"77,663",20.0%
Blitzcrank,S,3.97,18.9%,"60,819",15.6%
Zed,S,4.07,24.9%,"6,160",1.6%
Nami,A,4.20,12.6%,"22,905",5.9%
Kindred,A,4.23,13.7%,"96,942",24.9%
Teemo,A,4.25,12.0%,"30,156",7.7%
Zoe,A,4.32,11.9%,"32,588",8.4%
Master Yi,A,4.32,13.4%,"83,507",21.5%
Bel'Veth,A,4.33,12.9%,"94,285",24.2%
Rek'Sai,A,4.34,12.0%,"31,099",8.0%
Riven,A,4.36,11.7%,"105,798",27.2%
Vex,A,4.36,17.8%,"27,227",7.0%
Gragas,A,4.37,13.2%,"77,368",19.9%
Tahm Kench,A,4.37,14.8%,"126,505",32.5%
Kai'Sa,A,4.38,12.9%,"73,405",18.9%
Urgot,A,4.40,14.0%,"89,763",23.1%
Karma,B,4.41,14.2%,"85,134",21.9%
The Mighty Mech,B,4.41,11.9%,"97,218",25.0%
Maokai,B,4.42,14.0%,"125,355",32.2%
Corki,B,4.44,9.8%,"78,048",20.1%
Cho'Gath,B,4.45,12.9%,"71,793",18.4%
Pyke,B,4.45,11.4%,"11,518",3.0%
Nasus,B,4.46,10.8%,"27,756",7.1%
Mordekaiser,B,4.46,13.0%,"121,533",31.2%
Aatrox,B,4.47,14.6%,"64,076",16.5%
Talon,B,4.47,10.9%,"21,895",5.6%
Caitlyn,B,4.48,10.2%,"21,415",5.5%
Leona,B,4.48,11.2%,"45,160",11.6%
Milio,B,4.48,11.1%,"101,798",26.2%
Twisted Fate,B,4.49,13.1%,"45,679",11.7%
Briar,B,4.49,10.9%,"27,358",7.0%
Nunu & Willump,B,4.50,14.6%,"89,780",23.1%
Lulu,B,4.53,15.0%,"31,347",8.1%
Lissandra,B,4.54,11.2%,"71,004",18.2%
Illaoi,B,4.56,11.7%,"81,801",21.0%
Meepsie,B,4.56,10.5%,"110,212",28.3%
Fizz,B,4.57,8.8%,"62,377",16.0%
Akali,B,4.57,12.8%,"70,539",18.1%
Jax,B,4.58,13.3%,"62,613",16.1%
Pantheon,B,4.58,14.1%,"59,117",15.2%
LeBlanc,B,4.59,11.2%,"24,311",6.2%
Graves,B,4.60,17.6%,"20,803",5.3%
Rammus,C,4.63,9.9%,"87,612",22.5%
Gwen,C,4.64,9.9%,"13,387",3.4%
Xayah,C,4.66,14.7%,"22,420",5.8%
Viktor,C,4.72,9.0%,"6,314",1.6%
Aurelion Sol,C,4.72,20.5%,"8,951",2.3%
Poppy,D,4.81,8.1%,"56,635",14.5%
Veigar,D,4.87,13.0%,"8,459",2.2%
Samira,D,4.88,12.8%,"5,311",1.4%
Ezreal,D,4.97,13.2%,"10,914",2.8%
Miss Fortune,D,4.97,11.2%,"3,366",0.9%
Gnar,D,5.00,13.0%,"13,740",3.5%
Ornn,D,5.03,9.9%,"10,624",2.7%
Aurora,D,5.24,10.5%,"8,617",2.2%
Diana,D,5.36,9.1%,"4,873",1.3%
Jinx,D,5.50,13.5%,"5,400",1.4%
