Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.41,24.1%,"39,586",12.0%
Rhaast,S,3.72,19.7%,"63,959",19.4%
Jhin,S,3.76,20.3%,"56,247",17.1%
Shen,S,3.77,19.1%,"47,440",14.4%
Sona,S,3.89,18.6%,"30,232",9.2%
Bard,S,3.92,18.3%,"47,976",14.6%
Fiora,S,3.94,18.3%,"63,046",19.1%
Blitzcrank,S,3.98,19.0%,"53,914",16.4%
Kindred,A,4.21,13.2%,"77,750",23.6%
Zed,A,4.21,23.4%,"4,963",1.5%
Teemo,A,4.26,11.8%,"24,655",7.5%
Nami,A,4.28,11.7%,"20,340",6.2%
Master Yi,A,4.30,13.2%,"65,687",19.9%
Bel'Veth,A,4.30,12.5%,"74,882",22.7%
Vex,A,4.32,17.7%,"23,950",7.3%
Riven,A,4.33,12.3%,"86,583",26.3%
Zoe,A,4.34,11.5%,"26,489",8.0%
Rek'Sai,A,4.34,11.0%,"26,822",8.1%
Tahm Kench,A,4.35,14.8%,"104,709",31.8%
Gragas,A,4.35,13.0%,"59,662",18.1%
Kai'Sa,A,4.38,12.8%,"66,427",20.2%
Karma,A,4.39,14.4%,"78,724",23.9%
The Mighty Mech,A,4.39,12.5%,"79,703",24.2%
Urgot,A,4.40,13.7%,"73,320",22.3%
Corki,B,4.44,10.0%,"59,090",17.9%
Maokai,B,4.44,13.5%,"103,459",31.4%
Mordekaiser,B,4.46,13.2%,"109,247",33.2%
Briar,B,4.46,10.2%,"23,798",7.2%
Cho'Gath,B,4.48,12.7%,"64,032",19.4%
Milio,B,4.49,11.3%,"78,172",23.7%
Leona,B,4.49,11.1%,"37,085",11.3%
Caitlyn,B,4.49,10.2%,"16,506",5.0%
Nunu & Willump,B,4.49,14.7%,"80,117",24.3%
Pyke,B,4.50,11.1%,"10,593",3.2%
Talon,B,4.50,11.3%,"17,357",5.3%
Nasus,B,4.50,10.5%,"23,165",7.0%
Aatrox,B,4.51,14.0%,"53,993",16.4%
Twisted Fate,B,4.54,12.7%,"36,374",11.0%
Meepsie,B,4.54,10.9%,"92,154",28.0%
Fizz,B,4.55,9.3%,"47,074",14.3%
Akali,B,4.55,12.3%,"62,633",19.0%
Illaoi,B,4.55,11.7%,"73,388",22.3%
Lissandra,B,4.55,11.2%,"64,166",19.5%
LeBlanc,B,4.58,11.3%,"21,671",6.6%
Graves,B,4.58,17.5%,"18,232",5.5%
Lulu,B,4.59,14.4%,"26,217",8.0%
Rammus,C,4.61,10.5%,"71,093",21.6%
Jax,C,4.61,13.2%,"52,931",16.1%
Pantheon,C,4.61,13.7%,"52,374",15.9%
Gwen,C,4.62,9.7%,"12,223",3.7%
Xayah,C,4.64,15.4%,"21,942",6.7%
Aurelion Sol,C,4.68,20.1%,"8,863",2.7%
Viktor,C,4.75,8.9%,"6,047",1.8%
Poppy,C,4.76,8.8%,"43,499",13.2%
Samira,D,4.83,12.6%,"5,293",1.6%
Veigar,D,4.83,13.2%,"7,730",2.3%
Ezreal,D,4.91,13.6%,"11,438",3.5%
Gnar,D,4.95,13.2%,"13,207",4.0%
Ornn,D,5.00,9.8%,"10,817",3.3%
Miss Fortune,D,5.02,10.5%,"3,521",1.1%
Aurora,D,5.09,10.8%,"8,869",2.7%
Diana,D,5.30,9.6%,"3,617",1.1%
Jinx,D,5.35,14.6%,"4,068",1.2%
