Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.23,42.6%,204,0.0%
Jhin,S,3.93,19.0%,"112,720",19.0%
Bard,S,3.94,17.4%,"143,338",24.1%
Sona,S,4.01,17.6%,"137,127",23.1%
Rhaast,S,4.02,18.3%,"192,116",32.3%
Shen,S,4.03,19.3%,"127,118",21.4%
Blitzcrank,S,4.05,19.2%,"242,078",40.7%
Morgana,S,4.05,19.3%,"75,665",12.7%
Fiora,S,4.19,18.3%,"123,992",20.9%
Vex,S,4.19,19.9%,"140,470",23.6%
Zed,A,4.22,18.5%,"9,185",1.5%
Kindred,A,4.32,9.4%,"72,985",12.3%
Corki,A,4.32,8.5%,"69,147",11.6%
Karma,A,4.32,14.0%,"172,842",29.1%
Riven,A,4.34,9.4%,"87,749",14.8%
Pyke,A,4.34,10.2%,"24,205",4.1%
The Mighty Mech,A,4.35,10.4%,"104,824",17.6%
Master Yi,A,4.35,9.8%,"60,539",10.2%
Fizz,A,4.36,8.5%,"61,573",10.4%
Meepsie,A,4.38,12.1%,"218,160",36.7%
Graves,B,4.42,20.0%,"92,409",15.5%
Nunu & Willump,B,4.42,15.8%,"279,328",47.0%
Milio,B,4.43,8.6%,"85,249",14.3%
Gragas,B,4.44,9.1%,"65,938",11.1%
Tahm Kench,B,4.45,13.8%,"183,260",30.8%
Urgot,B,4.45,9.6%,"84,674",14.2%
Aatrox,B,4.46,15.3%,"194,890",32.8%
Xayah,B,4.48,15.6%,"83,110",14.0%
Mordekaiser,B,4.48,12.9%,"214,658",36.1%
Rammus,B,4.48,8.9%,"87,083",14.6%
Viktor,B,4.48,9.1%,"21,620",3.6%
Maokai,B,4.49,12.1%,"200,088",33.7%
Bel'Veth,B,4.52,8.0%,"79,374",13.4%
Akali,B,4.52,15.8%,"111,095",18.7%
Illaoi,B,4.55,12.6%,"175,731",29.6%
Jax,B,4.56,13.5%,"106,294",17.9%
Cho'Gath,B,4.58,10.5%,"49,965",8.4%
Pantheon,B,4.59,10.3%,"65,676",11.0%
Lulu,C,4.60,10.7%,"23,896",4.0%
Kai'Sa,C,4.61,9.9%,"38,226",6.4%
Poppy,C,4.62,7.6%,"55,246",9.3%
Gwen,C,4.63,9.1%,"21,178",3.6%
Leona,C,4.64,11.8%,"89,364",15.0%
Miss Fortune,C,4.65,5.9%,"31,656",5.3%
Aurelion Sol,C,4.65,10.3%,"41,668",7.0%
Nami,C,4.66,8.9%,"29,198",4.9%
Veigar,C,4.67,15.5%,"4,427",0.7%
Twisted Fate,C,4.70,9.0%,"25,456",4.3%
Ornn,C,4.73,7.4%,"49,921",8.4%
Lissandra,C,4.75,8.7%,"56,034",9.4%
Teemo,C,4.77,9.2%,"11,439",1.9%
LeBlanc,D,4.82,9.2%,"50,975",8.6%
Rek'Sai,D,4.83,6.8%,"19,020",3.2%
Diana,D,4.88,8.4%,"24,974",4.2%
Gnar,D,4.89,11.8%,"11,086",1.9%
Caitlyn,D,4.92,5.5%,"11,964",2.0%
Talon,D,5.01,7.6%,"9,411",1.6%
Jinx,D,5.02,9.2%,"24,969",4.2%
Ezreal,D,5.05,9.9%,"10,133",1.7%
Samira,D,5.05,10.2%,"26,398",4.4%
Aurora,D,5.06,11.7%,"16,404",2.8%
Zoe,D,5.07,6.9%,"25,551",4.3%
Nasus,D,5.20,6.9%,"23,628",4.0%
Briar,D,5.43,5.3%,"14,664",2.5%
