Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.44,23.8%,"38,709",12.3%
Rhaast,S,3.75,19.5%,"60,368",19.2%
Jhin,S,3.77,20.2%,"54,381",17.3%
Shen,S,3.78,19.1%,"45,782",14.6%
Sona,S,3.87,18.5%,"29,186",9.3%
Bard,S,3.91,18.5%,"45,921",14.6%
Fiora,S,3.94,18.3%,"59,216",18.8%
Blitzcrank,S,3.98,18.7%,"51,726",16.4%
Kindred,S,4.19,13.3%,"73,447",23.4%
Zed,A,4.21,23.7%,"4,675",1.5%
Teemo,A,4.24,11.9%,"23,502",7.5%
Nami,A,4.29,11.5%,"19,992",6.4%
Master Yi,A,4.29,13.2%,"61,516",19.6%
Bel'Veth,A,4.29,12.6%,"70,245",22.3%
Vex,A,4.32,17.7%,"23,001",7.3%
Rek'Sai,A,4.32,11.3%,"25,998",8.3%
Riven,A,4.33,12.4%,"82,582",26.3%
Zoe,A,4.34,11.3%,"25,305",8.0%
Gragas,A,4.34,13.0%,"55,278",17.6%
Tahm Kench,A,4.35,14.8%,"99,127",31.5%
Kai'Sa,A,4.37,12.8%,"63,610",20.2%
Karma,A,4.39,14.3%,"76,015",24.2%
The Mighty Mech,A,4.40,12.4%,"75,278",23.9%
Urgot,A,4.40,13.8%,"69,180",22.0%
Corki,B,4.44,10.0%,"55,364",17.6%
Briar,B,4.44,10.6%,"23,130",7.4%
Maokai,B,4.44,13.6%,"98,042",31.2%
Mordekaiser,B,4.46,13.1%,"104,711",33.3%
Pyke,B,4.47,11.1%,"10,498",3.3%
Caitlyn,B,4.48,10.2%,"16,493",5.2%
Cho'Gath,B,4.48,12.8%,"60,776",19.3%
Talon,B,4.49,11.3%,"17,303",5.5%
Leona,B,4.49,11.0%,"35,589",11.3%
Milio,B,4.49,11.3%,"72,944",23.2%
Nunu & Willump,B,4.50,14.6%,"77,246",24.6%
Nasus,B,4.50,10.3%,"22,201",7.1%
Aatrox,B,4.51,13.9%,"51,575",16.4%
Akali,B,4.53,12.5%,"61,195",19.5%
Meepsie,B,4.53,11.0%,"88,009",28.0%
Twisted Fate,B,4.54,12.6%,"34,100",10.8%
Fizz,B,4.54,9.3%,"43,823",13.9%
Illaoi,B,4.54,11.7%,"71,295",22.7%
Lissandra,B,4.55,11.1%,"61,256",19.5%
LeBlanc,B,4.57,11.3%,"20,965",6.7%
Graves,B,4.57,17.2%,"17,414",5.5%
Rammus,C,4.61,10.6%,"67,449",21.4%
Gwen,C,4.61,9.7%,"12,237",3.9%
Jax,C,4.61,13.3%,"50,534",16.1%
Lulu,C,4.62,14.3%,"24,110",7.7%
Xayah,C,4.62,15.4%,"21,688",6.9%
Pantheon,C,4.63,13.6%,"48,911",15.6%
Aurelion Sol,C,4.69,19.9%,"8,651",2.8%
Viktor,C,4.73,9.4%,"6,013",1.9%
Poppy,C,4.75,9.0%,"40,827",13.0%
Veigar,C,4.77,13.9%,"7,800",2.5%
Samira,D,4.82,12.7%,"5,382",1.7%
Ezreal,D,4.91,13.7%,"11,689",3.7%
Gnar,D,4.93,13.8%,"12,817",4.1%
Ornn,D,5.01,9.8%,"11,011",3.5%
Aurora,D,5.06,10.9%,"9,299",3.0%
Miss Fortune,D,5.09,10.0%,"3,606",1.1%
Diana,D,5.35,9.6%,"3,483",1.1%
Jinx,D,5.35,14.7%,"3,821",1.2%
