Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.86,27.4%,73,0.0%
Jhin,S,3.82,20.2%,"105,810",19.4%
Bard,S,3.85,17.9%,"119,290",21.8%
Rhaast,S,3.90,20.1%,"160,055",29.3%
Shen,S,3.95,18.4%,"107,832",19.7%
Sona,S,3.99,18.6%,"91,584",16.8%
Blitzcrank,S,4.05,19.7%,"170,137",31.2%
Zed,S,4.07,22.9%,"8,798",1.6%
Fiora,S,4.12,18.2%,"106,014",19.4%
Morgana,S,4.13,17.8%,"70,837",13.0%
Vex,A,4.27,20.0%,"88,441",16.2%
Karma,A,4.30,14.6%,"159,362",29.2%
Pyke,A,4.31,11.3%,"17,794",3.3%
The Mighty Mech,A,4.31,10.7%,"156,831",28.7%
Master Yi,A,4.31,11.5%,"70,341",12.9%
Kindred,A,4.33,11.4%,"72,234",13.2%
Cho'Gath,A,4.36,13.6%,"73,456",13.5%
Urgot,A,4.37,12.0%,"79,396",14.5%
Gragas,A,4.37,11.1%,"71,462",13.1%
Tahm Kench,A,4.38,14.5%,"167,823",30.7%
Corki,A,4.38,8.1%,"110,538",20.2%
Riven,A,4.38,8.9%,"120,788",22.1%
Kai'Sa,A,4.39,13.2%,"59,547",10.9%
Fizz,B,4.43,7.9%,"101,950",18.7%
Meepsie,B,4.43,11.2%,"214,769",39.3%
Bel'Veth,B,4.44,10.7%,"67,978",12.4%
Milio,B,4.45,8.8%,"132,081",24.2%
Maokai,B,4.46,13.4%,"164,457",30.1%
Nunu & Willump,B,4.46,15.7%,"217,587",39.8%
Mordekaiser,B,4.46,13.6%,"190,178",34.8%
Aurelion Sol,B,4.47,11.8%,"57,330",10.5%
Aatrox,B,4.49,16.0%,"136,262",25.0%
Rammus,B,4.50,8.4%,"127,394",23.3%
Graves,B,4.52,18.5%,"62,102",11.4%
Pantheon,B,4.55,12.7%,"67,645",12.4%
Xayah,B,4.55,15.6%,"59,387",10.9%
Viktor,B,4.56,9.2%,"14,921",2.7%
Lulu,B,4.57,12.4%,"30,815",5.6%
Akali,B,4.58,15.7%,"82,335",15.1%
Illaoi,C,4.61,12.9%,"131,073",24.0%
Jax,C,4.62,13.6%,"87,890",16.1%
Lissandra,C,4.64,10.9%,"66,677",12.2%
Twisted Fate,C,4.65,11.2%,"31,689",5.8%
Teemo,C,4.68,9.5%,"9,804",1.8%
Poppy,C,4.72,6.6%,"85,326",15.6%
LeBlanc,C,4.74,10.5%,"37,901",6.9%
Miss Fortune,C,4.77,7.7%,"16,831",3.1%
Veigar,C,4.78,14.9%,"5,323",1.0%
Nami,C,4.80,8.7%,"17,843",3.3%
Zoe,D,4.81,7.9%,"16,563",3.0%
Diana,D,4.85,11.6%,"21,850",4.0%
Rek'Sai,D,4.87,9.1%,"11,366",2.1%
Gwen,D,4.88,8.4%,"9,351",1.7%
Ornn,D,4.91,7.8%,"28,027",5.1%
Ezreal,D,4.91,12.8%,"11,459",2.1%
Leona,D,4.94,9.4%,"47,048",8.6%
Aurora,D,4.95,13.6%,"17,826",3.3%
Caitlyn,D,5.03,6.5%,"7,846",1.4%
Jinx,D,5.03,13.4%,"17,888",3.3%
Talon,D,5.05,8.0%,"8,085",1.5%
Gnar,D,5.07,11.1%,"12,213",2.2%
Samira,D,5.14,9.8%,"18,594",3.4%
Nasus,D,5.27,6.3%,"14,830",2.7%
Briar,D,5.91,6.0%,"7,678",1.4%
