Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.30,40.9%,203,0.0%
Jhin,S,3.82,20.2%,"107,567",18.9%
Shen,S,3.91,19.8%,"122,747",21.6%
Bard,S,3.99,16.9%,"124,269",21.8%
Rhaast,S,3.99,18.2%,"167,726",29.5%
Morgana,S,4.02,19.5%,"69,392",12.2%
Blitzcrank,S,4.05,18.7%,"222,022",39.0%
Sona,S,4.10,16.5%,"113,570",19.9%
Fiora,S,4.20,17.9%,"102,695",18.0%
Teemo,A,4.25,15.1%,"27,190",4.8%
Kindred,A,4.29,10.4%,"66,829",11.7%
Nami,A,4.30,13.4%,"69,863",12.3%
Vex,A,4.31,18.6%,"97,158",17.1%
Gwen,A,4.32,13.3%,"62,471",11.0%
Zed,A,4.33,17.4%,"7,855",1.4%
The Mighty Mech,A,4.33,11.5%,"103,792",18.2%
Riven,A,4.34,10.8%,"103,926",18.3%
Master Yi,A,4.35,10.5%,"56,548",9.9%
Karma,A,4.35,13.8%,"151,624",26.6%
Corki,A,4.39,9.2%,"71,853",12.6%
Pyke,A,4.39,9.4%,"26,674",4.7%
Milio,B,4.43,9.6%,"83,955",14.7%
Gragas,B,4.43,9.6%,"65,069",11.4%
Tahm Kench,B,4.43,14.2%,"174,453",30.6%
Meepsie,B,4.44,11.5%,"201,644",35.4%
Urgot,B,4.45,10.6%,"83,150",14.6%
Fizz,B,4.45,8.9%,"63,747",11.2%
Rammus,B,4.46,9.9%,"98,469",17.3%
Ornn,B,4.46,12.0%,"92,250",16.2%
Xayah,B,4.47,15.6%,"70,144",12.3%
Nunu & Willump,B,4.48,15.1%,"239,141",42.0%
Graves,B,4.48,18.9%,"74,655",13.1%
Maokai,B,4.48,12.4%,"177,133",31.1%
Pantheon,B,4.48,11.9%,"90,190",15.8%
Samira,B,4.49,14.0%,"57,375",10.1%
Lulu,B,4.49,11.9%,"25,455",4.5%
Bel'Veth,B,4.49,8.7%,"73,079",12.8%
Aatrox,B,4.50,14.6%,"159,715",28.1%
Mordekaiser,B,4.53,12.7%,"177,295",31.1%
Viktor,B,4.53,9.3%,"18,168",3.2%
Cho'Gath,B,4.54,11.8%,"47,689",8.4%
Twisted Fate,B,4.54,10.8%,"24,784",4.4%
Kai'Sa,B,4.55,11.2%,"35,317",6.2%
Jax,B,4.55,13.6%,"92,175",16.2%
Nasus,B,4.56,12.8%,"53,282",9.4%
Gnar,B,4.57,12.2%,"21,824",3.8%
Akali,B,4.58,14.7%,"88,285",15.5%
Illaoi,C,4.63,12.0%,"145,656",25.6%
Aurelion Sol,C,4.63,11.7%,"38,417",6.7%
Poppy,C,4.64,8.4%,"61,370",10.8%
Miss Fortune,C,4.65,6.8%,"29,550",5.2%
Lissandra,C,4.69,9.6%,"53,676",9.4%
Rek'Sai,C,4.79,7.8%,"17,419",3.1%
Ezreal,D,4.81,12.2%,"15,592",2.7%
Diana,D,4.81,9.6%,"22,045",3.9%
Leona,D,4.82,9.8%,"63,300",11.1%
LeBlanc,D,4.83,9.2%,"41,520",7.3%
Caitlyn,D,4.87,6.6%,"10,937",1.9%
Jinx,D,4.95,10.5%,"22,816",4.0%
Veigar,D,4.96,13.1%,"6,127",1.1%
Talon,D,4.97,8.1%,"8,346",1.5%
Aurora,D,5.04,12.4%,"15,780",2.8%
Zoe,D,5.17,5.9%,"16,487",2.9%
Briar,D,5.52,5.7%,"12,636",2.2%
