Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.48,42.9%,105,0.0%
Rhaast,S,3.69,21.8%,"91,275",18.1%
Shen,S,3.70,20.0%,"81,864",16.3%
Bard,S,3.78,18.9%,"114,428",22.7%
Jhin,S,3.80,19.9%,"74,668",14.8%
Fiora,S,3.88,20.6%,"81,142",16.1%
Sona,S,3.91,18.8%,"88,982",17.7%
Blitzcrank,S,4.04,18.9%,"128,528",25.5%
Master Yi,S,4.14,14.6%,"70,889",14.1%
Vex,S,4.15,21.8%,"53,475",10.6%
Kindred,S,4.16,14.4%,"70,551",14.0%
Morgana,S,4.17,16.7%,"84,011",16.7%
Zed,S,4.19,23.1%,"7,812",1.6%
Gragas,A,4.22,14.0%,"69,819",13.9%
Urgot,A,4.23,14.8%,"79,660",15.8%
Bel'Veth,A,4.25,13.9%,"66,022",13.1%
Tahm Kench,A,4.29,15.6%,"129,232",25.7%
Maokai,A,4.32,14.8%,"116,953",23.2%
Riven,A,4.36,10.2%,"125,275",24.9%
Corki,A,4.37,8.9%,"107,905",21.4%
The Mighty Mech,A,4.38,10.9%,"170,999",34.0%
Pyke,B,4.41,11.6%,"23,706",4.7%
Karma,B,4.41,13.6%,"177,618",35.3%
Fizz,B,4.41,8.7%,"98,479",19.6%
Milio,B,4.43,9.9%,"130,344",25.9%
Cho'Gath,B,4.43,13.7%,"70,482",14.0%
Kai'Sa,B,4.44,13.3%,"58,758",11.7%
Aatrox,B,4.45,16.4%,"65,259",13.0%
Meepsie,B,4.46,11.3%,"227,627",45.2%
Graves,B,4.47,20.2%,"34,092",6.8%
Rammus,B,4.48,9.6%,"129,278",25.7%
Akali,B,4.51,16.2%,"57,715",11.5%
Nunu & Willump,B,4.52,14.2%,"175,224",34.8%
Lulu,B,4.53,13.9%,"30,217",6.0%
Mordekaiser,B,4.53,12.8%,"204,063",40.5%
Pantheon,B,4.54,13.8%,"64,442",12.8%
Twisted Fate,B,4.56,12.7%,"33,340",6.6%
Teemo,B,4.56,10.5%,"11,409",2.3%
Aurelion Sol,B,4.60,11.4%,"89,036",17.7%
Illaoi,C,4.63,12.2%,"151,474",30.1%
Viktor,C,4.63,9.6%,"19,660",3.9%
Rek'Sai,C,4.65,11.4%,"13,023",2.6%
Jax,C,4.67,12.6%,"56,524",11.2%
Lissandra,C,4.69,10.4%,"74,262",14.8%
Xayah,C,4.70,13.9%,"27,849",5.5%
Poppy,C,4.71,7.3%,"83,306",16.5%
Nami,C,4.74,8.9%,"25,875",5.1%
LeBlanc,C,4.75,10.6%,"43,843",8.7%
Gwen,C,4.76,10.1%,"11,085",2.2%
Zoe,C,4.78,8.5%,"23,244",4.6%
Samira,C,4.78,12.0%,"12,679",2.5%
Caitlyn,D,4.80,8.0%,"10,077",2.0%
Veigar,D,4.82,14.3%,"7,034",1.4%
Talon,D,4.85,9.2%,"10,632",2.1%
Ornn,D,4.86,10.1%,"22,946",4.6%
Miss Fortune,D,4.90,8.6%,"9,784",1.9%
Leona,D,4.94,9.4%,"50,187",10.0%
Gnar,D,4.98,12.2%,"17,417",3.5%
Ezreal,D,4.99,12.8%,"12,043",2.4%
Aurora,D,5.01,13.1%,"18,653",3.7%
Diana,D,5.01,12.6%,"16,506",3.3%
Nasus,D,5.11,7.3%,"17,201",3.4%
Jinx,D,5.11,14.9%,"14,731",2.9%
Briar,D,5.40,8.1%,"9,743",1.9%
