Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.79,43.3%,90,0.0%
Rhaast,S,3.75,21.1%,"111,918",21.0%
Shen,S,3.78,19.7%,"94,303",17.7%
Jhin,S,3.80,19.9%,"82,090",15.4%
Bard,S,3.80,18.4%,"119,427",22.4%
Sona,S,3.92,19.1%,"87,198",16.4%
Fiora,S,3.97,19.7%,"96,909",18.2%
Blitzcrank,S,4.06,19.1%,"140,069",26.3%
Zed,S,4.19,22.4%,"8,513",1.6%
Vex,S,4.19,21.3%,"67,074",12.6%
Morgana,S,4.20,16.7%,"89,797",16.8%
Master Yi,A,4.22,13.7%,"78,055",14.6%
Kindred,A,4.23,13.7%,"76,253",14.3%
Urgot,A,4.28,14.0%,"85,507",16.0%
Gragas,A,4.29,13.3%,"77,336",14.5%
Bel'Veth,A,4.33,13.2%,"71,596",13.4%
Tahm Kench,A,4.33,14.9%,"140,237",26.3%
Maokai,A,4.36,14.2%,"128,785",24.2%
The Mighty Mech,A,4.37,10.8%,"182,064",34.1%
Karma,A,4.37,14.0%,"179,074",33.6%
Pyke,A,4.38,11.5%,"21,488",4.0%
Riven,A,4.39,9.7%,"133,129",25.0%
Corki,B,4.40,8.6%,"118,050",22.1%
Cho'Gath,B,4.42,13.8%,"79,423",14.9%
Kai'Sa,B,4.44,13.4%,"65,629",12.3%
Aatrox,B,4.44,16.6%,"78,480",14.7%
Fizz,B,4.45,8.4%,"108,183",20.3%
Meepsie,B,4.45,11.3%,"228,729",42.9%
Milio,B,4.45,9.6%,"142,306",26.7%
Graves,B,4.47,20.0%,"42,765",8.0%
Rammus,B,4.50,9.2%,"138,557",26.0%
Nunu & Willump,B,4.50,14.7%,"181,581",34.1%
Lulu,B,4.51,13.9%,"33,210",6.2%
Mordekaiser,B,4.51,13.0%,"207,097",38.8%
Akali,B,4.53,16.3%,"68,952",12.9%
Pantheon,B,4.54,13.6%,"72,311",13.6%
Aurelion Sol,B,4.55,11.5%,"86,088",16.1%
Teemo,B,4.55,10.8%,"10,831",2.0%
Twisted Fate,B,4.55,12.6%,"35,592",6.7%
Viktor,B,4.57,9.8%,"17,941",3.4%
Illaoi,C,4.61,12.6%,"142,093",26.6%
Lissandra,C,4.66,11.0%,"76,794",14.4%
Jax,C,4.66,12.5%,"57,720",10.8%
Xayah,C,4.72,13.5%,"26,210",4.9%
LeBlanc,C,4.72,11.1%,"41,956",7.9%
Rek'Sai,C,4.72,11.0%,"12,873",2.4%
Poppy,C,4.74,7.0%,"91,384",17.1%
Nami,C,4.74,9.3%,"23,372",4.4%
Zoe,C,4.75,8.6%,"21,170",4.0%
Gwen,D,4.81,9.8%,"10,668",2.0%
Veigar,D,4.82,14.1%,"6,742",1.3%
Samira,D,4.83,11.3%,"11,722",2.2%
Miss Fortune,D,4.85,8.8%,"9,669",1.8%
Caitlyn,D,4.87,7.4%,"9,546",1.8%
Ornn,D,4.88,9.6%,"22,720",4.3%
Talon,D,4.90,8.8%,"10,144",1.9%
Leona,D,4.92,9.8%,"48,897",9.2%
Ezreal,D,4.94,13.2%,"13,022",2.4%
Diana,D,4.97,13.3%,"16,970",3.2%
Gnar,D,4.98,12.1%,"16,686",3.1%
Aurora,D,4.99,13.6%,"19,382",3.6%
Jinx,D,5.09,15.1%,"15,721",2.9%
Nasus,D,5.13,7.1%,"16,534",3.1%
Briar,D,5.60,7.1%,"9,137",1.7%
