Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.36,47.6%,84,0.0%
Jhin,S,3.80,20.1%,"93,744",17.3%
Rhaast,S,3.82,20.8%,"132,209",24.4%
Bard,S,3.82,18.3%,"120,091",22.2%
Shen,S,3.87,19.1%,"102,575",18.9%
Sona,S,3.95,19.0%,"87,164",16.1%
Blitzcrank,S,4.05,19.5%,"152,115",28.1%
Fiora,S,4.05,19.0%,"104,364",19.3%
Zed,S,4.17,22.5%,"8,791",1.6%
Morgana,S,4.18,17.0%,"82,251",15.2%
Vex,A,4.24,20.9%,"77,670",14.3%
Master Yi,A,4.27,12.6%,"76,140",14.1%
Kindred,A,4.29,12.5%,"75,420",13.9%
Urgot,A,4.32,13.0%,"83,447",15.4%
Karma,A,4.33,14.3%,"170,845",31.6%
The Mighty Mech,A,4.34,10.8%,"173,621",32.1%
Pyke,A,4.34,11.3%,"19,819",3.7%
Gragas,A,4.34,12.1%,"76,742",14.2%
Tahm Kench,A,4.35,14.7%,"153,145",28.3%
Cho'Gath,A,4.39,13.9%,"79,568",14.7%
Bel'Veth,A,4.39,12.0%,"70,364",13.0%
Kai'Sa,B,4.40,13.4%,"65,939",12.2%
Riven,B,4.40,9.2%,"129,263",23.9%
Corki,B,4.40,8.2%,"116,481",21.5%
Maokai,B,4.41,13.7%,"143,523",26.5%
Meepsie,B,4.45,11.1%,"221,850",41.0%
Fizz,B,4.45,8.0%,"107,223",19.8%
Aatrox,B,4.46,16.6%,"103,379",19.1%
Milio,B,4.47,9.1%,"140,048",25.9%
Nunu & Willump,B,4.48,15.3%,"196,920",36.4%
Mordekaiser,B,4.49,13.3%,"199,746",36.9%
Aurelion Sol,B,4.50,11.6%,"74,093",13.7%
Graves,B,4.51,19.3%,"50,704",9.4%
Rammus,B,4.51,8.7%,"135,611",25.0%
Lulu,B,4.55,13.1%,"32,822",6.1%
Pantheon,B,4.56,13.2%,"71,955",13.3%
Akali,B,4.56,16.2%,"77,173",14.3%
Viktor,B,4.57,9.4%,"16,752",3.1%
Teemo,B,4.60,10.0%,"10,137",1.9%
Twisted Fate,C,4.60,12.0%,"34,304",6.3%
Xayah,C,4.60,15.0%,"38,332",7.1%
Illaoi,C,4.61,12.7%,"134,551",24.8%
Jax,C,4.64,13.2%,"69,225",12.8%
Lissandra,C,4.65,11.2%,"72,712",13.4%
LeBlanc,C,4.72,10.8%,"39,255",7.2%
Poppy,C,4.74,6.8%,"89,811",16.6%
Veigar,C,4.75,15.6%,"5,910",1.1%
Nami,C,4.77,8.8%,"20,559",3.8%
Zoe,C,4.79,7.9%,"19,127",3.5%
Rek'Sai,C,4.79,10.4%,"12,203",2.3%
Miss Fortune,D,4.84,8.1%,"11,463",2.1%
Ezreal,D,4.88,13.6%,"12,601",2.3%
Gwen,D,4.90,8.5%,"10,033",1.9%
Diana,D,4.91,12.3%,"18,473",3.4%
Leona,D,4.92,9.4%,"47,033",8.7%
Ornn,D,4.93,8.6%,"23,953",4.4%
Aurora,D,4.95,13.2%,"19,079",3.5%
Samira,D,4.96,10.9%,"14,395",2.7%
Caitlyn,D,4.97,6.9%,"8,829",1.6%
Talon,D,4.99,8.7%,"9,179",1.7%
Gnar,D,5.01,11.7%,"15,200",2.8%
Jinx,D,5.07,13.8%,"16,991",3.1%
Nasus,D,5.18,6.5%,"15,686",2.9%
Briar,D,5.76,6.5%,"8,420",1.6%
