Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.84,34.4%,96,0.0%
Jhin,S,3.82,20.2%,"120,708",19.8%
Bard,S,3.87,17.7%,"130,521",21.4%
Rhaast,S,3.92,20.0%,"193,240",31.7%
Shen,S,4.02,18.5%,"127,836",21.0%
Sona,S,4.03,18.0%,"103,320",17.0%
Blitzcrank,S,4.07,19.5%,"203,834",33.5%
Zed,S,4.08,22.4%,"10,520",1.7%
Morgana,S,4.10,18.4%,"72,891",12.0%
Fiora,S,4.18,18.0%,"127,198",20.9%
The Mighty Mech,A,4.29,10.6%,"165,200",27.1%
Karma,A,4.30,14.4%,"173,102",28.4%
Vex,A,4.31,19.6%,"112,442",18.5%
Corki,A,4.34,8.2%,"118,418",19.5%
Master Yi,A,4.34,10.8%,"73,944",12.1%
Kindred,A,4.35,10.8%,"75,506",12.4%
Pyke,A,4.35,10.2%,"18,653",3.1%
Riven,A,4.36,8.8%,"128,808",21.2%
Cho'Gath,A,4.37,13.2%,"81,176",13.3%
Fizz,A,4.40,8.0%,"109,571",18.0%
Tahm Kench,A,4.40,14.3%,"189,240",31.1%
Urgot,B,4.41,11.1%,"85,857",14.1%
Kai'Sa,B,4.41,12.7%,"65,321",10.7%
Gragas,B,4.42,10.4%,"74,938",12.3%
Milio,B,4.42,8.8%,"140,744",23.1%
Meepsie,B,4.43,11.1%,"235,317",38.7%
Nunu & Willump,B,4.45,15.9%,"254,767",41.8%
Mordekaiser,B,4.46,13.4%,"206,747",34.0%
Rammus,B,4.47,8.4%,"135,038",22.2%
Aatrox,B,4.47,16.2%,"166,656",27.4%
Maokai,B,4.47,13.2%,"186,155",30.6%
Bel'Veth,B,4.49,9.9%,"73,978",12.2%
Xayah,B,4.49,16.2%,"68,496",11.3%
Aurelion Sol,B,4.49,11.2%,"57,629",9.5%
Graves,B,4.54,18.5%,"84,194",13.8%
Pantheon,B,4.56,12.3%,"75,137",12.3%
Jax,B,4.56,14.1%,"97,840",16.1%
Lulu,B,4.58,12.2%,"33,042",5.4%
Akali,B,4.59,16.0%,"101,578",16.7%
Viktor,C,4.61,8.1%,"15,039",2.5%
Twisted Fate,C,4.62,11.3%,"33,023",5.4%
Illaoi,C,4.63,12.5%,"145,365",23.9%
Lissandra,C,4.64,10.9%,"73,353",12.0%
Poppy,C,4.66,6.9%,"92,261",15.2%
Teemo,C,4.70,9.3%,"10,323",1.7%
LeBlanc,C,4.76,10.2%,"41,062",6.7%
Veigar,C,4.77,14.5%,"5,820",1.0%
Nami,D,4.81,8.4%,"18,757",3.1%
Miss Fortune,D,4.81,7.0%,"20,145",3.3%
Zoe,D,4.86,7.6%,"17,071",2.8%
Diana,D,4.87,10.7%,"23,724",3.9%
Gwen,D,4.87,8.0%,"10,564",1.7%
Rek'Sai,D,4.95,8.5%,"13,381",2.2%
Ornn,D,4.95,7.0%,"31,483",5.2%
Ezreal,D,4.97,12.4%,"11,783",1.9%
Leona,D,4.97,8.8%,"50,211",8.2%
Aurora,D,5.01,12.5%,"19,406",3.2%
Caitlyn,D,5.03,6.3%,"7,328",1.2%
Gnar,D,5.05,11.1%,"11,324",1.9%
Jinx,D,5.07,12.0%,"20,425",3.4%
Talon,D,5.11,7.9%,"8,343",1.4%
Samira,D,5.18,9.5%,"19,974",3.3%
Nasus,D,5.32,5.9%,"15,771",2.6%
Briar,D,6.02,5.1%,"8,866",1.5%
