Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.53,41.3%,75,0.0%
Jhin,S,3.82,20.1%,"113,761",19.6%
Bard,S,3.87,17.8%,"127,471",21.9%
Rhaast,S,3.90,20.1%,"176,666",30.4%
Shen,S,3.98,18.4%,"118,042",20.3%
Sona,S,4.01,18.2%,"100,136",17.2%
Blitzcrank,S,4.06,19.6%,"187,883",32.3%
Zed,S,4.08,22.5%,"9,664",1.7%
Morgana,S,4.12,18.1%,"71,946",12.4%
Fiora,S,4.16,18.0%,"115,883",19.9%
Vex,A,4.28,19.9%,"100,677",17.3%
Karma,A,4.30,14.6%,"168,661",29.0%
The Mighty Mech,A,4.30,10.5%,"161,317",27.8%
Master Yi,A,4.33,11.2%,"72,736",12.5%
Pyke,A,4.34,10.6%,"18,126",3.1%
Kindred,A,4.36,11.0%,"74,218",12.8%
Corki,A,4.36,8.1%,"115,275",19.8%
Cho'Gath,A,4.37,13.3%,"78,406",13.5%
Riven,A,4.37,8.8%,"125,379",21.6%
Tahm Kench,A,4.39,14.4%,"178,499",30.7%
Urgot,B,4.40,11.5%,"83,595",14.4%
Gragas,B,4.40,10.8%,"73,539",12.7%
Kai'Sa,B,4.41,12.9%,"63,277",10.9%
Fizz,B,4.41,7.8%,"106,658",18.4%
Meepsie,B,4.42,11.2%,"228,227",39.3%
Milio,B,4.44,8.7%,"137,912",23.7%
Nunu & Willump,B,4.45,15.9%,"236,879",40.8%
Mordekaiser,B,4.46,13.6%,"200,800",34.6%
Maokai,B,4.47,13.3%,"176,254",30.3%
Bel'Veth,B,4.48,10.3%,"72,012",12.4%
Aatrox,B,4.48,16.1%,"150,629",25.9%
Rammus,B,4.48,8.4%,"132,195",22.8%
Aurelion Sol,B,4.48,11.6%,"57,307",9.9%
Xayah,B,4.50,16.2%,"63,375",10.9%
Graves,B,4.54,18.4%,"73,794",12.7%
Pantheon,B,4.56,12.4%,"72,937",12.6%
Viktor,B,4.58,8.9%,"14,873",2.6%
Jax,B,4.59,14.0%,"93,083",16.0%
Akali,B,4.59,15.8%,"91,540",15.8%
Lulu,B,4.59,12.2%,"32,621",5.6%
Illaoi,C,4.61,12.8%,"140,654",24.2%
Lissandra,C,4.63,10.9%,"71,583",12.3%
Twisted Fate,C,4.65,11.2%,"32,814",5.6%
Poppy,C,4.69,6.7%,"89,363",15.4%
Teemo,C,4.70,9.1%,"10,219",1.8%
LeBlanc,C,4.76,10.2%,"39,483",6.8%
Miss Fortune,C,4.79,7.4%,"18,616",3.2%
Veigar,D,4.80,14.6%,"5,593",1.0%
Nami,D,4.82,8.1%,"17,969",3.1%
Zoe,D,4.85,7.6%,"16,750",2.9%
Diana,D,4.87,11.0%,"22,542",3.9%
Rek'Sai,D,4.89,8.9%,"12,697",2.2%
Ezreal,D,4.90,12.6%,"11,481",2.0%
Gwen,D,4.91,8.0%,"9,851",1.7%
Ornn,D,4.95,7.3%,"29,372",5.1%
Leona,D,4.96,9.1%,"48,487",8.3%
Aurora,D,4.98,13.1%,"18,286",3.1%
Gnar,D,5.05,11.1%,"11,630",2.0%
Caitlyn,D,5.06,5.8%,"7,505",1.3%
Jinx,D,5.06,12.6%,"19,278",3.3%
Talon,D,5.09,7.9%,"8,175",1.4%
Samira,D,5.15,9.7%,"18,644",3.2%
Nasus,D,5.30,5.9%,"15,373",2.6%
Briar,D,5.99,5.2%,"8,377",1.4%
