Unit,Cost,Avg Place,Top 4%,Games,Win%
Jhin,S,3.88,21.7%,"1,273,680",17.6%
Bard,S,3.95,21.6%,"1,289,224",17.8%
Morgana,S,3.98,19.8%,"963,643",13.3%
Nami,S,4.06,13.2%,"1,046,510",14.4%
Sona,S,4.07,17.3%,"783,874",10.8%
Shen,S,4.08,17.6%,"1,403,772",19.4%
Blitzcrank,S,4.12,17.4%,"1,694,047",23.4%
Rhaast,S,4.14,15.3%,"1,968,024",27.1%
Pyke,S,4.18,11.4%,"784,314",10.8%
Viktor,A,4.21,11.2%,"696,132",9.6%
Lissandra,A,4.21,11.2%,"1,262,406",17.4%
Kindred,A,4.22,10.4%,"810,199",11.2%
Riven,A,4.26,13.3%,"1,132,804",15.6%
Zed,A,4.28,17.3%,"112,115",1.5%
Corki,A,4.30,12.1%,"676,168",9.3%
Fiora,A,4.32,17.2%,"978,516",13.5%
Bel'Veth,A,4.35,9.6%,"721,359",9.9%
Caitlyn,A,4.35,9.1%,"776,823",10.7%
Teemo,A,4.36,9.3%,"495,231",6.8%
Rek'Sai,A,4.36,9.1%,"583,849",8.0%
Akali,A,4.37,12.0%,"1,628,748",22.5%
Mordekaiser,A,4.37,14.2%,"2,783,381",38.4%
Kai'Sa,A,4.38,10.9%,"644,111",8.9%
Meepsie,A,4.38,12.2%,"1,923,328",26.5%
Vex,A,4.38,15.6%,"948,632",13.1%
Samira,A,4.39,14.5%,"521,072",7.2%
Milio,A,4.40,11.1%,"582,002",8.0%
Karma,B,4.41,13.7%,"1,419,728",19.6%
The Mighty Mech,B,4.42,13.5%,"1,254,317",17.3%
Gwen,B,4.43,11.7%,"595,965",8.2%
Aatrox,B,4.45,11.1%,"1,462,583",20.2%
Zoe,B,4.45,8.8%,"496,458",6.8%
Talon,B,4.46,9.7%,"571,702",7.9%
Xayah,B,4.48,17.8%,"1,324,768",18.3%
Maokai,B,4.48,10.7%,"1,516,978",20.9%
Jax,B,4.48,15.3%,"1,628,908",22.5%
Nunu & Willump,B,4.48,15.9%,"2,682,705",37.0%
Illaoi,B,4.50,11.4%,"1,955,410",27.0%
Twisted Fate,B,4.52,8.9%,"545,037",7.5%
Rammus,B,4.54,15.2%,"1,806,118",24.9%
Gnar,B,4.55,18.6%,"792,163",10.9%
Urgot,B,4.55,12.5%,"970,675",13.4%
Nasus,B,4.55,9.6%,"727,659",10.0%
Ornn,B,4.57,11.6%,"1,088,203",15.0%
Aurelion Sol,B,4.58,15.4%,"435,904",6.0%
LeBlanc,B,4.59,9.7%,"540,545",7.5%
Fizz,C,4.62,11.3%,"488,905",6.7%
Leona,C,4.63,8.5%,"753,932",10.4%
Poppy,C,4.63,11.6%,"561,033",7.7%
Tahm Kench,C,4.65,13.3%,"1,588,971",21.9%
Master Yi,C,4.66,11.0%,"508,133",7.0%
Veigar,C,4.67,12.0%,"287,986",4.0%
Graves,C,4.67,14.8%,"694,478",9.6%
Cho'Gath,C,4.68,10.6%,"476,326",6.6%
Aurora,C,4.70,11.7%,"681,311",9.4%
Briar,C,4.70,8.4%,"644,318",8.9%
Pantheon,C,4.74,11.4%,"783,384",10.8%
Miss Fortune,D,4.87,6.8%,"143,405",2.0%
Gragas,D,4.87,6.5%,"313,416",4.3%
Lulu,D,4.89,9.4%,"231,426",3.2%
Ezreal,D,4.98,11.0%,"251,442",3.5%
Diana,D,5.22,7.3%,"122,418",1.7%
Jinx,D,6.16,7.2%,"167,860",2.3%
