Unit,Cost,Avg Place,Top 4%,Games,Win%
Jhin,S,3.86,22.0%,"1,325,573",17.6%
Bard,S,3.95,21.9%,"1,331,077",17.7%
Morgana,S,3.98,19.9%,"968,900",12.9%
Nami,S,4.05,13.3%,"1,075,610",14.3%
Sona,S,4.08,17.2%,"818,169",10.9%
Shen,S,4.09,17.6%,"1,407,252",18.7%
Blitzcrank,S,4.11,17.5%,"1,735,494",23.1%
Rhaast,S,4.13,15.4%,"2,075,434",27.6%
Pyke,S,4.18,11.3%,"804,056",10.7%
Viktor,A,4.21,11.1%,"716,834",9.5%
Lissandra,A,4.21,11.2%,"1,322,378",17.6%
Kindred,A,4.22,10.4%,"856,266",11.4%
Riven,A,4.26,13.2%,"1,151,807",15.3%
Zed,A,4.29,17.1%,"116,216",1.5%
Corki,A,4.31,12.1%,"691,191",9.2%
Fiora,A,4.32,17.2%,"995,599",13.2%
Bel'Veth,A,4.35,9.5%,"772,875",10.3%
Teemo,A,4.35,9.3%,"530,237",7.0%
Caitlyn,A,4.36,9.0%,"796,758",10.6%
Kai'Sa,A,4.37,11.0%,"693,734",9.2%
Akali,A,4.37,11.9%,"1,707,326",22.7%
Rek'Sai,A,4.37,9.0%,"628,880",8.4%
Mordekaiser,A,4.37,14.4%,"2,887,723",38.4%
Meepsie,A,4.38,12.3%,"1,971,226",26.2%
Samira,A,4.38,14.5%,"534,386",7.1%
Vex,A,4.39,15.6%,"970,701",12.9%
Karma,B,4.40,13.8%,"1,461,568",19.4%
Milio,B,4.40,11.0%,"589,794",7.8%
The Mighty Mech,B,4.41,13.4%,"1,322,750",17.6%
Gwen,B,4.42,11.6%,"626,573",8.3%
Zoe,B,4.44,8.9%,"519,311",6.9%
Aatrox,B,4.46,10.9%,"1,482,381",19.7%
Talon,B,4.46,9.6%,"596,734",7.9%
Jax,B,4.47,15.5%,"1,685,806",22.4%
Xayah,B,4.47,18.2%,"1,365,487",18.1%
Nunu & Willump,B,4.48,16.0%,"2,771,967",36.8%
Maokai,B,4.48,10.6%,"1,588,776",21.1%
Illaoi,B,4.50,11.5%,"2,045,216",27.2%
Twisted Fate,B,4.52,8.8%,"569,690",7.6%
Rammus,B,4.54,15.5%,"1,842,489",24.5%
Gnar,B,4.54,19.1%,"821,303",10.9%
Nasus,B,4.55,9.5%,"758,679",10.1%
Urgot,B,4.55,12.3%,"1,030,888",13.7%
Ornn,B,4.58,11.5%,"1,103,545",14.7%
Aurelion Sol,B,4.58,15.3%,"443,858",5.9%
LeBlanc,B,4.58,9.8%,"549,908",7.3%
Leona,C,4.62,8.5%,"786,014",10.4%
Fizz,C,4.62,11.3%,"498,091",6.6%
Poppy,C,4.64,11.7%,"575,703",7.6%
Tahm Kench,C,4.64,13.2%,"1,637,067",21.7%
Master Yi,C,4.66,10.9%,"526,108",7.0%
Cho'Gath,C,4.67,10.6%,"509,589",6.8%
Veigar,C,4.67,12.1%,"304,209",4.0%
Graves,C,4.68,14.7%,"707,315",9.4%
Aurora,C,4.69,11.6%,"730,981",9.7%
Briar,C,4.70,8.3%,"694,440",9.2%
Pantheon,C,4.75,11.2%,"803,941",10.7%
Gragas,D,4.86,6.5%,"338,067",4.5%
Miss Fortune,D,4.87,6.8%,"160,028",2.1%
Lulu,D,4.89,9.4%,"241,116",3.2%
Ezreal,D,4.99,10.7%,"256,474",3.4%
Diana,D,5.22,7.2%,"127,240",1.7%
Jinx,D,6.19,7.1%,"175,616",2.3%
