Unit,Cost,Avg Place,Top 4%,Games,Win%
Jhin,S,3.94,20.4%,"804,900",15.8%
Bard,S,3.97,20.3%,"969,735",19.0%
Morgana,S,4.00,19.4%,"818,487",16.0%
Sona,S,4.03,17.6%,"549,360",10.8%
Shen,S,4.05,17.8%,"1,233,647",24.2%
Nami,S,4.10,13.3%,"765,507",15.0%
Blitzcrank,S,4.12,17.3%,"1,337,052",26.2%
Zed,S,4.18,18.7%,"78,337",1.5%
Rhaast,S,4.18,15.0%,"1,108,869",21.7%
Pyke,S,4.20,11.4%,"583,331",11.4%
Lissandra,A,4.22,11.0%,"855,824",16.8%
Kindred,A,4.25,10.5%,"537,382",10.5%
Viktor,A,4.25,11.0%,"508,506",10.0%
Riven,A,4.26,13.8%,"868,259",17.0%
Caitlyn,A,4.28,9.7%,"604,192",11.8%
Fiora,A,4.28,17.4%,"831,353",16.3%
Corki,A,4.31,12.3%,"504,465",9.9%
Bel'Veth,A,4.34,9.7%,"440,982",8.6%
Vex,A,4.35,16.1%,"774,184",15.2%
Mordekaiser,A,4.37,13.5%,"1,915,291",37.6%
Teemo,A,4.38,9.5%,"287,629",5.6%
Meepsie,A,4.38,12.1%,"1,516,315",29.7%
Rek'Sai,A,4.39,8.8%,"331,715",6.5%
Karma,A,4.40,13.5%,"1,097,004",21.5%
Aatrox,A,4.40,11.7%,"1,207,676",23.7%
Milio,B,4.40,11.6%,"432,130",8.5%
Akali,B,4.41,12.4%,"974,569",19.1%
Samira,B,4.41,13.9%,"390,354",7.7%
Gwen,B,4.42,12.5%,"444,840",8.7%
Talon,B,4.43,10.3%,"375,655",7.4%
Xayah,B,4.45,16.6%,"871,370",17.1%
Nunu & Willump,B,4.46,15.1%,"1,894,378",37.1%
Jax,B,4.47,14.3%,"1,070,109",21.0%
Maokai,B,4.48,10.7%,"956,800",18.8%
The Mighty Mech,B,4.49,14.0%,"749,188",14.7%
Illaoi,B,4.50,11.2%,"1,347,121",26.4%
Zoe,B,4.50,8.7%,"352,375",6.9%
Kai'Sa,B,4.51,10.2%,"327,264",6.4%
Rammus,B,4.51,14.2%,"1,389,499",27.2%
Twisted Fate,B,4.53,9.1%,"361,493",7.1%
Gnar,B,4.54,17.3%,"533,832",10.5%
Ornn,B,4.56,11.5%,"882,876",17.3%
LeBlanc,B,4.57,9.8%,"463,605",9.1%
Nasus,B,4.58,10.1%,"525,923",10.3%
Fizz,B,4.58,11.5%,"399,330",7.8%
Veigar,C,4.61,12.2%,"220,339",4.3%
Poppy,C,4.62,11.6%,"456,912",9.0%
Master Yi,C,4.63,11.4%,"403,914",7.9%
Aurelion Sol,C,4.63,15.8%,"342,686",6.7%
Graves,C,4.63,15.0%,"612,172",12.0%
Leona,C,4.64,8.7%,"554,526",10.9%
Urgot,C,4.65,13.3%,"510,925",10.0%
Tahm Kench,C,4.66,13.8%,"1,197,690",23.5%
Pantheon,C,4.69,12.1%,"610,627",12.0%
Cho'Gath,C,4.72,10.4%,"299,916",5.9%
Briar,C,4.74,8.1%,"361,441",7.1%
Miss Fortune,D,4.86,6.8%,"94,035",1.8%
Lulu,D,4.87,9.6%,"166,852",3.3%
Aurora,D,4.89,11.8%,"295,687",5.8%
Gragas,D,4.89,6.2%,"213,994",4.2%
Ezreal,D,4.92,11.3%,"193,431",3.8%
Diana,D,5.16,8.7%,"99,050",1.9%
Jinx,D,5.90,8.7%,"123,239",2.4%
