Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.89,19.2%,"30,817",22.0%
Shen,S,4.03,17.5%,"42,689",30.5%
Sona,S,4.06,16.7%,"18,701",13.4%
Bard,S,4.07,16.6%,"32,327",23.1%
Fiora,S,4.11,17.8%,"29,778",21.3%
Jhin,S,4.11,17.1%,"12,857",9.2%
Nami,S,4.15,14.3%,"19,098",13.6%
Blitzcrank,S,4.15,16.4%,"40,433",28.9%
Rhaast,S,4.18,13.3%,"22,344",16.0%
Pyke,A,4.21,11.3%,"12,575",9.0%
Lissandra,A,4.21,11.9%,"15,770",11.3%
Zed,A,4.26,17.2%,"1,611",1.2%
Vex,A,4.29,16.3%,"25,149",18.0%
Riven,A,4.32,14.7%,"24,167",17.3%
Viktor,A,4.34,10.9%,"15,476",11.1%
Bel'Veth,A,4.35,11.9%,"11,676",8.3%
Gwen,A,4.35,14.1%,"12,294",8.8%
Kindred,A,4.38,11.8%,"17,716",12.7%
Corki,A,4.39,13.8%,"11,845",8.5%
Karma,B,4.41,12.5%,"39,995",28.6%
Aatrox,B,4.42,12.9%,"34,586",24.7%
Meepsie,B,4.43,11.9%,"47,051",33.6%
Talon,B,4.43,11.2%,"7,497",5.4%
Teemo,B,4.43,11.7%,"5,237",3.7%
Samira,B,4.44,14.0%,"6,849",4.9%
Akali,B,4.44,13.4%,"30,147",21.5%
Mordekaiser,B,4.44,11.5%,"46,913",33.5%
Caitlyn,B,4.45,10.0%,"12,899",9.2%
Milio,B,4.46,13.1%,"10,719",7.7%
Aurelion Sol,B,4.46,14.6%,"19,312",13.8%
The Mighty Mech,B,4.46,14.2%,"29,023",20.7%
Illaoi,B,4.48,11.1%,"36,961",26.4%
Rek'Sai,B,4.49,8.9%,"4,916",3.5%
Nunu & Willump,B,4.50,13.1%,"44,563",31.8%
Tahm Kench,B,4.50,15.1%,"43,343",31.0%
Urgot,B,4.53,13.6%,"23,511",16.8%
Xayah,B,4.54,13.4%,"11,698",8.4%
Fizz,B,4.54,12.6%,"10,469",7.5%
Maokai,B,4.54,11.9%,"31,284",22.3%
Jax,B,4.55,11.9%,"16,466",11.8%
Ornn,B,4.55,11.9%,"22,021",15.7%
Master Yi,B,4.55,12.4%,"18,654",13.3%
Veigar,B,4.56,14.4%,"4,179",3.0%
Graves,B,4.56,15.5%,"20,501",14.6%
Pantheon,B,4.57,13.6%,"16,574",11.8%
Twisted Fate,B,4.58,9.9%,"7,341",5.2%
LeBlanc,B,4.58,10.1%,"21,410",15.3%
Kai'Sa,B,4.60,9.5%,"5,864",4.2%
Zoe,C,4.61,8.4%,"10,017",7.2%
Nasus,C,4.61,11.5%,"12,288",8.8%
Rammus,C,4.63,11.9%,"32,989",23.6%
Poppy,C,4.65,12.5%,"10,903",7.8%
Gnar,C,4.68,13.8%,"6,233",4.5%
Leona,C,4.69,9.2%,"18,998",13.6%
Briar,C,4.72,8.3%,"4,900",3.5%
Miss Fortune,D,4.81,6.4%,"3,508",2.5%
Ezreal,D,4.83,11.7%,"3,966",2.8%
Gragas,D,4.84,6.8%,"7,137",5.1%
Aurora,D,4.88,14.6%,"5,979",4.3%
Cho'Gath,D,4.88,11.3%,"4,400",3.1%
Lulu,D,4.89,9.4%,"4,022",2.9%
Diana,D,5.03,12.7%,"3,479",2.5%
Jinx,D,5.20,12.8%,"3,492",2.5%
