Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.48,48.4%,62,0.0%
Shen,S,3.65,20.5%,"45,076",15.3%
Rhaast,S,3.70,21.2%,"51,331",17.5%
Bard,S,3.76,19.6%,"65,544",22.3%
Jhin,S,3.79,20.3%,"42,910",14.6%
Fiora,S,3.82,21.1%,"42,443",14.4%
Sona,S,3.90,19.0%,"50,788",17.3%
Blitzcrank,S,4.00,19.3%,"71,566",24.3%
Master Yi,S,4.08,15.2%,"36,876",12.5%
Vex,S,4.09,22.3%,"28,178",9.6%
Kindred,S,4.09,15.1%,"38,154",13.0%
Zed,S,4.11,23.0%,"4,274",1.5%
Morgana,S,4.16,16.4%,"52,736",17.9%
Gragas,A,4.20,14.2%,"37,165",12.6%
Bel'Veth,A,4.21,14.3%,"35,589",12.1%
Urgot,A,4.21,15.4%,"44,541",15.1%
Tahm Kench,A,4.28,16.2%,"73,023",24.8%
Maokai,A,4.29,15.1%,"63,888",21.7%
Riven,A,4.32,10.6%,"71,873",24.4%
Corki,A,4.33,9.2%,"59,131",20.1%
The Mighty Mech,A,4.36,11.2%,"99,645",33.9%
Fizz,A,4.38,8.9%,"53,376",18.1%
Kai'Sa,A,4.40,13.9%,"32,789",11.1%
Milio,B,4.40,10.0%,"71,496",24.3%
Karma,B,4.42,13.6%,"105,526",35.9%
Graves,B,4.42,20.8%,"17,088",5.8%
Aatrox,B,4.43,15.9%,"36,138",12.3%
Pyke,B,4.44,10.8%,"16,476",5.6%
Cho'Gath,B,4.45,14.1%,"38,351",13.0%
Akali,B,4.46,16.2%,"31,132",10.6%
Rammus,B,4.46,9.9%,"73,933",25.1%
Meepsie,B,4.46,11.3%,"132,893",45.2%
Lulu,B,4.51,13.7%,"16,656",5.7%
Teemo,B,4.52,11.1%,"7,865",2.7%
Twisted Fate,B,4.53,12.5%,"19,038",6.5%
Nunu & Willump,B,4.53,14.0%,"102,382",34.8%
Mordekaiser,B,4.53,12.9%,"120,714",41.0%
Pantheon,B,4.56,13.6%,"36,353",12.4%
Rek'Sai,B,4.58,11.9%,"8,396",2.9%
Aurelion Sol,C,4.60,11.8%,"47,332",16.1%
Illaoi,C,4.63,12.0%,"93,909",31.9%
Jax,C,4.67,12.5%,"35,534",12.1%
Poppy,C,4.67,7.6%,"46,057",15.7%
Lissandra,C,4.68,10.3%,"46,378",15.8%
Xayah,C,4.69,13.7%,"19,622",6.7%
Viktor,C,4.69,9.3%,"14,019",4.8%
LeBlanc,C,4.73,10.3%,"29,622",10.1%
Caitlyn,C,4.73,8.4%,"6,924",2.4%
Nami,C,4.75,8.7%,"20,296",6.9%
Veigar,C,4.79,13.7%,"4,552",1.5%
Zoe,C,4.79,8.5%,"17,355",5.9%
Gwen,D,4.80,9.6%,"7,967",2.7%
Samira,D,4.82,11.6%,"9,601",3.3%
Talon,D,4.82,9.3%,"7,570",2.6%
Ornn,D,4.90,9.9%,"16,930",5.8%
Miss Fortune,D,4.91,8.7%,"7,785",2.6%
Leona,D,4.93,9.3%,"33,123",11.3%
Aurora,D,4.96,12.7%,"12,344",4.2%
Gnar,D,4.98,11.6%,"12,015",4.1%
Diana,D,5.04,11.5%,"11,245",3.8%
Ezreal,D,5.06,11.9%,"7,873",2.7%
Nasus,D,5.06,7.6%,"11,517",3.9%
Jinx,D,5.12,14.1%,"9,134",3.1%
Briar,D,5.21,9.2%,"6,758",2.3%
