Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.28,42.3%,130,0.0%
Jhin,S,3.84,20.1%,"67,303",18.5%
Shen,S,3.94,19.8%,"77,263",21.3%
Rhaast,S,4.00,18.1%,"109,403",30.1%
Bard,S,4.00,16.9%,"79,962",22.0%
Morgana,S,4.03,19.3%,"45,339",12.5%
Blitzcrank,S,4.07,18.7%,"140,597",38.7%
Sona,S,4.10,16.5%,"73,621",20.3%
Fiora,S,4.19,18.1%,"67,374",18.6%
Zed,A,4.27,17.9%,"5,146",1.4%
Kindred,A,4.27,10.4%,"43,336",11.9%
Teemo,A,4.31,14.1%,"14,023",3.9%
Riven,A,4.31,10.9%,"66,524",18.3%
Nami,A,4.32,13.0%,"38,898",10.7%
The Mighty Mech,A,4.32,11.4%,"67,164",18.5%
Gwen,A,4.32,12.9%,"34,266",9.4%
Vex,A,4.32,18.6%,"64,731",17.8%
Master Yi,A,4.33,10.7%,"36,568",10.1%
Karma,A,4.36,13.7%,"97,944",27.0%
Corki,A,4.36,9.2%,"46,168",12.7%
Pyke,A,4.38,9.5%,"17,342",4.8%
Milio,B,4.41,9.6%,"54,665",15.1%
Gragas,B,4.42,9.6%,"42,255",11.6%
Fizz,B,4.42,8.9%,"40,995",11.3%
Tahm Kench,B,4.43,14.3%,"112,160",30.9%
Urgot,B,4.43,10.7%,"53,369",14.7%
Meepsie,B,4.44,11.4%,"130,303",35.9%
Rammus,B,4.44,9.8%,"61,309",16.9%
Ornn,B,4.46,11.6%,"52,349",14.4%
Pantheon,B,4.47,12.2%,"56,573",15.6%
Graves,B,4.47,19.1%,"49,014",13.5%
Bel'Veth,B,4.47,8.8%,"47,347",13.0%
Xayah,B,4.48,15.6%,"45,040",12.4%
Maokai,B,4.48,12.4%,"115,023",31.7%
Nunu & Willump,B,4.48,15.2%,"155,267",42.8%
Aatrox,B,4.50,14.7%,"104,637",28.8%
Lulu,B,4.50,11.7%,"16,232",4.5%
Cho'Gath,B,4.53,11.9%,"30,946",8.5%
Mordekaiser,B,4.53,12.7%,"115,236",31.7%
Samira,B,4.53,13.7%,"29,954",8.2%
Kai'Sa,B,4.55,11.3%,"22,864",6.3%
Viktor,B,4.55,9.2%,"11,866",3.3%
Twisted Fate,B,4.55,10.6%,"15,856",4.4%
Jax,B,4.55,13.6%,"59,454",16.4%
Gnar,B,4.58,12.4%,"12,295",3.4%
Akali,B,4.58,14.8%,"58,499",16.1%
Aurelion Sol,C,4.61,11.6%,"25,094",6.9%
Poppy,C,4.62,8.3%,"38,933",10.7%
Nasus,C,4.62,12.1%,"28,068",7.7%
Miss Fortune,C,4.63,6.9%,"19,165",5.3%
Illaoi,C,4.63,12.0%,"94,545",26.0%
Lissandra,C,4.70,9.7%,"34,605",9.5%
Ezreal,C,4.79,12.8%,"9,630",2.7%
Rek'Sai,C,4.79,7.7%,"11,361",3.1%
Diana,C,4.79,9.6%,"14,235",3.9%
Leona,D,4.82,9.8%,"41,634",11.5%
LeBlanc,D,4.84,9.2%,"27,128",7.5%
Caitlyn,D,4.86,6.7%,"7,243",2.0%
Talon,D,4.93,8.3%,"5,468",1.5%
Jinx,D,4.94,10.2%,"14,711",4.1%
Veigar,D,4.94,13.6%,"3,621",1.0%
Aurora,D,5.03,12.3%,"10,036",2.8%
Zoe,D,5.18,5.8%,"11,005",3.0%
Briar,D,5.48,5.5%,"8,272",2.3%
