Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.39,41.2%,216,0.0%
Jhin,S,3.75,20.5%,"118,144",19.8%
Shen,S,3.85,20.0%,"134,829",22.6%
Rhaast,S,3.97,18.3%,"162,962",27.3%
Morgana,S,3.98,19.9%,"67,808",11.4%
Blitzcrank,S,3.98,19.1%,"239,047",40.0%
Bard,S,3.99,16.9%,"124,262",20.8%
Sona,S,4.07,16.5%,"113,388",19.0%
Fiora,A,4.20,17.9%,"96,602",16.2%
Teemo,A,4.23,15.0%,"47,342",7.9%
Nami,A,4.29,13.8%,"106,620",17.8%
Vex,A,4.30,18.7%,"88,932",14.9%
Kindred,A,4.32,10.1%,"65,297",10.9%
Karma,A,4.32,14.0%,"152,222",25.5%
Gwen,A,4.34,13.4%,"97,272",16.3%
The Mighty Mech,A,4.35,11.5%,"101,999",17.1%
Master Yi,A,4.38,10.3%,"54,695",9.2%
Samira,A,4.39,14.5%,"98,777",16.5%
Pyke,A,4.40,9.4%,"26,684",4.5%
Riven,A,4.40,10.4%,"105,776",17.7%
Ornn,B,4.43,12.8%,"134,170",22.5%
Corki,B,4.45,8.9%,"70,829",11.9%
Meepsie,B,4.45,11.5%,"201,236",33.7%
Xayah,B,4.46,15.5%,"70,501",11.8%
Zed,B,4.46,17.0%,"7,567",1.3%
Nasus,B,4.46,13.4%,"89,770",15.0%
Tahm Kench,B,4.46,13.9%,"175,071",29.3%
Lulu,B,4.47,12.1%,"28,418",4.8%
Nunu & Willump,B,4.48,15.0%,"233,826",39.1%
Gragas,B,4.48,9.3%,"63,126",10.6%
Milio,B,4.48,9.3%,"80,794",13.5%
Urgot,B,4.49,10.6%,"82,165",13.8%
Graves,B,4.50,18.6%,"70,022",11.7%
Rammus,B,4.50,9.7%,"107,260",18.0%
Maokai,B,4.50,12.1%,"173,594",29.1%
Aatrox,B,4.50,14.4%,"153,600",25.7%
Mordekaiser,B,4.51,12.7%,"171,203",28.7%
Viktor,B,4.51,9.3%,"17,813",3.0%
Pantheon,B,4.52,11.5%,"101,957",17.1%
Gnar,B,4.52,12.3%,"29,270",4.9%
Fizz,B,4.53,8.6%,"62,266",10.4%
Bel'Veth,B,4.53,8.6%,"71,176",11.9%
Twisted Fate,B,4.55,11.0%,"26,077",4.4%
Kai'Sa,B,4.55,10.9%,"34,123",5.7%
Jax,B,4.55,13.5%,"92,402",15.5%
Cho'Gath,B,4.56,11.3%,"46,200",7.7%
Akali,B,4.58,14.5%,"82,149",13.8%
Illaoi,C,4.62,12.1%,"144,580",24.2%
Aurelion Sol,C,4.64,12.0%,"36,564",6.1%
Poppy,C,4.66,8.4%,"63,116",10.6%
Lissandra,C,4.68,9.5%,"55,450",9.3%
Miss Fortune,C,4.69,6.6%,"29,914",5.0%
LeBlanc,C,4.80,9.1%,"42,748",7.2%
Rek'Sai,D,4.81,7.8%,"17,706",3.0%
Leona,D,4.81,9.9%,"61,985",10.4%
Diana,D,4.82,9.7%,"22,054",3.7%
Ezreal,D,4.85,10.8%,"17,861",3.0%
Caitlyn,D,4.91,6.4%,"10,746",1.8%
Jinx,D,4.97,10.5%,"23,135",3.9%
Talon,D,5.02,7.4%,"8,391",1.4%
Veigar,D,5.04,12.6%,"7,189",1.2%
Aurora,D,5.09,12.3%,"16,304",2.7%
Zoe,D,5.16,5.8%,"15,120",2.5%
Briar,D,5.57,5.7%,"12,794",2.1%
