Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.36,44.9%,216,0.0%
Jhin,S,3.75,20.6%,"118,752",20.0%
Shen,S,3.85,19.9%,"136,991",23.1%
Blitzcrank,S,3.97,19.1%,"240,828",40.5%
Rhaast,S,3.97,18.2%,"156,575",26.4%
Morgana,S,3.99,19.8%,"66,394",11.2%
Bard,S,4.00,17.0%,"121,049",20.4%
Sona,S,4.07,16.4%,"111,322",18.7%
Fiora,A,4.21,17.9%,"91,758",15.4%
Teemo,A,4.25,14.5%,"54,477",9.2%
Nami,A,4.29,13.8%,"119,336",20.1%
Vex,A,4.30,18.6%,"84,888",14.3%
Kindred,A,4.32,10.0%,"62,413",10.5%
Karma,A,4.32,14.0%,"149,225",25.1%
Gwen,A,4.35,13.2%,"108,686",18.3%
The Mighty Mech,A,4.36,11.4%,"98,074",16.5%
Samira,A,4.36,14.7%,"114,814",19.3%
Master Yi,A,4.38,10.3%,"52,058",8.8%
Pyke,B,4.40,9.4%,"25,897",4.4%
Ornn,B,4.41,13.1%,"148,741",25.0%
Riven,B,4.41,10.3%,"101,414",17.1%
Nasus,B,4.44,13.4%,"103,213",17.4%
Meepsie,B,4.46,11.5%,"195,764",33.0%
Zed,B,4.46,16.8%,"7,310",1.2%
Xayah,B,4.46,15.4%,"68,692",11.6%
Corki,B,4.46,8.8%,"67,401",11.3%
Tahm Kench,B,4.47,13.8%,"169,152",28.5%
Lulu,B,4.47,12.2%,"29,419",5.0%
Nunu & Willump,B,4.48,14.9%,"225,321",37.9%
Milio,B,4.49,9.4%,"77,009",13.0%
Gragas,B,4.49,9.2%,"59,866",10.1%
Urgot,B,4.49,10.5%,"78,214",13.2%
Maokai,B,4.50,12.1%,"167,392",28.2%
Graves,B,4.51,18.7%,"66,795",11.2%
Mordekaiser,B,4.51,12.8%,"164,109",27.6%
Aatrox,B,4.51,14.4%,"148,113",24.9%
Viktor,B,4.52,9.4%,"17,152",2.9%
Gnar,B,4.52,12.2%,"30,293",5.1%
Pantheon,B,4.52,11.4%,"103,168",17.4%
Bel'Veth,B,4.53,8.6%,"67,857",11.4%
Rammus,B,4.53,9.5%,"106,323",17.9%
Twisted Fate,B,4.54,11.1%,"26,190",4.4%
Kai'Sa,B,4.55,10.9%,"32,345",5.4%
Fizz,B,4.55,8.5%,"58,878",9.9%
Jax,B,4.56,13.4%,"90,255",15.2%
Cho'Gath,B,4.56,11.3%,"44,016",7.4%
Akali,B,4.59,14.4%,"78,855",13.3%
Illaoi,C,4.63,12.0%,"141,592",23.8%
Aurelion Sol,C,4.63,12.1%,"34,940",5.9%
Poppy,C,4.67,8.5%,"60,986",10.3%
Lissandra,C,4.69,9.3%,"55,101",9.3%
Miss Fortune,C,4.69,6.6%,"29,185",4.9%
LeBlanc,C,4.79,9.0%,"43,327",7.3%
Rek'Sai,D,4.80,7.9%,"17,651",3.0%
Diana,D,4.80,9.8%,"21,365",3.6%
Leona,D,4.81,9.8%,"61,297",10.3%
Ezreal,D,4.84,10.7%,"17,809",3.0%
Caitlyn,D,4.89,6.3%,"10,594",1.8%
Jinx,D,4.97,10.3%,"22,999",3.9%
Talon,D,5.00,7.5%,"8,293",1.4%
Veigar,D,5.08,12.3%,"7,187",1.2%
Aurora,D,5.09,12.4%,"16,102",2.7%
Zoe,D,5.17,5.5%,"14,559",2.5%
Briar,D,5.54,5.8%,"12,674",2.1%
