Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.36,39.3%,61,0.0%
Bard,S,3.94,17.6%,"45,913",24.1%
Jhin,S,3.95,18.8%,"36,930",19.4%
Sona,S,4.00,17.8%,"43,836",23.0%
Shen,S,4.01,19.3%,"39,751",20.9%
Rhaast,S,4.01,18.5%,"61,392",32.2%
Blitzcrank,S,4.04,19.3%,"77,048",40.4%
Morgana,S,4.06,19.1%,"24,527",12.9%
Vex,S,4.17,20.1%,"43,869",23.0%
Fiora,S,4.17,18.3%,"38,828",20.4%
Zed,A,4.22,17.6%,"3,015",1.6%
Corki,A,4.30,8.7%,"21,748",11.4%
Karma,A,4.32,14.1%,"56,041",29.4%
Kindred,A,4.32,9.5%,"23,592",12.4%
Pyke,A,4.33,10.3%,"7,460",3.9%
Riven,A,4.33,9.7%,"27,527",14.4%
The Mighty Mech,A,4.34,10.5%,"33,647",17.7%
Fizz,A,4.35,8.6%,"19,338",10.1%
Master Yi,A,4.35,9.8%,"19,528",10.2%
Meepsie,A,4.37,12.3%,"69,816",36.6%
Graves,B,4.41,20.0%,"28,470",14.9%
Milio,B,4.41,8.8%,"26,947",14.1%
Nunu & Willump,B,4.42,15.7%,"89,683",47.1%
Gragas,B,4.43,9.2%,"20,832",10.9%
Viktor,B,4.44,9.6%,"6,851",3.6%
Aatrox,B,4.46,15.2%,"61,933",32.5%
Tahm Kench,B,4.46,13.6%,"59,459",31.2%
Urgot,B,4.47,9.4%,"27,123",14.2%
Rammus,B,4.47,9.1%,"27,699",14.5%
Mordekaiser,B,4.48,13.0%,"69,602",36.5%
Maokai,B,4.49,12.1%,"64,464",33.8%
Xayah,B,4.50,15.3%,"27,390",14.4%
Akali,B,4.51,15.8%,"34,673",18.2%
Bel'Veth,B,4.52,8.0%,"25,920",13.6%
Illaoi,B,4.54,12.8%,"56,821",29.8%
Jax,B,4.57,13.4%,"34,768",18.2%
Cho'Gath,B,4.58,10.6%,"16,403",8.6%
Lulu,B,4.60,10.9%,"7,677",4.0%
Poppy,C,4.60,7.8%,"17,216",9.0%
Pantheon,C,4.61,10.3%,"20,724",10.9%
Kai'Sa,C,4.61,9.9%,"12,608",6.6%
Gwen,C,4.61,9.5%,"6,384",3.4%
Aurelion Sol,C,4.64,10.5%,"13,553",7.1%
Leona,C,4.65,11.7%,"28,872",15.2%
Veigar,C,4.66,14.9%,"1,418",0.7%
Nami,C,4.68,9.2%,"9,405",4.9%
Twisted Fate,C,4.68,9.3%,"8,108",4.3%
Miss Fortune,C,4.70,5.4%,"10,315",5.4%
Lissandra,C,4.74,8.9%,"18,559",9.7%
Ornn,C,4.76,7.3%,"16,071",8.4%
Teemo,C,4.76,9.8%,"3,749",2.0%
LeBlanc,C,4.80,9.1%,"16,755",8.8%
Rek'Sai,D,4.83,6.9%,"6,292",3.3%
Caitlyn,D,4.87,6.3%,"3,722",2.0%
Diana,D,4.89,8.6%,"8,139",4.3%
Gnar,D,4.99,10.9%,"3,690",1.9%
Jinx,D,5.00,9.3%,"8,200",4.3%
Aurora,D,5.02,12.2%,"5,276",2.8%
Talon,D,5.03,7.8%,"3,034",1.6%
Ezreal,D,5.04,10.1%,"3,164",1.7%
Zoe,D,5.04,6.7%,"8,340",4.4%
Samira,D,5.09,9.9%,"8,601",4.5%
Nasus,D,5.18,7.0%,"7,476",3.9%
Briar,D,5.39,5.5%,"4,819",2.5%
