Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.97,20.9%,67,0.0%
Jhin,S,3.81,20.2%,"103,236",19.2%
Bard,S,3.84,18.1%,"116,721",21.7%
Rhaast,S,3.89,20.2%,"152,202",28.3%
Shen,S,3.93,18.5%,"105,107",19.5%
Sona,S,3.98,18.8%,"88,036",16.4%
Blitzcrank,S,4.05,19.6%,"163,611",30.4%
Zed,S,4.09,22.7%,"8,704",1.6%
Fiora,S,4.10,18.4%,"103,685",19.3%
Morgana,S,4.13,17.6%,"72,588",13.5%
Vex,A,4.26,20.2%,"83,809",15.6%
Master Yi,A,4.29,11.9%,"70,075",13.0%
Karma,A,4.31,14.5%,"158,720",29.5%
The Mighty Mech,A,4.31,10.8%,"159,009",29.5%
Pyke,A,4.31,11.3%,"18,292",3.4%
Kindred,A,4.32,11.7%,"72,132",13.4%
Cho'Gath,A,4.35,13.8%,"73,758",13.7%
Urgot,A,4.35,12.3%,"78,128",14.5%
Gragas,A,4.36,11.3%,"71,277",13.2%
Tahm Kench,A,4.37,14.7%,"163,950",30.5%
Kai'Sa,A,4.38,13.4%,"60,109",11.2%
Corki,A,4.39,8.1%,"110,680",20.6%
Riven,A,4.39,8.9%,"121,608",22.6%
Bel'Veth,B,4.43,11.0%,"67,006",12.4%
Meepsie,B,4.43,11.1%,"212,545",39.5%
Fizz,B,4.43,7.9%,"102,046",19.0%
Maokai,B,4.45,13.6%,"158,701",29.5%
Milio,B,4.46,8.8%,"132,303",24.6%
Nunu & Willump,B,4.46,15.6%,"210,785",39.2%
Mordekaiser,B,4.47,13.5%,"189,038",35.1%
Aurelion Sol,B,4.47,11.7%,"60,631",11.3%
Aatrox,B,4.49,16.0%,"129,601",24.1%
Rammus,B,4.51,8.4%,"127,572",23.7%
Graves,B,4.52,18.9%,"57,223",10.6%
Pantheon,B,4.55,12.9%,"67,472",12.5%
Viktor,B,4.56,9.3%,"15,202",2.8%
Lulu,B,4.56,12.7%,"30,697",5.7%
Xayah,B,4.57,15.5%,"56,096",10.4%
Akali,B,4.57,15.8%,"79,881",14.8%
Illaoi,C,4.61,12.8%,"129,015",24.0%
Jax,C,4.62,13.6%,"84,718",15.7%
Twisted Fate,C,4.63,11.5%,"31,787",5.9%
Lissandra,C,4.64,11.0%,"66,574",12.4%
Teemo,C,4.69,9.6%,"9,774",1.8%
Poppy,C,4.72,6.7%,"85,291",15.8%
Veigar,C,4.73,15.6%,"5,346",1.0%
LeBlanc,C,4.74,10.6%,"37,347",6.9%
Miss Fortune,C,4.80,7.8%,"15,659",2.9%
Nami,D,4.80,8.6%,"18,299",3.4%
Zoe,D,4.83,7.6%,"16,971",3.2%
Diana,D,4.86,11.8%,"21,567",4.0%
Rek'Sai,D,4.87,9.4%,"11,131",2.1%
Gwen,D,4.87,8.1%,"9,564",1.8%
Ezreal,D,4.91,13.0%,"11,861",2.2%
Ornn,D,4.91,7.9%,"27,413",5.1%
Leona,D,4.93,9.4%,"46,409",8.6%
Aurora,D,4.94,13.5%,"18,043",3.4%
Caitlyn,D,5.00,6.7%,"8,144",1.5%
Jinx,D,5.02,13.4%,"17,855",3.3%
Gnar,D,5.03,11.5%,"12,708",2.4%
Talon,D,5.04,8.1%,"8,392",1.6%
Samira,D,5.12,9.9%,"18,383",3.4%
Nasus,D,5.25,6.3%,"14,913",2.8%
Briar,D,5.91,6.1%,"7,698",1.4%
