Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.47,23.9%,"13,657",13.0%
Jhin,S,3.73,20.8%,"18,865",17.9%
Shen,S,3.79,19.8%,"16,476",15.7%
Sona,S,3.87,18.2%,"11,279",10.7%
Fiora,S,3.88,18.9%,"18,056",17.2%
Bard,S,3.96,18.4%,"15,756",15.0%
Blitzcrank,S,3.99,17.8%,"19,042",18.1%
Zed,S,4.01,23.6%,"1,471",1.4%
Rhaast,S,4.05,16.4%,"22,212",21.1%
Kindred,S,4.15,13.0%,"22,260",21.2%
Vex,S,4.19,18.0%,"9,278",8.8%
Teemo,A,4.23,11.4%,"7,269",6.9%
Master Yi,A,4.26,13.1%,"17,509",16.6%
Bel'Veth,A,4.26,12.2%,"20,203",19.2%
Riven,A,4.28,13.5%,"23,523",22.4%
Corki,A,4.32,11.9%,"13,688",13.0%
Caitlyn,A,4.32,11.1%,"6,796",6.5%
Tahm Kench,A,4.33,15.1%,"31,434",29.9%
Talon,A,4.36,11.4%,"7,189",6.8%
Gragas,A,4.37,12.4%,"13,969",13.3%
Nami,A,4.37,11.1%,"8,345",7.9%
Rek'Sai,A,4.38,10.2%,"8,946",8.5%
Graves,A,4.39,18.2%,"6,983",6.6%
Aatrox,A,4.39,13.7%,"18,395",17.5%
Karma,B,4.41,13.7%,"26,064",24.8%
The Mighty Mech,B,4.42,13.6%,"19,786",18.8%
Zoe,B,4.42,10.3%,"8,344",7.9%
Briar,B,4.42,9.8%,"8,184",7.8%
Kai'Sa,B,4.43,12.1%,"18,623",17.7%
Akali,B,4.43,12.7%,"25,655",24.4%
Urgot,B,4.44,13.5%,"22,096",21.0%
Milio,B,4.45,12.5%,"17,956",17.1%
Maokai,B,4.45,13.2%,"32,618",31.0%
Twisted Fate,B,4.46,11.4%,"9,572",9.1%
Mordekaiser,B,4.47,12.7%,"35,849",34.1%
Nunu & Willump,B,4.48,14.1%,"30,092",28.6%
Xayah,B,4.52,15.8%,"10,524",10.0%
Gwen,B,4.53,10.1%,"5,300",5.0%
Aurelion Sol,B,4.53,19.4%,"3,540",3.4%
Lissandra,B,4.54,10.9%,"19,868",18.9%
Meepsie,B,4.54,11.5%,"27,277",25.9%
Nasus,B,4.54,9.6%,"7,817",7.4%
Jax,B,4.54,13.0%,"17,666",16.8%
Illaoi,B,4.54,11.4%,"26,435",25.1%
Leona,B,4.55,10.1%,"12,612",12.0%
LeBlanc,B,4.56,10.5%,"8,650",8.2%
Cho'Gath,B,4.58,12.6%,"17,595",16.7%
Fizz,B,4.58,10.6%,"9,928",9.4%
Rammus,B,4.59,11.9%,"20,583",19.6%
Pyke,C,4.61,9.5%,"4,463",4.2%
Lulu,C,4.65,13.2%,"5,770",5.5%
Poppy,C,4.66,11.1%,"9,960",9.5%
Veigar,C,4.68,13.8%,"3,451",3.3%
Pantheon,C,4.70,12.7%,"16,760",15.9%
Viktor,C,4.78,8.5%,"2,767",2.6%
Samira,C,4.79,13.0%,"3,178",3.0%
Gnar,D,4.82,14.2%,"5,708",5.4%
Ezreal,D,4.89,13.8%,"6,686",6.4%
Aurora,D,4.93,11.1%,"5,979",5.7%
Ornn,D,4.93,10.0%,"6,769",6.4%
Miss Fortune,D,4.98,10.6%,"1,889",1.8%
Jinx,D,5.16,13.8%,"1,504",1.4%
Diana,D,5.16,10.3%,"1,618",1.5%
