Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.38,36.5%,63,0.0%
Jhin,S,3.89,19.7%,"27,164",18.3%
Shen,S,3.97,19.6%,"31,000",20.9%
Bard,S,4.01,16.7%,"33,195",22.4%
Rhaast,S,4.01,17.9%,"46,208",31.2%
Morgana,S,4.05,19.2%,"18,869",12.7%
Blitzcrank,S,4.11,18.3%,"56,804",38.3%
Sona,S,4.11,16.4%,"30,694",20.7%
Fiora,S,4.19,18.2%,"28,833",19.5%
Kindred,A,4.25,10.7%,"18,345",12.4%
Riven,A,4.26,11.3%,"26,747",18.0%
Zed,A,4.28,17.9%,"2,199",1.5%
The Mighty Mech,A,4.29,11.7%,"27,830",18.8%
Master Yi,A,4.31,10.9%,"15,382",10.4%
Corki,A,4.32,9.5%,"18,905",12.8%
Vex,A,4.33,18.5%,"28,082",18.9%
Gwen,A,4.37,11.9%,"10,522",7.1%
Karma,A,4.37,13.6%,"40,849",27.6%
Fizz,A,4.37,9.2%,"16,811",11.3%
Milio,A,4.37,10.1%,"22,835",15.4%
Nami,A,4.37,12.1%,"12,413",8.4%
Pyke,A,4.38,9.2%,"7,229",4.9%
Urgot,A,4.39,11.0%,"22,340",15.1%
Tahm Kench,B,4.41,14.7%,"46,443",31.3%
Gragas,B,4.41,9.7%,"17,832",12.0%
Rammus,B,4.42,9.9%,"24,096",16.3%
Meepsie,B,4.43,11.5%,"54,035",36.5%
Pantheon,B,4.44,12.6%,"22,196",15.0%
Bel'Veth,B,4.46,8.9%,"19,931",13.4%
Maokai,B,4.47,12.6%,"48,727",32.9%
Graves,B,4.49,18.9%,"21,018",14.2%
Lulu,B,4.49,12.1%,"6,609",4.5%
Nunu & Willump,B,4.49,15.1%,"64,837",43.7%
Xayah,B,4.50,15.6%,"18,775",12.7%
Cho'Gath,B,4.50,12.1%,"13,039",8.8%
Ornn,B,4.50,10.8%,"17,352",11.7%
Aatrox,B,4.51,14.8%,"44,788",30.2%
Teemo,B,4.52,11.8%,"3,955",2.7%
Twisted Fate,B,4.53,11.0%,"6,575",4.4%
Kai'Sa,B,4.54,11.2%,"9,663",6.5%
Mordekaiser,B,4.54,12.5%,"48,724",32.9%
Jax,B,4.55,13.7%,"24,883",16.8%
Viktor,B,4.55,9.1%,"5,016",3.4%
Aurelion Sol,B,4.57,11.4%,"10,521",7.1%
Akali,B,4.58,14.8%,"25,210",17.0%
Poppy,C,4.60,8.3%,"15,511",10.5%
Miss Fortune,C,4.61,7.4%,"8,025",5.4%
Illaoi,C,4.63,11.9%,"39,610",26.7%
Gnar,C,4.66,12.0%,"4,122",2.8%
Lissandra,C,4.69,9.9%,"14,297",9.6%
Ezreal,C,4.71,14.1%,"3,727",2.5%
Samira,C,4.71,12.3%,"8,710",5.9%
Rek'Sai,C,4.74,7.5%,"4,705",3.2%
Leona,D,4.81,9.9%,"17,871",12.1%
Diana,D,4.81,10.0%,"6,002",4.0%
Nasus,D,4.82,10.4%,"8,196",5.5%
LeBlanc,D,4.85,8.9%,"11,435",7.7%
Veigar,D,4.89,13.4%,"1,376",0.9%
Caitlyn,D,4.90,6.5%,"3,157",2.1%
Jinx,D,4.91,10.3%,"6,092",4.1%
Talon,D,4.91,8.6%,"2,315",1.6%
Aurora,D,5.01,12.4%,"4,135",2.8%
Zoe,D,5.19,5.6%,"4,850",3.3%
Briar,D,5.40,5.6%,"3,438",2.3%
