Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,1.00,100.0%,1,0.0%
Morgana,S,3.50,23.7%,"6,393",13.8%
Jhin,S,3.64,22.3%,"8,063",17.4%
Shen,S,3.83,19.4%,"7,899",17.0%
Sona,S,3.86,18.3%,"5,236",11.3%
Bard,S,3.90,19.3%,"7,227",15.6%
Blitzcrank,S,3.93,18.7%,"8,968",19.3%
Fiora,S,3.96,18.6%,"7,231",15.6%
Rhaast,S,4.14,15.2%,"10,304",22.2%
Vex,S,4.15,19.1%,"4,234",9.1%
Teemo,S,4.15,11.8%,"2,898",6.2%
Riven,S,4.17,15.5%,"9,512",20.5%
Kindred,A,4.21,12.0%,"9,002",19.4%
Zed,A,4.25,23.6%,700,1.5%
Talon,A,4.28,12.1%,"3,294",7.1%
Corki,A,4.29,12.6%,"5,454",11.7%
Caitlyn,A,4.29,11.2%,"3,439",7.4%
Milio,A,4.31,14.2%,"6,380",13.7%
Kai'Sa,A,4.31,13.6%,"7,104",15.3%
Twisted Fate,A,4.32,11.8%,"3,371",7.3%
Bel'Veth,A,4.34,10.8%,"7,731",16.6%
Graves,A,4.35,17.6%,"3,398",7.3%
Karma,A,4.36,14.0%,"11,090",23.9%
Rek'Sai,A,4.36,10.7%,"4,316",9.3%
Aatrox,A,4.37,13.4%,"8,545",18.4%
Tahm Kench,A,4.38,15.3%,"13,638",29.3%
Nami,A,4.38,10.6%,"4,284",9.2%
Briar,B,4.40,10.0%,"3,985",8.6%
Akali,B,4.43,12.3%,"12,927",27.8%
Mordekaiser,B,4.43,12.9%,"15,571",33.5%
Master Yi,B,4.44,11.4%,"6,641",14.3%
The Mighty Mech,B,4.44,13.4%,"8,475",18.2%
Nunu & Willump,B,4.45,14.1%,"13,761",29.6%
Xayah,B,4.46,15.9%,"5,197",11.2%
Zoe,B,4.47,10.2%,"3,611",7.8%
Jax,B,4.47,13.3%,"7,371",15.9%
Gwen,B,4.47,10.5%,"2,947",6.3%
Aurelion Sol,B,4.48,18.8%,"1,963",4.2%
Cho'Gath,B,4.49,14.7%,"6,574",14.1%
Lissandra,B,4.50,11.0%,"8,175",17.6%
Maokai,B,4.52,12.3%,"14,146",30.4%
Nasus,B,4.52,10.1%,"3,532",7.6%
Illaoi,B,4.54,10.8%,"11,413",24.6%
Meepsie,B,4.55,11.3%,"11,813",25.4%
LeBlanc,B,4.57,10.5%,"4,098",8.8%
Urgot,B,4.57,12.3%,"9,217",19.8%
Rammus,B,4.57,12.4%,"9,595",20.6%
Ezreal,B,4.60,17.2%,"3,430",7.4%
Pantheon,C,4.60,14.2%,"7,004",15.1%
Leona,C,4.60,9.6%,"5,677",12.2%
Fizz,C,4.61,11.1%,"4,009",8.6%
Gragas,C,4.61,9.8%,"4,852",10.4%
Pyke,C,4.62,8.9%,"2,494",5.4%
Veigar,C,4.67,12.4%,"1,929",4.2%
Poppy,C,4.67,11.1%,"4,115",8.9%
Lulu,C,4.70,11.8%,"1,563",3.4%
Samira,C,4.71,12.8%,"1,767",3.8%
Gnar,C,4.72,14.7%,"2,856",6.1%
Viktor,D,4.81,7.3%,"1,868",4.0%
Aurora,D,4.88,10.4%,"3,429",7.4%
Ornn,D,4.88,9.6%,"4,036",8.7%
Miss Fortune,D,5.19,7.0%,"1,018",2.2%
Diana,D,5.33,7.4%,"1,027",2.2%
Jinx,D,5.36,11.2%,823,1.8%
