Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.40,24.3%,"42,194",11.6%
Rhaast,S,3.64,20.7%,"72,189",19.9%
Shen,S,3.75,19.2%,"51,694",14.2%
Jhin,S,3.77,19.9%,"58,032",16.0%
Bard,S,3.91,18.2%,"51,957",14.3%
Sona,S,3.91,18.4%,"32,323",8.9%
Fiora,S,3.94,18.4%,"72,005",19.8%
Blitzcrank,S,3.98,19.0%,"57,954",16.0%
Zed,S,4.11,24.4%,"5,653",1.6%
Nami,A,4.21,12.4%,"21,426",5.9%
Kindred,A,4.22,13.4%,"89,267",24.6%
Teemo,A,4.26,11.8%,"27,568",7.6%
Master Yi,A,4.31,13.4%,"76,762",21.1%
Bel'Veth,A,4.32,12.7%,"86,500",23.8%
Zoe,A,4.33,11.8%,"29,780",8.2%
Riven,A,4.34,11.9%,"97,092",26.7%
Rek'Sai,A,4.36,11.5%,"29,013",8.0%
Tahm Kench,A,4.36,14.7%,"117,540",32.4%
Gragas,A,4.36,13.1%,"70,857",19.5%
Vex,A,4.37,17.6%,"26,163",7.2%
Kai'Sa,A,4.38,12.7%,"69,616",19.2%
Karma,A,4.39,14.3%,"81,848",22.5%
Urgot,A,4.40,13.9%,"83,329",22.9%
The Mighty Mech,A,4.40,12.2%,"89,818",24.7%
Maokai,B,4.42,13.8%,"116,536",32.1%
Corki,B,4.44,9.9%,"70,407",19.4%
Cho'Gath,B,4.46,12.8%,"67,841",18.7%
Mordekaiser,B,4.46,13.1%,"115,403",31.8%
Talon,B,4.47,11.1%,"19,871",5.5%
Pyke,B,4.47,11.2%,"10,978",3.0%
Nasus,B,4.47,10.8%,"25,661",7.1%
Milio,B,4.48,11.2%,"92,292",25.4%
Caitlyn,B,4.48,10.3%,"19,066",5.2%
Aatrox,B,4.49,14.5%,"59,829",16.5%
Leona,B,4.49,11.1%,"41,519",11.4%
Nunu & Willump,B,4.50,14.8%,"85,144",23.4%
Briar,B,4.50,10.4%,"25,560",7.0%
Twisted Fate,B,4.50,13.1%,"41,898",11.5%
Lissandra,B,4.54,11.2%,"67,377",18.5%
Lulu,B,4.55,14.8%,"29,425",8.1%
Illaoi,B,4.55,11.8%,"77,859",21.4%
Meepsie,B,4.55,10.6%,"102,722",28.3%
Fizz,B,4.56,8.9%,"56,316",15.5%
Akali,B,4.57,12.5%,"66,954",18.4%
LeBlanc,B,4.59,11.4%,"23,148",6.4%
Jax,B,4.59,13.4%,"58,209",16.0%
Pantheon,B,4.59,14.0%,"56,382",15.5%
Graves,C,4.61,17.5%,"20,106",5.5%
Rammus,C,4.62,10.1%,"80,719",22.2%
Gwen,C,4.62,9.9%,"12,555",3.5%
Xayah,C,4.64,15.1%,"21,608",5.9%
Aurelion Sol,C,4.71,20.4%,"8,770",2.4%
Viktor,C,4.75,8.6%,"6,155",1.7%
Poppy,C,4.79,8.2%,"51,469",14.2%
Veigar,D,4.85,12.9%,"8,100",2.2%
Samira,D,4.87,12.6%,"5,270",1.5%
Ezreal,D,4.95,13.4%,"10,847",3.0%
Gnar,D,4.96,13.3%,"13,264",3.7%
Miss Fortune,D,4.97,11.1%,"3,384",0.9%
Ornn,D,5.04,9.5%,"10,637",2.9%
Aurora,D,5.19,10.8%,"8,479",2.3%
Diana,D,5.32,9.3%,"4,401",1.2%
Jinx,D,5.47,13.8%,"4,855",1.3%
