Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.97,19.6%,"642,865",17.4%
Jhin,S,3.97,18.7%,"521,309",14.1%
Bard,S,4.01,19.0%,"716,372",19.4%
Sona,S,4.03,17.6%,"403,071",10.9%
Shen,S,4.04,18.0%,"976,657",26.5%
Blitzcrank,S,4.11,17.4%,"1,005,952",27.3%
Nami,S,4.12,13.6%,"553,568",15.0%
Zed,S,4.15,19.5%,"54,696",1.5%
Rhaast,S,4.18,14.7%,"757,977",20.6%
Lissandra,A,4.22,11.2%,"585,489",15.9%
Pyke,A,4.22,11.3%,"425,618",11.6%
Fiora,A,4.24,17.7%,"646,212",17.5%
Kindred,A,4.26,10.8%,"409,257",11.1%
Riven,A,4.26,14.1%,"657,967",17.9%
Viktor,A,4.29,11.1%,"397,570",10.8%
Caitlyn,A,4.30,9.9%,"437,961",11.9%
Vex,A,4.30,16.9%,"598,306",16.2%
Corki,A,4.33,12.5%,"358,069",9.7%
Bel'Veth,A,4.34,10.0%,"322,619",8.8%
Rek'Sai,A,4.38,9.0%,"233,837",6.3%
Meepsie,A,4.38,12.3%,"1,183,627",32.1%
Mordekaiser,A,4.39,12.9%,"1,353,069",36.7%
Samira,A,4.39,14.4%,"264,617",7.2%
Karma,A,4.40,13.5%,"869,298",23.6%
Aatrox,B,4.40,12.2%,"898,738",24.4%
Teemo,B,4.41,10.0%,"177,555",4.8%
Gwen,B,4.41,12.7%,"337,092",9.1%
Milio,B,4.42,12.0%,"323,460",8.8%
Akali,B,4.42,12.8%,"696,151",18.9%
Xayah,B,4.43,15.4%,"533,136",14.5%
Talon,B,4.43,10.4%,"256,505",7.0%
Nunu & Willump,B,4.46,14.5%,"1,285,759",34.9%
Illaoi,B,4.48,11.4%,"963,187",26.1%
Jax,B,4.48,13.2%,"681,188",18.5%
Kai'Sa,B,4.50,10.4%,"237,122",6.4%
Rammus,B,4.51,13.5%,"994,990",27.0%
Maokai,B,4.52,11.0%,"681,231",18.5%
Zoe,B,4.54,8.9%,"247,920",6.7%
The Mighty Mech,B,4.54,14.2%,"536,240",14.6%
Ornn,B,4.54,11.9%,"650,533",17.7%
Twisted Fate,B,4.55,9.3%,"255,365",6.9%
Fizz,B,4.55,12.0%,"300,175",8.1%
LeBlanc,B,4.56,10.1%,"386,105",10.5%
Gnar,B,4.57,15.5%,"323,461",8.8%
Nasus,B,4.60,10.6%,"363,848",9.9%
Graves,C,4.61,15.2%,"467,281",12.7%
Veigar,C,4.61,12.3%,"141,234",3.8%
Poppy,C,4.63,11.8%,"331,038",9.0%
Master Yi,C,4.63,11.5%,"323,090",8.8%
Tahm Kench,C,4.65,13.9%,"929,128",25.2%
Briar,C,4.65,8.5%,"246,773",6.7%
Aurelion Sol,C,4.66,15.5%,"275,776",7.5%
Leona,C,4.66,9.1%,"413,661",11.2%
Pantheon,C,4.67,12.3%,"460,223",12.5%
Urgot,C,4.72,13.4%,"361,506",9.8%
Cho'Gath,C,4.75,10.6%,"203,665",5.5%
Lulu,D,4.86,9.8%,"120,277",3.3%
Miss Fortune,D,4.87,6.8%,"71,089",1.9%
Gragas,D,4.89,6.4%,"160,545",4.4%
Ezreal,D,4.90,11.4%,"140,650",3.8%
Aurora,D,4.94,13.1%,"176,266",4.8%
Diana,D,5.07,10.6%,"80,667",2.2%
Jinx,D,5.58,10.6%,"90,540",2.5%
