Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.48,23.1%,"27,596",12.7%
Jhin,S,3.75,20.3%,"39,188",18.1%
Shen,S,3.80,19.4%,"33,077",15.3%
Sona,S,3.86,18.7%,"22,141",10.2%
Fiora,S,3.91,18.7%,"38,175",17.6%
Bard,S,3.93,18.7%,"31,962",14.7%
Rhaast,S,3.96,17.2%,"42,394",19.6%
Blitzcrank,S,3.98,18.5%,"37,479",17.3%
Zed,S,4.06,24.1%,"2,984",1.4%
Kindred,S,4.19,12.9%,"47,636",22.0%
Teemo,A,4.23,11.8%,"15,430",7.1%
Vex,A,4.26,18.2%,"17,542",8.1%
Master Yi,A,4.28,13.1%,"38,465",17.7%
Bel'Veth,A,4.29,12.2%,"44,178",20.4%
Riven,A,4.29,13.0%,"52,805",24.4%
Nami,A,4.35,11.2%,"15,674",7.2%
Tahm Kench,A,4.35,15.0%,"65,159",30.1%
Corki,A,4.36,10.9%,"32,258",14.9%
Gragas,A,4.36,12.6%,"32,048",14.8%
The Mighty Mech,A,4.37,13.2%,"44,787",20.7%
Zoe,A,4.37,11.0%,"16,787",7.7%
Karma,A,4.38,14.1%,"53,873",24.9%
Rek'Sai,A,4.38,10.4%,"18,304",8.4%
Caitlyn,B,4.41,10.7%,"13,253",6.1%
Kai'Sa,B,4.42,12.1%,"42,209",19.5%
Talon,B,4.42,11.2%,"13,747",6.3%
Urgot,B,4.42,13.6%,"45,963",21.2%
Briar,B,4.45,9.9%,"16,626",7.7%
Mordekaiser,B,4.46,13.0%,"73,982",34.1%
Aatrox,B,4.46,13.7%,"36,917",17.0%
Akali,B,4.47,12.7%,"48,756",22.5%
Maokai,B,4.47,13.3%,"66,861",30.9%
Graves,B,4.47,17.6%,"13,470",6.2%
Milio,B,4.47,11.7%,"42,141",19.4%
Pyke,B,4.49,11.0%,"8,366",3.9%
Nunu & Willump,B,4.49,14.4%,"57,536",26.5%
Aurelion Sol,B,4.49,21.1%,"6,443",3.0%
Meepsie,B,4.50,11.5%,"58,909",27.2%
Lissandra,B,4.51,11.3%,"42,667",19.7%
Illaoi,B,4.52,11.7%,"53,594",24.7%
Leona,B,4.52,10.9%,"25,002",11.5%
Twisted Fate,B,4.52,11.7%,"21,154",9.8%
Nasus,B,4.54,10.1%,"15,596",7.2%
LeBlanc,B,4.54,11.0%,"16,424",7.6%
Cho'Gath,B,4.54,12.6%,"39,069",18.0%
Fizz,B,4.54,9.7%,"23,862",11.0%
Xayah,B,4.57,15.4%,"19,143",8.8%
Gwen,B,4.59,9.6%,"10,063",4.6%
Rammus,B,4.60,11.2%,"43,864",20.2%
Jax,B,4.60,12.8%,"35,842",16.5%
Poppy,C,4.67,10.0%,"23,448",10.8%
Lulu,C,4.68,13.3%,"13,800",6.4%
Veigar,C,4.68,14.0%,"6,486",3.0%
Pantheon,C,4.69,13.2%,"33,864",15.6%
Viktor,C,4.73,8.8%,"5,112",2.4%
Samira,D,4.83,12.8%,"5,336",2.5%
Ezreal,D,4.85,14.5%,"11,609",5.4%
Gnar,D,4.87,13.2%,"10,672",4.9%
Aurora,D,4.95,11.2%,"10,211",4.7%
Ornn,D,4.99,9.7%,"10,985",5.1%
Miss Fortune,D,5.00,10.1%,"3,393",1.6%
Diana,D,5.15,10.9%,"3,091",1.4%
Jinx,D,5.23,13.7%,"3,002",1.4%
