Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.46,23.7%,"33,395",12.5%
Jhin,S,3.76,20.4%,"47,030",17.6%
Shen,S,3.78,18.9%,"39,366",14.7%
Rhaast,S,3.80,19.0%,"49,928",18.7%
Sona,S,3.86,18.6%,"25,412",9.5%
Bard,S,3.90,18.5%,"39,305",14.7%
Fiora,S,3.92,18.4%,"49,136",18.4%
Blitzcrank,S,3.99,18.8%,"44,225",16.5%
Zed,S,4.11,24.9%,"3,870",1.4%
Kindred,S,4.18,13.3%,"61,378",23.0%
Teemo,A,4.24,11.8%,"19,695",7.4%
Master Yi,A,4.27,13.4%,"50,933",19.1%
Bel'Veth,A,4.29,12.6%,"58,197",21.8%
Nami,A,4.30,11.5%,"17,527",6.6%
Vex,A,4.30,18.1%,"19,750",7.4%
Riven,A,4.32,12.4%,"70,041",26.2%
Gragas,A,4.33,13.0%,"45,142",16.9%
Rek'Sai,A,4.34,11.5%,"22,296",8.3%
Zoe,A,4.35,11.2%,"21,159",7.9%
Tahm Kench,A,4.35,14.9%,"83,338",31.2%
Kai'Sa,A,4.37,12.9%,"54,217",20.3%
Karma,A,4.38,14.4%,"65,473",24.5%
The Mighty Mech,A,4.38,12.5%,"62,909",23.5%
Urgot,A,4.39,13.8%,"57,773",21.6%
Corki,B,4.43,9.9%,"45,895",17.2%
Briar,B,4.44,10.5%,"19,927",7.5%
Mordekaiser,B,4.44,13.2%,"89,435",33.5%
Maokai,B,4.45,13.6%,"82,985",31.0%
Talon,B,4.46,11.3%,"15,332",5.7%
Caitlyn,B,4.47,10.0%,"14,685",5.5%
Nunu & Willump,B,4.49,14.8%,"66,679",24.9%
Pyke,B,4.49,11.0%,"9,209",3.4%
Cho'Gath,B,4.49,12.8%,"51,266",19.2%
Nasus,B,4.49,10.5%,"18,889",7.1%
Leona,B,4.50,10.9%,"30,134",11.3%
Milio,B,4.50,11.2%,"60,306",22.6%
Akali,B,4.51,12.7%,"53,536",20.0%
Aatrox,B,4.51,13.8%,"44,228",16.5%
Meepsie,B,4.52,11.1%,"74,732",28.0%
Twisted Fate,B,4.53,12.4%,"28,345",10.6%
Lissandra,B,4.54,11.0%,"52,113",19.5%
Illaoi,B,4.54,11.7%,"61,891",23.2%
Fizz,B,4.54,9.2%,"35,925",13.4%
Graves,B,4.56,16.9%,"15,216",5.7%
LeBlanc,B,4.58,11.2%,"18,048",6.8%
Gwen,B,4.59,10.1%,"11,071",4.1%
Rammus,C,4.60,10.6%,"57,041",21.3%
Xayah,C,4.61,15.5%,"19,250",7.2%
Jax,C,4.61,13.2%,"43,234",16.2%
Aurelion Sol,C,4.64,19.9%,"7,290",2.7%
Pantheon,C,4.65,13.6%,"40,948",15.3%
Lulu,C,4.65,14.1%,"19,867",7.4%
Veigar,C,4.71,14.0%,"7,039",2.6%
Poppy,C,4.73,8.9%,"33,894",12.7%
Viktor,C,4.77,9.3%,"5,365",2.0%
Samira,D,4.82,12.7%,"5,079",1.9%
Gnar,D,4.89,14.2%,"11,315",4.2%
Ezreal,D,4.92,14.0%,"10,960",4.1%
Ornn,D,5.03,9.4%,"10,308",3.9%
Aurora,D,5.05,11.1%,"8,983",3.4%
Miss Fortune,D,5.16,9.2%,"3,434",1.3%
Jinx,D,5.35,14.4%,"3,328",1.2%
Diana,D,5.36,9.7%,"3,155",1.2%
